Sentence #,Word,POS,Tag
Sentence: 3,prenikajoča,Appfsn,B-DEFINIENDUM
,voda,Ncfsn,I-DEFINIENDUM
,",",Z,O
,pronicajoča,Appfsn,O
,voda,Ncfsn,O
,:,Z,O
,Padavinska,Agpfsn,O
,voda,Ncfsn,O
,",",Z,O
,ki,Cs,O
,v,Sl,O
,aeracijski,Agpfsl,O
,coni,Ncfsl,O
,počasi,Rgp,O
,premika,Vmpr3s,O
,skozi,Sa,O
,vodoprepustne,Agpfpa,O
,skalne,Agpfpa,O
,gmote,Ncfpa,O
,.,Z,O
,Voda,Ncfsn,O
,",",Z,O
,ki,Cs,O
,kaplja,Vmpr3s,B-HAS_ATTRIBUTE
,z,Sg,I-HAS_ATTRIBUTE
,jamskega,Agpmsg,I-HAS_ATTRIBUTE
,stropa,Ncmsg,I-HAS_ATTRIBUTE
,;,Z,O
,od,Sg,O
,tod,Rgp,O
,jamarski,Agpmsny,O
,izraz,Ncmsn,O
,kapnica,Ncfsn,O
,.,Z,O
,Združeno,Appnsn,O
,v,Sa,O
,potoček,Ncmsan,O
,jo,Pp3fsa--y,O
,imenujemo,Vmbr1p,O
,tudi,Q,O
,vodni,Agpmsny,O
,curek,Ncmsn,O
,",",Z,O
,v,Sl,O
,nasprotju,Ncnsl,O
,od,Sg,O
,globinskih,Agpfpg,O
,žil,Ncfpg,O
,.,Z,O
Sentence: 4,prenikajoča,Appfsn,B-DEFINIENDUM
,voda,Ncfsn,I-DEFINIENDUM
,",",Z,O
,pronicajoča,Appfsn,O
,voda,Ncfsn,O
,:,Z,O
,Padavinska,Agpfsn,O
,voda,Ncfsn,O
,",",Z,O
,ki,Cs,O
,v,Sl,B-HAS_LOCATION
,aeracijski,Agpfsl,I-HAS_LOCATION
,coni,Ncfsl,I-HAS_LOCATION
,počasi,Rgp,O
,premika,Vmpr3s,O
,skozi,Sa,O
,vodoprepustne,Agpfpa,O
,skalne,Agpfpa,O
,gmote,Ncfpa,O
,.,Z,O
,Voda,Ncfsn,O
,",",Z,O
,ki,Cs,O
,kaplja,Vmpr3s,O
,z,Sg,O
,jamskega,Agpmsg,O
,stropa,Ncmsg,O
,;,Z,O
,od,Sg,O
,tod,Rgp,O
,jamarski,Agpmsny,O
,izraz,Ncmsn,O
,kapnica,Ncfsn,O
,.,Z,O
,Združeno,Appnsn,O
,v,Sa,O
,potoček,Ncmsan,O
,jo,Pp3fsa--y,O
,imenujemo,Vmbr1p,O
,tudi,Q,O
,vodni,Agpmsny,O
,curek,Ncmsn,O
,",",Z,O
,v,Sl,O
,nasprotju,Ncnsl,O
,od,Sg,O
,globinskih,Agpfpg,O
,žil,Ncfpg,O
,.,Z,O
Sentence: 5,prenikajoča,Appfsn,O
,voda,Ncfsn,O
,",",Z,O
,pronicajoča,Appfsn,O
,voda,Ncfsn,O
,:,Z,O
,Padavinska,Agpfsn,B-GENUS_rev
,voda,Ncfsn,I-GENUS_rev
,",",Z,O
,ki,Cs,O
,v,Sl,O
,aeracijski,Agpfsl,O
,coni,Ncfsl,O
,počasi,Rgp,O
,premika,Vmpr3s,O
,skozi,Sa,O
,vodoprepustne,Agpfpa,O
,skalne,Agpfpa,O
,gmote,Ncfpa,O
,.,Z,O
,Voda,Ncfsn,O
,",",Z,O
,ki,Cs,O
,kaplja,Vmpr3s,O
,z,Sg,O
,jamskega,Agpmsg,O
,stropa,Ncmsg,O
,;,Z,O
,od,Sg,O
,tod,Rgp,O
,jamarski,Agpmsny,O
,izraz,Ncmsn,O
,kapnica,Ncfsn,O
,.,Z,O
,Združeno,Appnsn,O
,v,Sa,O
,potoček,Ncmsan,O
,jo,Pp3fsa--y,O
,imenujemo,Vmbr1p,O
,tudi,Q,O
,vodni,Agpmsny,B-DEFINIENDUM
,curek,Ncmsn,I-DEFINIENDUM
,",",Z,O
,v,Sl,O
,nasprotju,Ncnsl,O
,od,Sg,O
,globinskih,Agpfpg,O
,žil,Ncfpg,O
,.,Z,O
Sentence: 6,prenikajoča,Appfsn,O
,voda,Ncfsn,O
,",",Z,O
,pronicajoča,Appfsn,O
,voda,Ncfsn,O
,:,Z,O
,Padavinska,Agpfsn,O
,voda,Ncfsn,O
,",",Z,O
,ki,Cs,O
,v,Sl,O
,aeracijski,Agpfsl,O
,coni,Ncfsl,O
,počasi,Rgp,B-HAS_ATTRIBUTE_rev
,premika,Vmpr3s,I-HAS_ATTRIBUTE_rev
,skozi,Sa,I-HAS_ATTRIBUTE_rev
,vodoprepustne,Agpfpa,I-HAS_ATTRIBUTE_rev
,skalne,Agpfpa,I-HAS_ATTRIBUTE_rev
,gmote,Ncfpa,I-HAS_ATTRIBUTE_rev
,.,Z,O
,Voda,Ncfsn,O
,",",Z,O
,ki,Cs,O
,kaplja,Vmpr3s,O
,z,Sg,O
,jamskega,Agpmsg,O
,stropa,Ncmsg,O
,;,Z,O
,od,Sg,O
,tod,Rgp,O
,jamarski,Agpmsny,O
,izraz,Ncmsn,O
,kapnica,Ncfsn,O
,.,Z,O
,Združeno,Appnsn,O
,v,Sa,O
,potoček,Ncmsan,O
,jo,Pp3fsa--y,O
,imenujemo,Vmbr1p,O
,tudi,Q,O
,vodni,Agpmsny,B-DEFINIENDUM
,curek,Ncmsn,I-DEFINIENDUM
,",",Z,O
,v,Sl,O
,nasprotju,Ncnsl,O
,od,Sg,O
,globinskih,Agpfpg,O
,žil,Ncfpg,O
,.,Z,O
Sentence: 7,prenikajoča,Appfsn,O
,voda,Ncfsn,O
,",",Z,O
,pronicajoča,Appfsn,O
,voda,Ncfsn,O
,:,Z,O
,Padavinska,Agpfsn,O
,voda,Ncfsn,O
,",",Z,O
,ki,Cs,O
,v,Sl,O
,aeracijski,Agpfsl,O
,coni,Ncfsl,O
,počasi,Rgp,O
,premika,Vmpr3s,O
,skozi,Sa,O
,vodoprepustne,Agpfpa,O
,skalne,Agpfpa,O
,gmote,Ncfpa,O
,.,Z,O
,Voda,Ncfsn,O
,",",Z,O
,ki,Cs,O
,kaplja,Vmpr3s,B-HAS_ATTRIBUTE_rev
,z,Sg,I-HAS_ATTRIBUTE_rev
,jamskega,Agpmsg,I-HAS_ATTRIBUTE_rev
,stropa,Ncmsg,I-HAS_ATTRIBUTE_rev
,;,Z,O
,od,Sg,O
,tod,Rgp,O
,jamarski,Agpmsny,O
,izraz,Ncmsn,O
,kapnica,Ncfsn,O
,.,Z,O
,Združeno,Appnsn,O
,v,Sa,O
,potoček,Ncmsan,O
,jo,Pp3fsa--y,O
,imenujemo,Vmbr1p,O
,tudi,Q,O
,vodni,Agpmsny,B-DEFINIENDUM
,curek,Ncmsn,I-DEFINIENDUM
,",",Z,O
,v,Sl,O
,nasprotju,Ncnsl,O
,od,Sg,O
,globinskih,Agpfpg,O
,žil,Ncfpg,O
,.,Z,O
Sentence: 8,prenikajoča,Appfsn,O
,voda,Ncfsn,O
,",",Z,O
,pronicajoča,Appfsn,O
,voda,Ncfsn,O
,:,Z,O
,Padavinska,Agpfsn,O
,voda,Ncfsn,O
,",",Z,O
,ki,Cs,O
,v,Sl,B-HAS_LOCATION_rev
,aeracijski,Agpfsl,I-HAS_LOCATION_rev
,coni,Ncfsl,I-HAS_LOCATION_rev
,počasi,Rgp,O
,premika,Vmpr3s,O
,skozi,Sa,O
,vodoprepustne,Agpfpa,O
,skalne,Agpfpa,O
,gmote,Ncfpa,O
,.,Z,O
,Voda,Ncfsn,O
,",",Z,O
,ki,Cs,O
,kaplja,Vmpr3s,O
,z,Sg,O
,jamskega,Agpmsg,O
,stropa,Ncmsg,O
,;,Z,O
,od,Sg,O
,tod,Rgp,O
,jamarski,Agpmsny,O
,izraz,Ncmsn,O
,kapnica,Ncfsn,O
,.,Z,O
,Združeno,Appnsn,O
,v,Sa,O
,potoček,Ncmsan,O
,jo,Pp3fsa--y,O
,imenujemo,Vmbr1p,O
,tudi,Q,O
,vodni,Agpmsny,B-DEFINIENDUM
,curek,Ncmsn,I-DEFINIENDUM
,",",Z,O
,v,Sl,O
,nasprotju,Ncnsl,O
,od,Sg,O
,globinskih,Agpfpg,O
,žil,Ncfpg,O
,.,Z,O
Sentence: 9,viseča,Appfsn,B-DEFINIENDUM
,voda,Ncfsn,I-DEFINIENDUM
,:,Z,O
,Je,Va-r3s-n,O
,voda,Ncfsn,O
,v,Sl,O
,aeracijski,Agpfsl,O
,(,Z,O
,vadozni,Agpfsl,O
,),Z,O
,coni,Ncfsl,O
,",",Z,O
,ki,Cs,O
,jo,Pp3fsa--y,O
,je,Va-r3s-n,O
,od,Sg,O
,navzdolžnega,Agpnsg,O
,prenikanja,Ncnsg,O
,odklonil,Vmep-sm,O
,vododržni,Agpmsny,O
,vložek,Ncmsn,O
,.,Z,O
,Tudi,Q,O
,stoječa,Appfsn,O
,voda,Ncfsn,O
,",",Z,O
,ki,Cs,O
,je,Va-r3s-n,O
,ujeta,Appfsn,O
,v,Sl,O
,kotanjah,Ncfpl,O
,po,Sl,O
,upadu,Ncmsl,O
,vodne,Agpfsg,O
,gladine,Ncfsg,O
,.,Z,O
,prenikanja,Ncnsg,O
Sentence: 10,viseča,Appfsn,B-DEFINIENDUM
,voda,Ncfsn,I-DEFINIENDUM
,:,Z,O
,Je,Va-r3s-n,O
,voda,Ncfsn,O
,v,Sl,O
,aeracijski,Agpfsl,O
,(,Z,O
,vadozni,Agpfsl,O
,),Z,O
,coni,Ncfsl,O
,",",Z,O
,ki,Cs,O
,jo,Pp3fsa--y,B-HAS_CAUSE
,je,Va-r3s-n,I-HAS_CAUSE
,od,Sg,I-HAS_CAUSE
,navzdolžnega,Agpnsg,I-HAS_CAUSE
,prenikanja,Ncnsg,I-HAS_CAUSE
,odklonil,Vmep-sm,I-HAS_CAUSE
,vododržni,Agpmsny,I-HAS_CAUSE
,vložek,Ncmsn,I-HAS_CAUSE
,.,Z,O
,Tudi,Q,O
,stoječa,Appfsn,O
,voda,Ncfsn,O
,",",Z,O
,ki,Cs,O
,je,Va-r3s-n,O
,ujeta,Appfsn,O
,v,Sl,O
,kotanjah,Ncfpl,O
,po,Sl,O
,upadu,Ncmsl,O
,vodne,Agpfsg,O
,gladine,Ncfsg,O
,.,Z,O
,prenikanja,Ncnsg,O
Sentence: 11,viseča,Appfsn,B-DEFINIENDUM
,voda,Ncfsn,I-DEFINIENDUM
,:,Z,O
,Je,Va-r3s-n,O
,voda,Ncfsn,O
,v,Sl,O
,aeracijski,Agpfsl,O
,(,Z,O
,vadozni,Agpfsl,O
,),Z,O
,coni,Ncfsl,O
,",",Z,O
,ki,Cs,O
,jo,Pp3fsa--y,O
,je,Va-r3s-n,O
,od,Sg,O
,navzdolžnega,Agpnsg,O
,prenikanja,Ncnsg,O
,odklonil,Vmep-sm,O
,vododržni,Agpmsny,O
,vložek,Ncmsn,O
,.,Z,O
,Tudi,Q,O
,stoječa,Appfsn,O
,voda,Ncfsn,O
,",",Z,O
,ki,Cs,O
,je,Va-r3s-n,B-HAS_LOCATION
,ujeta,Appfsn,I-HAS_LOCATION
,v,Sl,I-HAS_LOCATION
,kotanjah,Ncfpl,I-HAS_LOCATION
,po,Sl,O
,upadu,Ncmsl,O
,vodne,Agpfsg,O
,gladine,Ncfsg,O
,.,Z,O
,prenikanja,Ncnsg,O
Sentence: 12,viseča,Appfsn,B-DEFINIENDUM
,voda,Ncfsn,I-DEFINIENDUM
,:,Z,O
,Je,Va-r3s-n,O
,voda,Ncfsn,O
,v,Sl,O
,aeracijski,Agpfsl,O
,(,Z,O
,vadozni,Agpfsl,O
,),Z,O
,coni,Ncfsl,O
,",",Z,O
,ki,Cs,O
,jo,Pp3fsa--y,O
,je,Va-r3s-n,O
,od,Sg,O
,navzdolžnega,Agpnsg,O
,prenikanja,Ncnsg,O
,odklonil,Vmep-sm,O
,vododržni,Agpmsny,O
,vložek,Ncmsn,O
,.,Z,O
,Tudi,Q,O
,stoječa,Appfsn,O
,voda,Ncfsn,O
,",",Z,O
,ki,Cs,O
,je,Va-r3s-n,O
,ujeta,Appfsn,O
,v,Sl,O
,kotanjah,Ncfpl,O
,po,Sl,B-OCCURS_IN_TIME
,upadu,Ncmsl,I-OCCURS_IN_TIME
,vodne,Agpfsg,I-OCCURS_IN_TIME
,gladine,Ncfsg,I-OCCURS_IN_TIME
,.,Z,O
,prenikanja,Ncnsg,O
Sentence: 13,piezometrični,Agpmsny,B-DEFINIENDUM
,nivo,Ncmsn,I-DEFINIENDUM
,",",Z,O
,tudi,Q,O
,piezometer,Ncmsn,O
,:,Z,O
,Je,Va-r3s-n,B-DEFINED_AS
,vsakokratna,Agpfsn,I-DEFINED_AS
,predpostavljena,Appfsn,I-DEFINED_AS
,ploskev,Ncfsn,I-DEFINED_AS
,",",Z,O
,do,Sg,O
,katere,Pq-fsg,O
,sega,Vmpr3s,O
,vodna,Agpfsn,O
,gladina,Ncfsn,O
,v,Sl,O
,kraškem,Agpnsl,O
,podzemlju,Ncnsl,O
,v,Sl,O
,sistemu,Ncmsl,O
,veznih,Agpfpg,O
,posod,Ncfpg,O
,.,Z,O
Sentence: 14,piezometrični,Agpmsny,B-DEFINIENDUM
,nivo,Ncmsn,I-DEFINIENDUM
,",",Z,O
,tudi,Q,O
,piezometer,Ncmsn,O
,:,Z,O
,Je,Va-r3s-n,O
,vsakokratna,Agpfsn,O
,predpostavljena,Appfsn,O
,ploskev,Ncfsn,O
,",",Z,O
,do,Sg,O
,katere,Pq-fsg,O
,sega,Vmpr3s,O
,vodna,Agpfsn,O
,gladina,Ncfsn,O
,v,Sl,B-HAS_LOCATION
,kraškem,Agpnsl,I-HAS_LOCATION
,podzemlju,Ncnsl,I-HAS_LOCATION
,v,Sl,I-HAS_LOCATION
,sistemu,Ncmsl,I-HAS_LOCATION
,veznih,Agpfpg,I-HAS_LOCATION
,posod,Ncfpg,I-HAS_LOCATION
,.,Z,O
Sentence: 15,piezometrični,Agpmsny,O
,nivo,Ncmsn,O
,",",Z,O
,tudi,Q,O
,piezometer,Ncmsn,B-DEFINIENDUM
,:,Z,O
,Je,Va-r3s-n,B-DEFINED_AS
,vsakokratna,Agpfsn,I-DEFINED_AS
,predpostavljena,Appfsn,I-DEFINED_AS
,ploskev,Ncfsn,I-DEFINED_AS
,",",Z,O
,do,Sg,O
,katere,Pq-fsg,O
,sega,Vmpr3s,O
,vodna,Agpfsn,O
,gladina,Ncfsn,O
,v,Sl,O
,kraškem,Agpnsl,O
,podzemlju,Ncnsl,O
,v,Sl,O
,sistemu,Ncmsl,O
,veznih,Agpfpg,O
,posod,Ncfpg,O
,.,Z,O
Sentence: 16,piezometrični,Agpmsny,O
,nivo,Ncmsn,O
,",",Z,O
,tudi,Q,O
,piezometer,Ncmsn,B-DEFINIENDUM
,:,Z,O
,Je,Va-r3s-n,O
,vsakokratna,Agpfsn,O
,predpostavljena,Appfsn,O
,ploskev,Ncfsn,O
,",",Z,O
,do,Sg,O
,katere,Pq-fsg,O
,sega,Vmpr3s,O
,vodna,Agpfsn,O
,gladina,Ncfsn,O
,v,Sl,B-HAS_LOCATION
,kraškem,Agpnsl,I-HAS_LOCATION
,podzemlju,Ncnsl,I-HAS_LOCATION
,v,Sl,I-HAS_LOCATION
,sistemu,Ncmsl,I-HAS_LOCATION
,veznih,Agpfpg,I-HAS_LOCATION
,posod,Ncfpg,I-HAS_LOCATION
,.,Z,O
Sentence: 17,gladina,Ncfsn,B-DEFINIENDUM
,kraške,Agpfsg,I-DEFINIENDUM
,vode,Ncfsg,I-DEFINIENDUM
,",",Z,O
,nivo,Ncmsn,O
,kraške,Agpfsg,O
,vode,Ncfsg,O
,:,Z,O
,Pomeni,Vmbr3s,O
,nivo,Ncmsn,B-DEFINED_AS
,",",Z,I-DEFINED_AS
,od,Sg,I-DEFINED_AS
,katerega,Pq-msg,I-DEFINED_AS
,se,Px------y,I-DEFINED_AS
,pretežno,Rgp,I-DEFINED_AS
,vodoravno,Rgp,I-DEFINED_AS
,in,Cc,I-DEFINED_AS
,prosto,Rgp,I-DEFINED_AS
,pretaka,Vmpr3s,I-DEFINED_AS
,kraška,Agpfsn,I-DEFINED_AS
,voda,Ncfsn,I-DEFINED_AS
,proti,Sd,I-DEFINED_AS
,izvirom,Ncmpd,I-DEFINED_AS
,ali,Cc,I-DEFINED_AS
,stoji,Vmpr3s,I-DEFINED_AS
,(,Z,I-DEFINED_AS
,stoječa,Appfsn,I-DEFINED_AS
,voda,Ncfsn,I-DEFINED_AS
,),Z,I-DEFINED_AS
,v,Sl,I-DEFINED_AS
,slepih,Agpmpl,I-DEFINED_AS
,kanalih,Ncmpl,I-DEFINED_AS
,.,Z,O
,Piezometrični,Agpmsny,O
,nivo,Ncmsn,O
,oziroma,Cc,O
,gladina,Ncfsn,O
,kraške,Agpfsg,O
,vode,Ncfsg,O
,oscilirata,Vmpr3d,O
,v,Sl,O
,odvisnosti,Ncfsl,O
,od,Sg,O
,vodostaja,Ncmsg,O
,.,Z,O
Sentence: 18,gladina,Ncfsn,B-DEFINIENDUM
,kraške,Agpfsg,I-DEFINIENDUM
,vode,Ncfsg,I-DEFINIENDUM
,",",Z,O
,nivo,Ncmsn,B-GENUS
,kraške,Agpfsg,O
,vode,Ncfsg,O
,:,Z,O
,Pomeni,Vmbr3s,O
,nivo,Ncmsn,O
,",",Z,O
,od,Sg,O
,katerega,Pq-msg,O
,se,Px------y,O
,pretežno,Rgp,O
,vodoravno,Rgp,O
,in,Cc,O
,prosto,Rgp,O
,pretaka,Vmpr3s,O
,kraška,Agpfsn,O
,voda,Ncfsn,O
,proti,Sd,O
,izvirom,Ncmpd,O
,ali,Cc,O
,stoji,Vmpr3s,O
,(,Z,O
,stoječa,Appfsn,O
,voda,Ncfsn,O
,),Z,O
,v,Sl,O
,slepih,Agpmpl,O
,kanalih,Ncmpl,O
,.,Z,O
,Piezometrični,Agpmsny,O
,nivo,Ncmsn,O
,oziroma,Cc,O
,gladina,Ncfsn,O
,kraške,Agpfsg,O
,vode,Ncfsg,O
,oscilirata,Vmpr3d,O
,v,Sl,O
,odvisnosti,Ncfsl,O
,od,Sg,O
,vodostaja,Ncmsg,O
,.,Z,O
Sentence: 19,gladina,Ncfsn,B-DEFINIENDUM
,kraške,Agpfsg,I-DEFINIENDUM
,vode,Ncfsg,I-DEFINIENDUM
,",",Z,O
,nivo,Ncmsn,O
,kraške,Agpfsg,O
,vode,Ncfsg,O
,:,Z,O
,Pomeni,Vmbr3s,O
,nivo,Ncmsn,O
,",",Z,O
,od,Sg,O
,katerega,Pq-msg,O
,se,Px------y,O
,pretežno,Rgp,O
,vodoravno,Rgp,O
,in,Cc,O
,prosto,Rgp,O
,pretaka,Vmpr3s,O
,kraška,Agpfsn,O
,voda,Ncfsn,O
,proti,Sd,O
,izvirom,Ncmpd,O
,ali,Cc,O
,stoji,Vmpr3s,O
,(,Z,O
,stoječa,Appfsn,O
,voda,Ncfsn,O
,),Z,O
,v,Sl,O
,slepih,Agpmpl,O
,kanalih,Ncmpl,O
,.,Z,O
,Piezometrični,Agpmsny,O
,nivo,Ncmsn,O
,oziroma,Cc,O
,gladina,Ncfsn,O
,kraške,Agpfsg,O
,vode,Ncfsg,O
,oscilirata,Vmpr3d,B-HAS_CAUSE
,v,Sl,I-HAS_CAUSE
,odvisnosti,Ncfsl,I-HAS_CAUSE
,od,Sg,I-HAS_CAUSE
,vodostaja,Ncmsg,I-HAS_CAUSE
,.,Z,O
Sentence: 20,Območje,Ncnsn,B-DEFINIENDUM
,osciliranja,Ncnsg,I-DEFINIENDUM
,:,Z,O
,prehodna,Agpfsn,O
,cona,Ncfsn,B-GENUS
,",",Z,O
,periodično,Rgp,O
,vlažna,Agpfsn,O
,cona,Ncfsn,O
,.,Z,O
Sentence: 21,Območje,Ncnsn,B-DEFINIENDUM
,osciliranja,Ncnsg,I-DEFINIENDUM
,:,Z,O
,prehodna,Agpfsn,O
,cona,Ncfsn,O
,",",Z,O
,periodično,Rgp,O
,vlažna,Agpfsn,B-HAS_ATTRIBUTE
,cona,Ncfsn,O
,.,Z,O
Sentence: 22,Območje,Ncnsn,B-DEFINIENDUM
,osciliranja,Ncnsg,I-DEFINIENDUM
,:,Z,O
,prehodna,Agpfsn,O
,cona,Ncfsn,O
,",",Z,O
,periodično,Rgp,B-OCCURS_IN_TIME
,vlažna,Agpfsn,O
,cona,Ncfsn,O
,.,Z,O
Sentence: 23,gravitacijska,Agpfsn,O
,voda,Ncfsn,O
,",",Z,O
,gravitacijski,Agpmsny,B-DEFINIENDUM
,vodni,Agpmsny,I-DEFINIENDUM
,tok,Ncmsn,I-DEFINIENDUM
,:,Z,O
,Voda,Ncfsn,O
,(,Z,O
,vodni,Agpmsny,O
,tok,Ncmsn,O
,),Z,O
,v,Sl,O
,kraškem,Agpnsl,O
,podzemlju,Ncnsl,O
,",",Z,O
,ki,Cs,O
,se,Px------y,O
,pretaka,Vmpr3s,O
,gravitacijsko,Rgp,O
,(,Z,O
,težnostno,Rgp,O
,),Z,O
,v,Sl,O
,kanalih,Ncmpl,O
,ter,Cc,O
,v,Sl,O
,njih,Pp3mpl,O
,ne,Q,O
,sega,Vmpr3s,O
,do,Sg,O
,stropa,Ncmsg,O
,in,Cc,O
,ima,Vmpr3s-n,O
,prosto,Agpfsa,O
,gladino,Ncfsa,O
,(,Z,O
,v,Sl,O
,nasprotju,Ncnsl,O
,s,Si,O
,tlačno,Agpfsi,O
,gladino,Ncfsi,O
,",",Z,O
,ki,Cs,O
,je,Va-r3s-n,O
,značilna,Agpfsn,O
,za,Sa,O
,tlačni,Agpmsay,O
,ali,Cc,O
,eforacijski,Agpmsay,O
,tok,Ncmsan,O
,),Z,O
,.,Z,O
Sentence: 24,gravitacijska,Agpfsn,O
,voda,Ncfsn,O
,",",Z,O
,gravitacijski,Agpmsny,B-DEFINIENDUM
,vodni,Agpmsny,I-DEFINIENDUM
,tok,Ncmsn,I-DEFINIENDUM
,:,Z,O
,Voda,Ncfsn,O
,(,Z,O
,vodni,Agpmsny,O
,tok,Ncmsn,O
,),Z,O
,v,Sl,O
,kraškem,Agpnsl,O
,podzemlju,Ncnsl,O
,",",Z,O
,ki,Cs,O
,se,Px------y,B-HAS_CAUSE
,pretaka,Vmpr3s,I-HAS_CAUSE
,gravitacijsko,Rgp,I-HAS_CAUSE
,(,Z,O
,težnostno,Rgp,O
,),Z,O
,v,Sl,O
,kanalih,Ncmpl,O
,ter,Cc,O
,v,Sl,O
,njih,Pp3mpl,O
,ne,Q,O
,sega,Vmpr3s,O
,do,Sg,O
,stropa,Ncmsg,O
,in,Cc,O
,ima,Vmpr3s-n,O
,prosto,Agpfsa,O
,gladino,Ncfsa,O
,(,Z,O
,v,Sl,O
,nasprotju,Ncnsl,O
,s,Si,O
,tlačno,Agpfsi,O
,gladino,Ncfsi,O
,",",Z,O
,ki,Cs,O
,je,Va-r3s-n,O
,značilna,Agpfsn,O
,za,Sa,O
,tlačni,Agpmsay,O
,ali,Cc,O
,eforacijski,Agpmsay,O
,tok,Ncmsan,O
,),Z,O
,.,Z,O
Sentence: 25,gravitacijska,Agpfsn,O
,voda,Ncfsn,O
,",",Z,O
,gravitacijski,Agpmsny,B-DEFINIENDUM
,vodni,Agpmsny,I-DEFINIENDUM
,tok,Ncmsn,I-DEFINIENDUM
,:,Z,O
,Voda,Ncfsn,O
,(,Z,O
,vodni,Agpmsny,O
,tok,Ncmsn,O
,),Z,O
,v,Sl,O
,kraškem,Agpnsl,O
,podzemlju,Ncnsl,O
,",",Z,O
,ki,Cs,O
,se,Px------y,O
,pretaka,Vmpr3s,O
,gravitacijsko,Rgp,O
,(,Z,O
,težnostno,Rgp,O
,),Z,O
,v,Sl,O
,kanalih,Ncmpl,O
,ter,Cc,O
,v,Sl,O
,njih,Pp3mpl,O
,ne,Q,B-HAS_FUNCTION
,sega,Vmpr3s,I-HAS_FUNCTION
,do,Sg,I-HAS_FUNCTION
,stropa,Ncmsg,I-HAS_FUNCTION
,in,Cc,I-HAS_FUNCTION
,ima,Vmpr3s-n,I-HAS_FUNCTION
,prosto,Agpfsa,I-HAS_FUNCTION
,gladino,Ncfsa,I-HAS_FUNCTION
,(,Z,O
,v,Sl,O
,nasprotju,Ncnsl,O
,s,Si,O
,tlačno,Agpfsi,O
,gladino,Ncfsi,O
,",",Z,O
,ki,Cs,O
,je,Va-r3s-n,O
,značilna,Agpfsn,O
,za,Sa,O
,tlačni,Agpmsay,O
,ali,Cc,O
,eforacijski,Agpmsay,O
,tok,Ncmsan,O
,),Z,O
,.,Z,O
Sentence: 26,gravitacijska,Agpfsn,O
,voda,Ncfsn,O
,",",Z,O
,gravitacijski,Agpmsny,B-DEFINIENDUM
,vodni,Agpmsny,I-DEFINIENDUM
,tok,Ncmsn,I-DEFINIENDUM
,:,Z,O
,Voda,Ncfsn,O
,(,Z,O
,vodni,Agpmsny,O
,tok,Ncmsn,O
,),Z,O
,v,Sl,B-HAS_LOCATION
,kraškem,Agpnsl,I-HAS_LOCATION
,podzemlju,Ncnsl,I-HAS_LOCATION
,",",Z,O
,ki,Cs,O
