TERM,CATEGORY
diagenezo,B.4 Transformation
sedimentacije,B.3 Addition
prežeti,A.3 Hydrological form
fosilizacija,B. Process
Polnilo,D.1 Abiotic
kanala,A.2 Underground landform
kamnina,D.1 Abiotic
rušenja,B.2 Loss
Preoblikovanje,B.4 Transformation
freatična cona,C. Geome
prežeti coni,C. Geome
lečast prečni presek,D.3 Property
freatični kanal,A.2 Underground landform
prežeti coni,C. Geome
elipsast,D.3 Property
Kanal,A.2 Underground landform
freatično brezno,A.2 Underground landform
prežeti coni,C. Geome
lezičnih kanalov,A.2 Underground landform
inicialne strukture,D.1 Abiotic
freatična brezna,A.2 Underground landform
vodni tok,D.1 Abiotic
preskoku,B. Process
kanala,A.2 Underground landform
padnici,D. Entity/Element/Property
elipsasta,D.3 Property
kaminom,A.2 Underground landform
nekraškega površja,C. Geome
Gamsov efekt,D.3 Property
tluvialnih razmer,D.3 Property
kraško podzemlje,C. Geome
piezometrični gladini,D.1 Abiotic
nizvodnem stiku,D.3 Property
na Slovenskem,D.3.1 Geolocation
gladine podtalnice,D.1 Abiotic
tunelski rov,A.2 Underground landform
kras,C. Geome
ponikalnica,A.3 Hydrological form
plavje,D.1 Abiotic
podtalnice,A.3 Hydrological form
nekrasom,C. Geome
prod,D.1 Abiotic
vode,D.1 Abiotic
izoblikuje,B. Process
pretok,D.3 Property
vodo,D.1 Abiotic
kanalih,A.3 Hydrological form
nasipu,D.1 Abiotic
svežnja,A.2 Underground landform
voda,D.1 Abiotic
vdor,A.3 Hydrological form
jam,A.2 Underground landform
Gospodaričev efekt,D.3 Property
čistem krasu,C. Geome
kraškem podzemlju,C. Geome
Planinski jami,D.3.1 Geolocation
Planinske koleševke,D.3.1 Geolocation
tunelski rovi,A.2 Underground landform
nekraškega mehanizma,B. Process
tunelskih rovov,A.2 Underground landform
zasuti,D.3 Property
krasa,C. Geome
svežnja,A.2 Underground landform
voda,D.1 Abiotic
nekrasom,C. Geome
prenaša,B.1 Movement
plavja,D.1 Abiotic
kanali,A.2 Underground landform
prod,D.1 Abiotic
prosto pada,B.1 Movement
prežeti coni,C. Geome
neprežeto cono,A.3 Hydrological form
Gravitacijska voda,D.1 Abiotic
gravitacijska voda,D.1 Abiotic
Gravitacijska voda,D.1 Abiotic
Prenikla voda,D.1 Abiotic
voda,D.1 Abiotic
kanale,A.2 Underground landform
gladino,D.1 Abiotic
morskih grebenih,D.1 Abiotic
kraških votlin,A.2 Underground landform
slano podtalnico,D.1 Abiotic
sladkovodno lečo,D.1 Abiotic
atolih,D.1 Abiotic
vode,D.1 Abiotic
voda,D.1 Abiotic
haloklinala,D.3 Property
agresivnost,D.3 Property
Meja,D.3 Property
Območja speleogentskega prostora,C. Geome
hidrografske cone,C. Geome
podzemske vode,D.1 Abiotic
speleogentskega prostora,C. Geome
speleogenetskega prostora,C. Geome
neprežeta cona,C. Geome
gladino podtalnice,D.1 Abiotic
podtalnice,D.1 Abiotic
prežeta cona,A.3 Hydrological form
speleogenetskega prostora,C. Geome
hidrotermalni kras,C. Geome
hidrotermalnih voda,D.1 Abiotic
prežete cone,C. Geome
injekcijska zavesa,E.2 Method
kraškem podzemlju,C. Geome
kraških poljih,A.1 Surface landform
skladovnem odlomu,B.4 Transformation
jamskih podorov,B.1 Movement
blokovni odlom,B.4 Transformation
rušenja skalovja,B.1 Movement
Inkazija,B.4 Transformation
Preoblikovanje,B.4 Transformation
kraška jama,A.2 Underground landform
podzemeljska votlina,D.1 Abiotic
jama,A.2 Underground landform
vodni tok,D.1 Abiotic
vodna jama,A.2 Underground landform
Jama,A.2 Underground landform
suha jama,A.2 Underground landform
Jama,A.2 Underground landform
izvirna jama,A.2 Underground landform
potok,D.1 Abiotic
reka,D.1 Abiotic
Jama,A.2 Underground landform
morske gladine,D.3 Property
morska voda,D.1 Abiotic
abrazijska jama,A.2 Underground landform
morska jama,A.2 Underground landform
Modra špilja,D.3.1 Geolocation
Grotta azzurra,D.3.1 Geolocation
abrazije,B.2 Loss
obali,D.1 Abiotic
snežna jama,A.2 Underground landform
strmim pobočjem,D.1 Abiotic
Jama,A.2 Underground landform
plazilci,D.2 Biotic
sneg,D.1 Abiotic
ledene gmote,D.1 Abiotic
ledena jama,A.2 Underground landform
ledenica,A.2 Underground landform
Jama,A.2 Underground landform
kristalna jama,A.2 Underground landform
sigova tvorba,A.2 Underground landform
kristali,D.1 Abiotic
Jama,A.2 Underground landform
kapniška jama,A.2 Underground landform
kapniki,A.2 Underground landform
Jama,A.2 Underground landform
aragonitna jama,A.2 Underground landform
aragonita,D.1 Abiotic
kapniki,A.2 Underground landform
ježki,A.2 Underground landform
Jama,A.2 Underground landform
erozijska jama,A.2 Underground landform
tekoče vode,D.1 Abiotic
erozijo,B.2 Loss
Jama,A.2 Underground landform
korozijskim procesom,B.4 Transformation
korozijska jama,A.2 Underground landform
mrtva jama,A.2 Underground landform
akumulacijski procesi,B.3 Addition
Jama,A.2 Underground landform
evakuacijski,B.2 Loss
srednejevropski kras,D.3.1 Geolocation
suhimi dolinami,A.1 Surface landform
moravski tip,C. Geome
kras Jure,D.3.1 Geolocation
reliefu,D.1 Abiotic
površju,D.1 Abiotic
Kras,C. Geome
mediteranski kras,C. Geome
sredozemski kras,C. Geome
sredozemske klime,D.3 Property
kras,C. Geome
Sredozemlju,D.3.1 Geolocation
kras,C. Geome
subarktičnem pasu,C. Geome
nivalni kras,C. Geome
glacialnih dobah,D.1 Abiotic
subnivalni kras,C. Geome
nivalnim krasom,C. Geome
gozdnati pas,C. Geome
skopni,B.2 Loss
višinskem,C. Geome
Kras,C. Geome
pas,D.1 Abiotic
poletje,D.1 Abiotic
sneg,D.1 Abiotic
subpolarni ( subarktični ) klimi,D.3 Property
subpolarni kras,C. Geome
subarktični kras,C. Geome
Kras,C. Geome
tropski kras,C. Geome
tropski klimi,C. Geome
vzpetine,D.1 Abiotic
Kegelkarst,C. Geome
Kras,C. Geome
stogi,D.1 Abiotic
stolpi,D.1 Abiotic
goli kras,C. Geome
goli kras,C. Geome
zelenja,D.2 Biotic
ozemlje,D.1 Abiotic
površje,D.1 Abiotic
Kras,C. Geome
ozemlje,D.1 Abiotic
zelenja,D.2 Biotic
pokriti kras,C. Geome
preperelina,D.1 Abiotic
Kras,C. Geome
zemlja,D.1 Abiotic
površje,D.1 Abiotic
polpokriti kras,C. Geome
pokritim krasom,C. Geome
kraške površine,D.1 Abiotic
polgoli kras,C. Geome
gole,D.1 Abiotic
Kras,C. Geome
golim,C. Geome
laštasti kras,C. Geome
visokogorskega krasa,C. Geome
golega,C. Geome
lašti,A.1 Surface landform
Polpokriti kras,C. Geome
čokati kras,C. Geome
kamni,D.1 Abiotic
površje,D.1 Abiotic
kozavi kras,C. Geome
Kras,C. Geome
vrtačami,A.1 Surface landform
tropskem krasu,C. Geome
poligonalni kras,C. Geome
kraške kotanje,A.1 Surface landform
zraščanjem,B.1 Movement
prepok,D.1 Abiotic
vrtač,A.1 Surface landform
Kras,C. Geome
fluvialni proces,B.4 Transformation
suhe doline,A.1 Surface landform
Notranjskega podolja,D.3.1 Geolocation
kraška polja,A.1 Surface landform
kraških polj,A.1 Surface landform
Kras,C. Geome
podolja,A.1 Surface landform
podolijl,A.1 Surface landform
Fluviokras,C. Geome
korozija,B.2 Loss
erozija,B.2 Loss
Kras,C. Geome
površja,D.1 Abiotic
kras,C. Geome
površje,D.1 Abiotic
denudacija,B.2 Loss
Polgoli kras,C. Geome
rebrasti kras,C. Geome
površje,D.1 Abiotic
kamni,D.1 Abiotic
skladov,D.1 Abiotic
stolpasti kras,C. Geome
tropskega krasa,C. Geome
piramidam,D.1 Abiotic
stolpom,D.1 Abiotic
vzpetinami,D.1 Abiotic
korozijski ravnik,A.1 Surface landform
Kraški ravnik,A.1 Surface landform
korozijskimi procesi,B.4 Transformation
kraški ravnik,A.1 Surface landform
visokogorski kras,C. Geome
kotlič,A.1 Surface landform
globel,D.1 Abiotic
snegom,D.1 Abiotic
stenami,D.1 Abiotic
Vipavsko dolino,D.3.1 Geolocation
Tržaškim zalivom,D.3.1 Geolocation
kras,C. Geome
prepustnosti,B.2 Loss
karst,C. Geome
pretakanje,B.1 Movement
Kras,D.3.1 Geolocation
kras,C. Geome
karst,C. Geome
kamnine,D.1 Abiotic
raztapljanje,B.4 Transformation
Tržaškim zalivom,D.3.1 Geolocation
Vipavsko dolino,D.3.1 Geolocation
matični kras,D.3.1 Geolocation
Kras,D.3.1 Geolocation
pokrajine,D.1 Abiotic
Kras,D.3.1 Geolocation
klasični kras,D.3.1 Geolocation
kraškimi pojavi,A. Landform
Kvarnerskim zalivom,D.3.1 Geolocation
Kraško ozemlje,C. Geome
ozemlje,D.1 Abiotic
Trstom,D.3.1 Geolocation
Postojno,D.3.1 Geolocation
ozemlje,D.1 Abiotic
apneniški kras,C. Geome
Kras,C. Geome
apnencu,D.1 Abiotic
dolomitni kras,C. Geome
Kras,C. Geome
dolomitu,D.1 Abiotic
klasticnih kamninah,D.1 Abiotic
breci,D.1 Abiotic
prodih,D.1 Abiotic
peskih,D.1 Abiotic
Kras,C. Geome
puhlici,D.1 Abiotic
klastokras,C. Geome
kredni kras,C. Geome
kredi,D.1 Abiotic
Kras,C. Geome
puhlični kras,C. Geome
Kras,C. Geome
puhlici,D.1 Abiotic
solnati kras,C. Geome
soli,D.1 Abiotic
Kras,C. Geome
sadreni kras,C. Geome
sadri,D.1 Abiotic
Kras,C. Geome
glacialnih procesov,B.4 Transformation
Površinski kras,C. Geome
kras,C. Geome
Glaciokras,C. Geome
kraških,B.4 Transformation
aridni ( sušni ) klimi,D.3 Property
aridni kras,C. Geome
nivalni ( snežni ) klimi,D.3 Property
visokogorski kras,C. Geome
nivalni kras,C. Geome
Jugoslaviji,D.3.1 Geolocation
snežnice,D.1 Abiotic
jamska postaja,A.2 Underground landform
predzgodovinskega človeka,D.2 Biotic
jamsko nahajališce,A.2 Underground landform
Jama,A.2 Underground landform
jamski človek,D.2 Biotic
pribežališce,D.1 Abiotic
jame,A.2 Underground landform
bivališce,D.1 Abiotic
jamski biser,A.2 Underground landform
kapljajoča voda,D.1 Abiotic
kamen,D.1 Abiotic
pizolit,A.2 Underground landform
sige,D.1 Abiotic
kraških jam,A.2 Underground landform
jamski kataster,E.1 Instrument
seznam,E.1 Instrument
jamski načrt,E.1 Instrument
meritev,B. Process
Jamski podor,B.1 Movement
jamski steni,D.1 Abiotic
skalovja,D.1 Abiotic
Podor,B.1 Movement
stropu,D.1 Abiotic
končni podor,B.1 Movement
jame,A.2 Underground landform
Podor,B.1 Movement
prehod,D.1 Abiotic
jamski prostor,A.2 Underground landform
jamski udor,B.1 Movement
Udor,B.1 Movement
površje,D.1 Abiotic
jamski rov,A.2 Underground landform
jame,A.2 Underground landform
jamski sediment,D.1 Abiotic
Sediment,D.1 Abiotic
jami,A.2 Underground landform
jamski sistem,A.2 Underground landform
jamskem stropu,A.2 Underground landform
jamsko okno,A.2 Underground landform
Odprtina,D.1 Abiotic
mediteranski kras,C. Geome
terra rossa,D.1 Abiotic
rdeca zemlja,D.1 Abiotic
jerina,D.1 Abiotic
karbonatov,D.1 Abiotic
submediteranski,C. Geome
zemlja,D.1 Abiotic
vodna kotanja,D.1 Abiotic
vrtača,A.1 Surface landform
kal,A.3 Hydrological form
kalcijev karbonat CaCO3,D.1 Abiotic
kalcit,D.1 Abiotic
Mineral,D.1 Abiotic
apnenca,D.1 Abiotic
Geomorfološka karta,E.1 Instrument
območja,D.1 Abiotic
reliefa,D.1 Abiotic
karta,E.1 Instrument
Litotamnijski apnenec,D.1 Abiotic
kamnina,D.1 Abiotic
apnena usedlina,D.1 Abiotic
biokemičnimi procesi,B. Process
Litotamnijski apnenec,D.1 Abiotic
plitvomorski sediment,D.1 Abiotic
Lapornat apnenec,D.1 Abiotic
poplavnih vod,A.3 Hydrological form
poplavna ilovica,D.1 Abiotic
Sediment,D.1 Abiotic
glina,D.1 Abiotic
Karbonski apnenec,D.1 Abiotic
Vzpetina,D.1 Abiotic
osamelec,A.1 Surface landform
hum,A.1 Surface landform
favno,D.2 Biotic
Turloughi,A.3 Hydrological form
floro,D.2 Biotic
turloughi,A.3 Hydrological form
mokrišča,A.3 Hydrological form
morene,D.1 Abiotic
grič,D.1 Abiotic
ledenika,D.1 Abiotic
Drumlin,A.1 Surface landform
obrečna tla,D.1 Abiotic
hidromorfnih tal,D.1 Abiotic
oglejena tla,D.1 Abiotic
psevdogleji,D.1 Abiotic
Rečni otok,D.1 Abiotic
reki,D.1 Abiotic
kopnega,D.1 Abiotic
Raztekanje voda,B.1 Movement
bifurkacija,B.1 Movement
povodja,D.1 Abiotic
porečja,D.1 Abiotic
ozkih gorskih grap,D.1 Abiotic
nasutje,D.1 Abiotic
Vršaj,A.1 Surface landform
ravnino,D.1 Abiotic
strmcem,D.3 Property
pobočju,C. Geome
Voda,D.1 Abiotic
teče,B.1 Movement
Grapa,A.1 Surface landform
dolina,A.1 Surface landform
hudourniki,D.1 Abiotic
dolasta uvala,A.1 Surface landform
vdolbina,D.1 Abiotic
vrtačasta uvala,A.1 Surface landform
vrtače,A.1 Surface landform
viseča suha dolina,A.1 Surface landform
suha dolina,A.1 Surface landform
pobočju,D.1 Abiotic
krasu,C. Geome
vetrnica,A.2 Underground landform
Jama,A.2 Underground landform
tropskega krasa,C. Geome
kraških polj,A.1 Surface landform
Vorfluterniveau,D.3 Property
Nivo,D.3 Property
Vorfluter,D.3 Property
kraškem podzemlju,C. Geome
kavernoznost,D.3 Property
votline,D.1 Abiotic
Delež,D.3 Property
votlikavost,D.3 Property
votlina,D.1 Abiotic
podzemeljski prostor,D.1 Abiotic
votlina,D.1 Abiotic
Beli Krajini,D.3.1 Geolocation
vrtrača,A.1 Surface landform
Sloveniji,D.3.1 Geolocation
dolina,D.1 Abiotic
skledasta vrtača,A.1 Surface landform
lijakasta vrtača,A.1 Surface landform
dna,D.1 Abiotic
pobočja,D.1 Abiotic
kotlasta vrtača,A.1 Surface landform
dno,D.1 Abiotic
stene,D.1 Abiotic
vodnjakasta vrtača,A.1 Surface landform
vrtača,A.1 Surface landform
stenami,D.1 Abiotic
aluvialna vrtača,A.1 Surface landform
Vrtača,A.1 Surface landform
skalna vrtača,A.1 Surface landform
pobočje,D.1 Abiotic
Vrtača,A.1 Surface landform
dno,D.1 Abiotic
mikroklimatske lastnosti,D.3 Property
kraška klima,D.3 Property
kraška mikroklima,D.3 Property
kraškega ozemlja,C. Geome
geotermični stopnji,D.3 Property
kraških tal,D.1 Abiotic
kraških polj,A.1 Surface landform
kraških kotanj,D.1 Abiotic
klima,D.3 Property
jam,A.2 Underground landform
Klima,D.3 Property
klimatske,D.3 Property
klima,D.3 Property
kraška morfologija,E. Instrument or method
krasa,C. Geome
geomorfologije,E. Instrument or method
veda,E. Instrument or method
kraške kamnine,D.1 Abiotic
kraška prevotljenost,D.3 Property
kraška votlikavost,D.3 Property
prevotljenost,D.3 Property
krasa,C. Geome
prepustnosti,D.3 Property
kamnine,D.1 Abiotic
kraški suhi dol,A.1 Surface landform
suha dolina,A.1 Surface landform
suha dolina,A.1 Surface landform
kraški dol,A.1 Surface landform
vrtač,A.1 Surface landform
kanjon,A.1 Surface landform
Razširitev porečja,B. Process
vodnega toka,D.1 Abiotic
kraško podzemlje,C. Geome
kraška piraterija,B.4 Transformation
pretočitvijo,B.1 Movement
toka,D.1 Abiotic
kraškega ozemlja,C. Geome
kraška voda,D.1 Abiotic
kraške vode,D.1 Abiotic
kraškega ozemlja,C. Geome
kraškega podzemlja,C. Geome
kraških izvirov,A.3 Hydrological form
voda,D.1 Abiotic
podzemlja,C. Geome
kanalih,D.1 Abiotic
vode,D.1 Abiotic
krasu,C. Geome
voda,D.1 Abiotic
kolebanja,B.1 Movement
ozemlja,C. Geome
izvirov,D.1 Abiotic
gladine,D.1 Abiotic
kraške vode,D.1 Abiotic
kraški izvir,A.3 Hydrological form
iztok,D.1 Abiotic
vode,D.1 Abiotic
površju,D.1 Abiotic
kraški izvir,A.3 Hydrological form
vode,D.1 Abiotic
bruhalnik,A.3 Hydrological form
vodi,D.1 Abiotic
periodični izvir,A.3 Hydrological form
presihajoči izvir,A.3 Hydrological form
Kraški izvir,A.3 Hydrological form
intermitentni izvir,A.3 Hydrological form
upada,B.2 Loss
presiha,B.2 Loss
minutnik,A.3 Hydrological form
narašča,B.3 Addition
zaganjalka,A.3 Hydrological form
podmorski izvor,A.3 Hydrological form
brakične vode,D.1 Abiotic
brojnica,A.3 Hydrological form
vode,D.1 Abiotic
gladino,D.1 Abiotic
Izvir,A.3 Hydrological form
plime,B.3 Addition
sladke,D.1 Abiotic
vrulja,A.3 Hydrological form
kontaktni kraški izvir,A.3 Hydrological form
vodno prepustnih kamnin,D.1 Abiotic
kontaktni izvir,A.3 Hydrological form
neprepustnih kamnin,D.1 Abiotic
Izvir,A.3 Hydrological form
krovnini,D.1 Abiotic
kamnin,D.1 Abiotic
kamnin,D.1 Abiotic
jamski izvir,A.3 Hydrological form
jami,A.2 Underground landform
Izvir,A.3 Hydrological form
Fontaine de Vaucluse,D.3.1 Geolocation
vaukluški izvir,A.3 Hydrological form
izvir,D.1 Abiotic
izvira,A.3 Hydrological form
Sorgue,D.3.1 Geolocation
brezna,A.2 Underground landform
reka,D.1 Abiotic
pretokom,D.3 Property
kraški izvir,A.3 Hydrological form
izvir,D.1 Abiotic
obrh,A.3 Hydrological form
kraški izvir,A.3 Hydrological form
pritekajo,B.1 Movement
izvir,D.1 Abiotic
vode,D.1 Abiotic
voda,D.1 Abiotic
izvir,D.1 Abiotic
površju,D.1 Abiotic
skalovjem,D.1 Abiotic
kropa,A.3 Hydrological form
škalba :,A.1 Surface landform
vdolbina,D.1 Abiotic
škavnica,A.1 Surface landform
škavna,A.1 Surface landform
obalna škavnica,A.1 Surface landform
morska voda,D.1 Abiotic
plimovanja,B.1 Movement
valovanja,B.1 Movement
jamica,D.1 Abiotic
podtalna škavnica,A.1 Surface landform
zemlja,D.1 Abiotic
prst,D.1 Abiotic
odprta škavnica,A.1 Surface landform
žleb,D.1 Abiotic
predrta škavnica,A.1 Surface landform
Škavnica,A.1 Surface landform
vode,D.1 Abiotic
pretakanja,B.1 Movement
poličke,A.1 Surface landform
noži,A.1 Surface landform
grebeni,A.1 Surface landform
škraplja,A.1 Surface landform
hrbti,A.1 Surface landform
izjedenina,D.1 Abiotic
škrapa,A.1 Surface landform
prenikajočo vodo,D.1 Abiotic
jamska škraplja,A.2 Underground landform
jami,A.2 Underground landform
obalna škraplja,A.1 Surface landform
pršavice,B.2 Loss
abrazije,B.2 Loss
kavernozna škraplja,A.1 Surface landform
škraplja,A.1 Surface landform
lezična škraplja,A.1 Surface landform
leziki,A.1 Surface landform
luknjasta škraplja,A.1 Surface landform
Izjedenina,D.1 Abiotic
raz,D.1 Abiotic
lukenj,D.1 Abiotic
škrapljasti vodnjak,A.3 Hydrological form
luknja,D.1 Abiotic
nožasta škraplja,A.1 Surface landform
grebenček,D.1 Abiotic
Škraplje,A.1 Surface landform
strukturna škraplja,A.1 Surface landform
poklinasta škraplja,A.1 Surface landform
poklino,D.1 Abiotic
porušena škraplja,A.1 Surface landform
škrapljami,A.1 Surface landform
porušitvijo,B.4 Transformation
griža,A.1 Surface landform
korazijska dolina,A.1 Surface landform
spiranje prepereline,B.2 Loss
geomorfni procesi,B. Process
korazija,B.4 Transformation
akumulacija,B.3 Addition
korozija,B.4 Transformation
preperevanje,B.4 Transformation
denudacija,B.2 Loss
erozija,B.2 Loss
dolcih,A.1 Surface landform
drobirja,B.2 Loss
polzenje,B.1 Movement
reliefna oblika,D.1 Abiotic
Dolec,A.1 Surface landform
kraškega reliefa,C. Geome
Kopasti vrhovi,A.1 Surface landform
kraške vzpetine,A.1 Surface landform
kraškega površja,C. Geome
dolinami,A.1 Surface landform
krasu,C. Geome
Fluviokras,C. Geome
reliefna oblika,D.1 Abiotic
Dolec,A.1 Surface landform
depresijskimi oblikami,D.1 Abiotic
kraške vzpetine,A.1 Surface landform
Kopasti vrhovi,A.1 Surface landform
rečnimi dolinami,D.1 Abiotic
kraškega površja,C. Geome
Fluviokras,C. Geome
krasu,C. Geome
Kraška polja,A.1 Surface landform
kraški geomorfni sistem,C. Geome
nekraških kamnin,D.1 Abiotic
Kontaktni kras,C. Geome
območje,D.1 Abiotic
kraških,D.1 Abiotic
fluvialni,C. Geome
Jame kontaktnega krasa,A.2 Underground landform
paragenetske jame,A.2 Underground landform
epifreatične jame,A.2 Underground landform
Zatrepna dolina,A.1 Surface landform
kontaktnega krasa,C. Geome
kraške kamnine,D.1 Abiotic
izvirov,A.3 Hydrological form
zatrepne doline,A.1 Surface landform
Iztek,A.1 Surface landform
nekraškimi kamninami,D.1 Abiotic
Kontaktni kras,C. Geome
reliefa,D.1 Abiotic
kraškimi,D.1 Abiotic
Ponorna dolina,A.1 Surface landform
kraški ponor,A.3 Hydrological form
krasu,C. Geome
potoka,D.1 Abiotic
ponikalnice,A.3 Hydrological form
kanali,A.3 Hydrological form
Fluvisoli,D.1 Abiotic
naplavinah,D.1 Abiotic
prsti,D.1 Abiotic
Rečna struga,D.1 Abiotic
tekoče vode,D.1 Abiotic
Kraški izvir,A.3 Hydrological form
kraške vode,D.1 Abiotic
površje,D.1 Abiotic
iztok,D.1 Abiotic
Stropne kotlice,A.2 Underground landform
kamnino,D.1 Abiotic
kraškega površja,C. Geome
Kraški vodonosnik,C. Geome
vodo,D.1 Abiotic
apnenca,D.1 Abiotic
podzemlje,C. Geome
jamskega skalnega reliefa,C. Geome
vdolbinice,A.2 Underground landform
kotlice,A.2 Underground landform
žlebiči,A.2 Underground landform
žlebovi,A.2 Underground landform
odlomi,A.2 Underground landform
štrline,A.2 Underground landform
odkruški,A.2 Underground landform
Burja,A.4 Other
veter,D.1 Abiotic
Divaško – Komenski,D.3.1 Geolocation
Sežanski Kras,D.3.1 Geolocation
apneniška uravnava,A.1 Surface landform
jugozahodni Sloveniji,D.3.1 Geolocation
Kras,C. Geome
Tržaški,D.3.1 Geolocation
uravnava,D.1 Abiotic
Goriški,D.3.1 Geolocation
kemično raztapljanje,B.4 Transformation
raztapljanje,B.4 Transformation
karbonatov,D.1 Abiotic
Voda,D.1 Abiotic
korozijske vdolbine,D.1 Abiotic
dnom,D.1 Abiotic
vdolbine,D.1 Abiotic
Škavnice,A.1 Surface landform
korozijske razjede,D.1 Abiotic
korozijo,B.2 Loss
površju,D.1 Abiotic
Škraplje,A.1 Surface landform
škraplje,A.1 Surface landform
nezveznostih,D.3 Property
splitkarren,A.1 Surface landform
Lezične škraplje,A.1 Surface landform
bogaz,A.1 Surface landform
Žlebiči,A.1 Surface landform
izjedenine,D.1 Abiotic
voda,D.1 Abiotic
plavja,D.1 Abiotic
plavje,D.1 Abiotic
abrazijski,B.2 Loss
kanali,A.2 Underground landform
peska,D.1 Abiotic
proda,D.1 Abiotic
abrazija,B.2 Loss
Erozija,B.2 Loss
vode,D.1 Abiotic
upadu,B.2 Loss
aeracijska cona,C. Geome
neprežeto cono,A.3 Hydrological form
speleologijo,E.2 Method
pedologije,E.2 Method
alogene vode,D.1 Abiotic
korozijsko sposobnost,D.3 Property
alogena voda,D.1 Abiotic
talečega se,B.2 Loss
invazijske jame,A.2 Underground landform
alogene vode,D.1 Abiotic
mehanska erozivnost,D.3 Property
avtigeni vodi,D.1 Abiotic
kraške oblike,D.1 Abiotic
nekrasa,C. Geome
obrobja,D.1 Abiotic
tokovi,D.1 Abiotic
krasu,C. Geome
pritekajo,B.1 Movement
ledenika,D.1 Abiotic
tokove,D.1 Abiotic
Voda,D.1 Abiotic
laminarnem toku,D.1 Abiotic
anastomotske jame,A.2 Underground landform
prežeti coni,C. Geome
anastomoze,A.2 Underground landform
prostori,D.1 Abiotic
poroznostjo,D.3 Property
votlin,A.2 Underground landform
votlin,A.2 Underground landform
kamninah,D.1 Abiotic
kanalov,A.2 Underground landform
kanalov,A.2 Underground landform
lezik,A.2 Underground landform
anastomoza,A.2 Underground landform
kamnine,D.1 Abiotic
anastmoze,A.2 Underground landform
krajevnih padavin,D.1 Abiotic
avtigena voda,D.1 Abiotic
preniklih,D.3 Property
Voda,D.1 Abiotic
krasu,C. Geome
boeglijev efekt,D.3 Property
korozijo mešanice,B.2 Loss
Sigotvorna voda,D.1 Abiotic
Agresivna voda,D.1 Abiotic
površin,D.1 Abiotic
