DEFINIENDUM,CATEGORY,CATEGORY_TEXT,SENTENCE,*,AFFECTS,COMPOSITION_MEDIUM,CONTAINS,DEFINED_AS,DEFINITOR,GENUS,HAS_ATTRIBUTE,HAS_CAUSE,HAS_FORM,HAS_FUNCTION,HAS_LOCATION,HAS_POSITION,HAS_RESULT,HAS_SIZE,MEASURES,OCCURS_IN_TIME,SPECIES,STUDIES,frame_ATTRIBUTE,frame_CAUSE,frame_COMPOSITION,frame_CONTAINS,frame_DEFINED_AS,frame_FORM,frame_FUNCTION,frame_LOCATION,frame_MEASURES,frame_MEDIUM,frame_POSITION,frame_RESULT,frame_SIZE,frame_STUDIES,frame_TIME
freatični vodni tok,A.3 Hydrological form|C. Geome|D.1 Abiotic|D.3 Property|B.3 Addition|A.2 Underground landform,freatična voda|freatični coni|Kraška voda|piezometričnim nivojem|Zapolnjuje|votline,"freatična voda, freatični vodni tok: Kraška voda (vodni tok) v freatični coni. Zapolnjuje votline pod piezometričnim nivojem (nivojem kraške vode).",,,,,,,Kraška voda,,,,Zapolnjuje votline,pod piezometričnim nivojem ( nivojem kraške vode|v freatični coni,,,,,,,,,,,,,,Zapolnjuje,pod|v,,,,,,,
freatična voda,A.3 Hydrological form|C. Geome|D.1 Abiotic|D.3 Property|B.3 Addition|A.2 Underground landform,freatična voda|freatični coni|Kraška voda|piezometričnim nivojem|Zapolnjuje|votline,"freatična voda, freatični vodni tok: Kraška voda (vodni tok) v freatični coni. Zapolnjuje votline pod piezometričnim nivojem (nivojem kraške vode).",,,,,,,Kraška voda,,,,Zapolnjuje votline,pod piezometričnim nivojem ( nivojem kraške vode|v freatični coni,,,,,,,,,,,,,,Zapolnjuje,pod|v,,,,,,,
ujeta voda,C. Geome|A.3 Hydrological form|D.1 Abiotic|A.2 Underground landform,freatični coni|ujeta voda|Voda|kanalih,"ujeta voda: Voda, ki v freatični coni stagnira v slepih ali nepovezanih kanalih.",,,,,,,Voda,,,,stagnira v slepih ali nepovezanih kanalih,v freatični coni,,,,,,,,,,,,,,,v,,,,,,,
zajezena kraška voda,A.3 Hydrological form|A.3 Hydrological form|D.3 Property|D.1 Abiotic|D.1 Abiotic|A.2 Underground landform|B.3 Addition,globoki freatični coni|zajezena kraška voda|piezometričnim nivojem|kraška voda|vodoneprepustne kamnine|votline|zapolnjuje,"zajezena kraška voda: Je podzemeljska kraška voda v globoki freatični coni, ki zapolnjuje vodoprehodne votline pod piezometričnim nivojem, katerega višino določajo vodoneprepustne kamnine.",,,,,,,kraška voda,,,,zapolnjuje vodoprehodne votline pod piezometričnim nivojem,v globoki freatični coni,,,,,,,,,,,,,,,v,,,,,,,
hidrogeološki izolator,A.3 Hydrological form|D.1 Abiotic|D.1 Abiotic|C. Geome|D.1 Abiotic|B. Process|B. Process,podzemeljski vodni tok|hidrogeološki izolator|Neprepustna kamnina|kraškem ozemlju|vložka|razdvaja|zajezuje,"hidrogeološki izolator: Neprepustna kamnina v kraškem ozemlju, navadno v obliki vložka, ki razdvaja porečji ali zajezuje podzemeljski vodni tok.",,,,,,,Neprepustna kamnina,,,v obliki vložka,ki razdvaja porečji ali zajezuje podzemeljski vodni tok|Neprepustna,v kraškem ozemlju,,,,,,,,,,,,,v obliki,zajezuje|razdvaja,v,,,,,,,
hladna jama,D.3 Property|A.2 Underground landform|D.3 Property|D.3 Property|A.2 Underground landform|A.2 Underground landform,žepaste oblike|hladna jama|zimski hlad|hladna|Hladnica|Jama,"Hladnica, hladna jama: Jama, ki je poleti nadpovprečno hladna, ker je žepaste oblike, z enim vhodom iznad votline, tako da se v njej zadržuje zimski hlad.",,,,,,,Jama,nadpovprečno hladna,ker je žepaste oblike,z enim vhodom iznad votline,tako da se v njej zadržuje zimski hlad,,,,,,poleti,,,,,,,,,zadržuje,,,,,,,,
Hladnica,D.3 Property|A.2 Underground landform|D.3 Property|D.3 Property|A.2 Underground landform|A.2 Underground landform,žepaste oblike|hladna jama|zimski hlad|hladna|Hladnica|Jama,"Hladnica, hladna jama: Jama, ki je poleti nadpovprečno hladna, ker je žepaste oblike, z enim vhodom iznad votline, tako da se v njej zadržuje zimski hlad.",,,,,,,Jama,nadpovprečno hladna,ker je žepaste oblike,z enim vhodom iznad votline,tako da se v njej zadržuje zimski hlad,,,,,,poleti,,,,,,,,,zadržuje,,,,,,,,
hodnik,A.2 Underground landform|A.2 Underground landform|B. Process,jamski rov|hodnik|hoja,"hodnik: Precejšen, dokaj enakomerno širok in visok jamski rov, po katerem je hoja razmeroma lahka.",,,,,,,jamski rov,po katerem je hoja razmeroma lahka,,,,,,,enakomerno širok|visok,,,,,,,,,,,,,,,,,,,
hum,D.1 Abiotic|A.1 Surface landform|D.1 Abiotic|D.1 Abiotic|D.3 Property|A.1 Surface landform|A.1 Surface landform|D.1 Abiotic,grič na ravnini|kraškega polja|višjega reliefa|osamljeno vzpetinico|korozijsko-erozijsko-denudacijski ostanek|hum|goričica|osamelce,"hum: V kraški literaturi pomeni osamljen korozijsko-erozijsko-denudacijski ostanek višjega reliefa, zlasti na dnu kraškega polja. Slovensko ljudsko tudi goričica za nizke osamelce (npr. na Cerkniškem polju). Ljudsko ime v vseh jugoslovanskih jezikih, v različnih inačicah (hom, holm, holmec, hum). Pomeni osamljeno vzpetinico, golico ali grič na ravnini, tudi izven krasa.",,,,,,,,osamljen,korozijsko-erozijsko-denudacijski ostanek višjega reliefa,grič na ravnini|osamljeno vzpetinico,,na dnu kraškega polja,,,,,,,,,,,,,,,na dnu,,,,,,,
ilovnate piramide,D.1 Abiotic|A.2 Underground landform|A.2 Underground landform|D.3 Property|D.1 Abiotic,kapljajoča voda|jamskem dnu|ilovnate piramide|ilovnatem|piramide,"ilovnate piramide: Nekaj centimetrov ali decimetrov visoke piramide v ilovnatem jamskem dnu, ki jih je izdelala kapljajoča voda.",,,,,,,piramide,,ki jih je izdelala kapljajoča voda,,,v ilovnatem jamskem dnu,,,Nekaj centimetrov ali decimetrov visoke,,,,,,ki jih je izdelala,,,,,,,,,,,visoke,,
fazna meja,C. Geome|D.3 Property|D.1 Abiotic|A.2 Underground landform|D.1 Abiotic,speleogenetskem prostoru|fazna meja|matično kamnino|speleofaktov|Ploskev,"fazna meja - Ploskev, ki v speleogenetskem prostoru ločuje matično kamnino od speleofaktov oz. speleofakte med seboj.",,,,,,,Ploskev,,,Ploskev,ločuje matično kamnino od speleofaktov,v speleogenetskem prostoru,,,,,,,,,,,,,,ločuje,v,,,,,,,
fosilizacija,A.2 Underground landform|A.3 Hydrological form|D.1 Abiotic|B.4 Transformation|B.3 Addition|A.3 Hydrological form|B. Process|D.1 Abiotic|A.2 Underground landform|D.1 Abiotic|B.2 Loss|B.4 Transformation,fosiliziranem kanalu|neprežeti coni|kompaktna kamnina|diagenezo|sedimentacije|prežeti|fosilizacija|Polnilo|kanala|kamnina|rušenja|Preoblikovanje,fosilizacija (kanala) - Preoblikovanje kanala v prežeti ali neprežeti coni. Poleg sedimentacije in rušenja vključuje tudi diagenezo. Polnilo v fosiliziranem kanalu se obnaša kot kompaktna kamnina in f. kanal pri možnem ponovnem zakrasevanju ne more služiti kot inicialna struktura. kamnina,,,,Polnilo v fosiliziranem kanalu se obnaša kot kompaktna kamnina,Poleg sedimentacije in rušenja vključuje tudi diagenezo|Preoblikovanje kanala,,Preoblikovanje kanala,,,,,v prežeti ali neprežeti coni,,,,,,rušenja|sedimentacije|diagenezo,,,,,,,,,v,,,,,,,
prežeti coni,C. Geome|C. Geome,freatična cona|prežeti coni,freatična cona - Sinonim prežeti coni.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
freatična cona,C. Geome|C. Geome,freatična cona|prežeti coni,freatična cona - Sinonim prežeti coni.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
freatični kanal,D.3 Property|A.2 Underground landform|C. Geome|D.3 Property|A.2 Underground landform,lečast prečni presek|freatični kanal|prežeti coni|elipsast|Kanal,"freatični kanal - Kanal, nastal v prežeti coni. Njegov prostorski potek se ne ravna po vodoravni smeri, temveč po smeri inicialnih struktur. Značilna sta elipsast ali lečast prečni presek.",,,,,,,Kanal,,"Njegov prostorski potek se ne ravna po vodoravni smeri , temveč po smeri inicialnih struktur",Značilna sta elipsast ali lečast prečni presek,,nastal v prežeti coni,,,,,,,,,,,,,Značilna sta,,v,,,,,,,
freatično brezno,A.2 Underground landform|C. Geome|A.2 Underground landform|D.1 Abiotic|A.2 Underground landform|D.1 Abiotic|B. Process|A.2 Underground landform|D. Entity/Element/Property|D.3 Property|A.2 Underground landform,freatično brezno|prežeti coni|lezičnih kanalov|inicialne strukture|freatična brezna|vodni tok|preskoku|kanala|padnici|elipsasta|kaminom,"freatično brezno - Strukturni segment, ki nastane v prežeti coni ob preskoku kanala z enega začetnega horizonta v drugega. Prostorska orientacija freatičnega brezna se ravna približno po padnici inicialne strukture. Manjša freatična brezna so v prečnem (približno vodoravnem) prerezu elipsasta in podobna kaminom. Od njih ločimo reatična brezna najlaže po tem, da se na nasprotnih straneh lezičnih kanalov, katere povezujejo, ne nadaljujejo. Ob nastajanju sledi vodni tok pravilu veznih posod in se lahko giba navzdol ali navzgor.",,,,,,,,,ob preskoku kanala z enega začetnega horizonta v drugega|se ravna približno po padnici inicialne strukture,so v prečnem ( približno vodoravnem ) prerezu elipsasta in podobna kaminom,,ki nastane v prežeti coni,,,,,,,,,ob,,,,podobna,,v,,,,,,,
Gamsov efekt,C. Geome|D.3 Property|D.3 Property|C. Geome|D.1 Abiotic|D.3 Property|D.3.1 Geolocation|D.1 Abiotic|A.2 Underground landform|C. Geome|A.3 Hydrological form|D.1 Abiotic|A.3 Hydrological form|C. Geome|D.1 Abiotic|D.1 Abiotic|B. Process|D.3 Property|D.1 Abiotic|A.3 Hydrological form|D.1 Abiotic|A.2 Underground landform|D.1 Abiotic|A.3 Hydrological form|A.2 Underground landform,nekraškega površja|Gamsov efekt|tluvialnih razmer|kraško podzemlje|piezometrični gladini|nizvodnem stiku|na Slovenskem|gladine podtalnice|tunelski rov|kras|ponikalnica|plavje|podtalnice|nekrasom|prod|vode|izoblikuje|pretok|vodo|kanalih|nasipu|svežnja|voda|vdor|jam,"Gamsov efekt - Način preoblikovanja svežnja, ko ponikalnica z nekraškega površja vnaša prod. Ker pretok in transportna moč vode nista popolnoma enakomerna, se plavje odlaga v globljih delih svežnja. To prisili vodo, da ubira pota po kanalih, ki so vse bliže piezometrični gladini. Če proces traja dovolj dolgo, voda končno izoblikuje tunelski rov vzdolž gladine podtalnice in teče po lastnem nasipu. Dejansko to pomeni vdor tluvialnih razmer v kraško podzemlje (transenvironmental effect) in Gamsov efekt je značilen za kras na nizvodnem stiku z nekrasom. l. Gams (1959) je tako razložil lego in nastanek večine največjih jam na Slovenskem. podtalnice vzdolž gladine podtalnice",,,,,,,preoblikovanja svežnja,,"To prisili vodo , da ubira pota po kanalih , ki so vse bliže piezometrični gladini|Ker pretok in transportna moč vode nista popolnoma enakomerna|ko ponikalnica z nekraškega površja vnaša prod",,,je značilen za kras na nizvodnem stiku z nekrasom|in teče po lastnem nasipu vzdolž gladine podtalnice,na Slovenskem,Dejansko to pomeni vdor tluvialnih razmer v kraško podzemlje|voda končno izoblikuje tunelski rov vzdolž gladine podtalnice|se plavje odlaga v globljih delih svežnja,,,,,,,,,,,,,vzdolž|na,,,na,Dejansko to pomeni|končno,,,
Gamsov efekt,C. Geome|D.3 Property|D.3 Property|C. Geome|D.1 Abiotic|D.3 Property|D.3.1 Geolocation|D.1 Abiotic|A.2 Underground landform|C. Geome|A.3 Hydrological form|D.1 Abiotic|A.3 Hydrological form|C. Geome|D.1 Abiotic|D.1 Abiotic|B. Process|D.3 Property|D.1 Abiotic|A.3 Hydrological form|D.1 Abiotic|A.2 Underground landform|D.1 Abiotic|A.3 Hydrological form|A.2 Underground landform,nekraškega površja|Gamsov efekt|tluvialnih razmer|kraško podzemlje|piezometrični gladini|nizvodnem stiku|na Slovenskem|gladine podtalnice|tunelski rov|kras|ponikalnica|plavje|podtalnice|nekrasom|prod|vode|izoblikuje|pretok|vodo|kanalih|nasipu|svežnja|voda|vdor|jam,"Gamsov efekt - Način preoblikovanja svežnja, ko ponikalnica z nekraškega površja vnaša prod. Ker pretok in transportna moč vode nista popolnoma enakomerna, se plavje odlaga v globljih delih svežnja. To prisili vodo, da ubira pota po kanalih, ki so vse bliže piezometrični gladini. Če proces traja dovolj dolgo, voda končno izoblikuje tunelski rov vzdolž gladine podtalnice in teče po lastnem nasipu. Dejansko to pomeni vdor tluvialnih razmer v kraško podzemlje (transenvironmental effect) in Gamsov efekt je značilen za kras na nizvodnem stiku z nekrasom. l. Gams (1959) je tako razložil lego in nastanek večine največjih jam na Slovenskem. podtalnice vzdolž gladine podtalnice",,,,,,,preoblikovanja svežnja,,"To prisili vodo , da ubira pota po kanalih , ki so vse bliže piezometrični gladini|Ker pretok in transportna moč vode nista popolnoma enakomerna|ko ponikalnica z nekraškega površja vnaša prod",,,je značilen za kras na nizvodnem stiku z nekrasom|in teče po lastnem nasipu vzdolž gladine podtalnice,na Slovenskem,Dejansko to pomeni vdor tluvialnih razmer v kraško podzemlje|voda končno izoblikuje tunelski rov vzdolž gladine podtalnice|se plavje odlaga v globljih delih svežnja,,,,,,,,,,,,,vzdolž|na,,,na,Dejansko to pomeni|končno,,,
Gospodaričev efekt,D.3 Property|C. Geome|C. Geome|D.3.1 Geolocation|D.3.1 Geolocation|A.2 Underground landform|B. Process|A.2 Underground landform|D.3 Property|C. Geome|A.2 Underground landform|D.1 Abiotic|C. Geome|B.1 Movement|D.1 Abiotic|A.2 Underground landform|D.1 Abiotic,Gospodaričev efekt|čistem krasu|kraškem podzemlju|Planinski jami|Planinske koleševke|tunelski rovi|nekraškega mehanizma|tunelskih rovov|zasuti|krasa|svežnja|voda|nekrasom|prenaša|plavja|kanali|prod,"Gospodaričev efekt - Način preoblikovanja svežnja, ko voda prenaša prod, ki nastaja v samem kraškem podzemlju. Končni učinek je podoben Gamsovemu e., torej nastanejo tunelski rovi. Ker pa gre za manjše količine plavja kot v primeru Gamsovega e., niže ležeči kanali niso vedno zasuti. Gospodaričev e. ni vezan na stik krasa z nekrasom in je izjemen primer nekraškega mehanizma v čistem krasu. R. Gospodarič (1976) je tako razložil nastanek tunelskih rovov v Planinski jami. Podzemska Pivkajihje oblikovala s prodom, ki izvira iz podora Planinske koleševke.",,,,,,,preoblikovanja svežnja,,"ko voda prenaša prod , ki nastaja v samem kraškem podzemlju",,,,v Planinski jami,niže ležeči kanali niso vedno zasuti|torej nastanejo tunelski rovi,,,,,,,,,,,,,,,,,torej nastanejo,,,
gravitacijska voda,B.1 Movement|C. Geome|A.3 Hydrological form|D.1 Abiotic|D.1 Abiotic|D.1 Abiotic|D.1 Abiotic|D.1 Abiotic|A.2 Underground landform|D.1 Abiotic,prosto pada|prežeti coni|neprežeto cono|Gravitacijska voda|gravitacijska voda|Gravitacijska voda|Prenikla voda|voda|kanale|gladino,"gravitacijska voda - Prenikla voda, ki se skozi neprežeto cono spušča malone navpično proti prežeti coni. Gravitacijska voda ne le da ima prosto gladino, ampak lahko tudi prosto pada. Gravitacijska voda zapolni kanale le izjemoma. voda",,,,,,,Prenikla voda,ne le da ima prosto gladino|lahko tudi prosto pada,,,zapolni kanale,ki se skozi neprežeto cono spušča malone navpično proti prežeti coni,,,,,,,,ima,,,,,,zapolni,ki se skozi,,,,,,,
haloklinala,D.1 Abiotic|A.2 Underground landform|D.1 Abiotic|D.1 Abiotic|D.1 Abiotic|D.1 Abiotic|D.1 Abiotic|D.3 Property|D.3 Property|D.3 Property,morskih grebenih|kraških votlin|slano podtalnico|sladkovodno lečo|atolih|vode|voda|haloklinala|agresivnost|Meja,"haloklinala - Meja med slano podtalnico in sladkovodno lečo na morskih grebenih in atolih. Zaradi stika obeh voda se poveča agresivnost vode, ki oblikuje posebne tipe kraških votlin.",,,,,,,Meja,,,,,med slano podtalnico in sladkovodno lečo na morskih grebenih in atolih,,Zaradi stika obeh voda se poveča agresivnost vode|oblikuje posebne tipe kraških votlin,,,,,,,,,,,,,med|na,,,,se poveča,,,
hidrografske cone,C. Geome|C. Geome|D.1 Abiotic|C. Geome,Območja speleogentskega prostora|hidrografske cone|podzemske vode|speleogentskega prostora,"hidrografske cone (v krasu) - Območja speleogentskega prostora, kjer vladajo značilni režimi obnašanja podzemske vode. speleogentskega prostora",,,,,,,Območja speleogentskega prostora,kjer vladajo značilni režimi obnašanja podzemske vode,,,,,,,,,,,,kjer vladajo,,,,,,,,,,,,,,
neprežeta cona,C. Geome|C. Geome|D.1 Abiotic|D.1 Abiotic,speleogenetskega prostora|neprežeta cona|gladino podtalnice|podtalnice,neprežeta cona - Zakraseli del speleogenetskega prostora nad gladino podtalnice. podtalnice,,,,,,,del speleogenetskega prostora,,,Zakraseli,,nad gladino podtalnice,,,,,,,,,,,,,,,nad,,,,,,,
prežeta cona,A.3 Hydrological form|C. Geome,prežeta cona|speleogenetskega prostora,prežeta cona - obsega zakraseli del speleogenetskega prostora pod njo.,,,,obsega zakraseli del speleogenetskega prostora,,,speleogenetskega prostora,,,,,pod njo,,,,,,,,,,,obsega,,,,pod,,,,,,,
hidrotermalni kras,C. Geome|D.1 Abiotic|C. Geome,hidrotermalni kras|hidrotermalnih voda|prežete cone,hidrotermalni kras - nastal zaradi delovanja hidrotermalnih voda. Pojavljajo se samo nekatere oblike prežete cone.,,,,,,,,,nastal zaradi delovanja hidrotermalnih voda,,,,,,,,,,,,nastal zaradi,,,,,,,,,,,,,
injekcijska zavesa,E.2 Method|C. Geome|A.1 Surface landform,injekcijska zavesa|kraškem podzemlju|kraških poljih,"injekcijska zavesa: Navpični sloj, v katerem z uvajanjem posebne gmote zapolnijo votline v kraškem podzemlju in ga napravijo neprepustnega, da preprečuje vodni odtok iz vodnega bazena. Znane injekcijske zavese so na spodnji strani vodnih akumulacij za hidroelektrarne na kraških poljih dinarskega krasa (sistem HE na Cetini, Trebišnjici).",,,,,,,,,,Navpični sloj,"v katerem z uvajanjem posebne gmote zapolnijo votline v kraškem podzemlju in ga napravijo neprepustnega , da preprečuje vodni odtok iz vodnega bazena .",,,,,,,,,,,,,,,,,,,,,,,
Inkazija,B.4 Transformation|B.1 Movement|B.4 Transformation|B.1 Movement|B.4 Transformation|B.4 Transformation,skladovnem odlomu|jamskih podorov|blokovni odlom|rušenja skalovja|Inkazija|Preoblikovanje,"Inkazija: Preoblikovanje jamskega prostora zaradi jamskih podorov in drugih oblik rušenja skalovja. Če se odlepi ob leziki del sklada, govorimo o skladovnem odlomu. Če se odlomi skalni blok, je to blokovni odlom.",,,,,,,Preoblikovanje jamskega prostora,,zaradi jamskih podorov in drugih oblik rušenja skalovja,,,,,,,,,blokovni odlom|skladovnem odlomu,,,zaradi,,,,,,,,,,,,,
jama,A.2 Underground landform|D.1 Abiotic|A.2 Underground landform,kraška jama|podzemeljska votlina|jama,"jama: V širšem pomenu prehodna podzemeljska votlina, ne glede na to, ali je vodoravna ali navpična (brezno). V ožjem smislu prehodna, pretežno horizontalna podzemeljska votlina; nasprotje brezna, ki je navpično. V splošni literaturi se rabi kraška jama, da ne bi prišlo do zamenjave z vdolbino na površju. V nekaterih slovenskih dialektih pomeni beseda jama brezno.",,,,,,,podzemeljska votlina,,,pretežno horizontalna podzemeljska votlina|vodoravna ali navpična,prehodna,,,,,,,,,,,,,,,,,,,,,,,
vodna jama,D.1 Abiotic|A.2 Underground landform|A.2 Underground landform,vodni tok|vodna jama|Jama,"vodna jama: Jama, ki ima stalni ali obdobni vodni tok ali jo v velji meri zapolnjuje stojela voda. Nasprotje je suha jama.",,,,jo v velji meri zapolnjuje stojela voda,,,Jama,,,,ki ima stalni ali obdobni vodni tok,,,,,,,,,,,,,,,,,,,,,,,
suha jama,A.2 Underground landform|A.2 Underground landform,suha jama|Jama,"suha jama: Jama brez stalnega ali obdobnega vodnega toka, ne glede na prenikajočo vodo.",,,,,,,Jama,,,,"brez stalnega ali obdobnega vodnega toka , ne glede na prenikajočo vodo",,,,,,,,,,,,,,,,,,,,,,,
izvirna jama,A.2 Underground landform|D.1 Abiotic|D.1 Abiotic|A.2 Underground landform,izvirna jama|potok|reka|Jama,"izvirna jama: Jama, iz katere teče potok ali reka. ponorna jama, A: inflow cave, influent cave, inlet cave. Jama, v katero ponira vodni tok.",,,,,,,Jama,,,,iz katere teče potok ali reka,,,,,,,,,,,,,,,,,,,,,,,
