DEFINIENDUM,DEFINITOR,GENUS,SPECIES,SENTENCE
freatična voda,,Kraška voda,,"freatična voda, freatični vodni tok: Kraška voda (vodni tok) v freatični coni. Zapolnjuje votline pod piezometričnim nivojem (nivojem kraške vode)."
ujeta voda,,Voda,,"ujeta voda: Voda, ki v freatični coni stagnira v slepih ali nepovezanih kanalih."
zajezena kraška voda,,kraška voda,,"zajezena kraška voda: Je podzemeljska kraška voda v globoki freatični coni, ki zapolnjuje vodoprehodne votline pod piezometričnim nivojem, katerega višino določajo vodoneprepustne kamnine."
hidrogeološki izolator,,Neprepustna kamnina,,"hidrogeološki izolator: Neprepustna kamnina v kraškem ozemlju, navadno v obliki vložka, ki razdvaja porečji ali zajezuje podzemeljski vodni tok."
hladna jama,,Jama,,"Hladnica, hladna jama: Jama, ki je poleti nadpovprečno hladna, ker je žepaste oblike, z enim vhodom iznad votline, tako da se v njej zadržuje zimski hlad."
Hladnica,,Jama,,"Hladnica, hladna jama: Jama, ki je poleti nadpovprečno hladna, ker je žepaste oblike, z enim vhodom iznad votline, tako da se v njej zadržuje zimski hlad."
hodnik,,jamski rov,,"hodnik: Precejšen, dokaj enakomerno širok in visok jamski rov, po katerem je hoja razmeroma lahka."
hum,,,,"hum: V kraški literaturi pomeni osamljen korozijsko-erozijsko-denudacijski ostanek višjega reliefa, zlasti na dnu kraškega polja. Slovensko ljudsko tudi goričica za nizke osamelce (npr. na Cerkniškem polju). Ljudsko ime v vseh jugoslovanskih jezikih, v različnih inačicah (hom, holm, holmec, hum). Pomeni osamljeno vzpetinico, golico ali grič na ravnini, tudi izven krasa."
ilovnate piramide,,piramide,,"ilovnate piramide: Nekaj centimetrov ali decimetrov visoke piramide v ilovnatem jamskem dnu, ki jih je izdelala kapljajoča voda."
fazna meja,,Ploskev,,"fazna meja - Ploskev, ki v speleogenetskem prostoru ločuje matično kamnino od speleofaktov oz. speleofakte med seboj."
fosilizacija,,Preoblikovanje kanala,rušenja|sedimentacije|diagenezo,fosilizacija (kanala) - Preoblikovanje kanala v prežeti ali neprežeti coni. Poleg sedimentacije in rušenja vključuje tudi diagenezo. Polnilo v fosiliziranem kanalu se obnaša kot kompaktna kamnina in f. kanal pri možnem ponovnem zakrasevanju ne more služiti kot inicialna struktura. kamnina
prežeti coni,,,,freatična cona - Sinonim prežeti coni.
freatična cona,,,,freatična cona - Sinonim prežeti coni.
freatični kanal,,Kanal,,"freatični kanal - Kanal, nastal v prežeti coni. Njegov prostorski potek se ne ravna po vodoravni smeri, temveč po smeri inicialnih struktur. Značilna sta elipsast ali lečast prečni presek."
freatično brezno,,,,"freatično brezno - Strukturni segment, ki nastane v prežeti coni ob preskoku kanala z enega začetnega horizonta v drugega. Prostorska orientacija freatičnega brezna se ravna približno po padnici inicialne strukture. Manjša freatična brezna so v prečnem (približno vodoravnem) prerezu elipsasta in podobna kaminom. Od njih ločimo reatična brezna najlaže po tem, da se na nasprotnih straneh lezičnih kanalov, katere povezujejo, ne nadaljujejo. Ob nastajanju sledi vodni tok pravilu veznih posod in se lahko giba navzdol ali navzgor."
Gamsov efekt,,preoblikovanja svežnja,,"Gamsov efekt - Način preoblikovanja svežnja, ko ponikalnica z nekraškega površja vnaša prod. Ker pretok in transportna moč vode nista popolnoma enakomerna, se plavje odlaga v globljih delih svežnja. To prisili vodo, da ubira pota po kanalih, ki so vse bliže piezometrični gladini. Če proces traja dovolj dolgo, voda končno izoblikuje tunelski rov vzdolž gladine podtalnice in teče po lastnem nasipu. Dejansko to pomeni vdor tluvialnih razmer v kraško podzemlje (transenvironmental effect) in Gamsov efekt je značilen za kras na nizvodnem stiku z nekrasom. l. Gams (1959) je tako razložil lego in nastanek večine največjih jam na Slovenskem. podtalnice vzdolž gladine podtalnice"
Gamsov efekt,,preoblikovanja svežnja,,"Gamsov efekt - Način preoblikovanja svežnja, ko ponikalnica z nekraškega površja vnaša prod. Ker pretok in transportna moč vode nista popolnoma enakomerna, se plavje odlaga v globljih delih svežnja. To prisili vodo, da ubira pota po kanalih, ki so vse bliže piezometrični gladini. Če proces traja dovolj dolgo, voda končno izoblikuje tunelski rov vzdolž gladine podtalnice in teče po lastnem nasipu. Dejansko to pomeni vdor tluvialnih razmer v kraško podzemlje (transenvironmental effect) in Gamsov efekt je značilen za kras na nizvodnem stiku z nekrasom. l. Gams (1959) je tako razložil lego in nastanek večine največjih jam na Slovenskem. podtalnice vzdolž gladine podtalnice"
Gospodaričev efekt,,preoblikovanja svežnja,,"Gospodaričev efekt - Način preoblikovanja svežnja, ko voda prenaša prod, ki nastaja v samem kraškem podzemlju. Končni učinek je podoben Gamsovemu e., torej nastanejo tunelski rovi. Ker pa gre za manjše količine plavja kot v primeru Gamsovega e., niže ležeči kanali niso vedno zasuti. Gospodaričev e. ni vezan na stik krasa z nekrasom in je izjemen primer nekraškega mehanizma v čistem krasu. R. Gospodarič (1976) je tako razložil nastanek tunelskih rovov v Planinski jami. Podzemska Pivkajihje oblikovala s prodom, ki izvira iz podora Planinske koleševke."
gravitacijska voda,,Prenikla voda,,"gravitacijska voda - Prenikla voda, ki se skozi neprežeto cono spušča malone navpično proti prežeti coni. Gravitacijska voda ne le da ima prosto gladino, ampak lahko tudi prosto pada. Gravitacijska voda zapolni kanale le izjemoma. voda"
haloklinala,,Meja,,"haloklinala - Meja med slano podtalnico in sladkovodno lečo na morskih grebenih in atolih. Zaradi stika obeh voda se poveča agresivnost vode, ki oblikuje posebne tipe kraških votlin."
hidrografske cone,,Območja speleogentskega prostora,,"hidrografske cone (v krasu) - Območja speleogentskega prostora, kjer vladajo značilni režimi obnašanja podzemske vode. speleogentskega prostora"
neprežeta cona,,del speleogenetskega prostora,,neprežeta cona - Zakraseli del speleogenetskega prostora nad gladino podtalnice. podtalnice
prežeta cona,,speleogenetskega prostora,,prežeta cona - obsega zakraseli del speleogenetskega prostora pod njo.
hidrotermalni kras,,,,hidrotermalni kras - nastal zaradi delovanja hidrotermalnih voda. Pojavljajo se samo nekatere oblike prežete cone.
injekcijska zavesa,,,,"injekcijska zavesa: Navpični sloj, v katerem z uvajanjem posebne gmote zapolnijo votline v kraškem podzemlju in ga napravijo neprepustnega, da preprečuje vodni odtok iz vodnega bazena. Znane injekcijske zavese so na spodnji strani vodnih akumulacij za hidroelektrarne na kraških poljih dinarskega krasa (sistem HE na Cetini, Trebišnjici)."
Inkazija,,Preoblikovanje jamskega prostora,blokovni odlom|skladovnem odlomu,"Inkazija: Preoblikovanje jamskega prostora zaradi jamskih podorov in drugih oblik rušenja skalovja. Če se odlepi ob leziki del sklada, govorimo o skladovnem odlomu. Če se odlomi skalni blok, je to blokovni odlom."
jama,,podzemeljska votlina,,"jama: V širšem pomenu prehodna podzemeljska votlina, ne glede na to, ali je vodoravna ali navpična (brezno). V ožjem smislu prehodna, pretežno horizontalna podzemeljska votlina; nasprotje brezna, ki je navpično. V splošni literaturi se rabi kraška jama, da ne bi prišlo do zamenjave z vdolbino na površju. V nekaterih slovenskih dialektih pomeni beseda jama brezno."
vodna jama,,Jama,,"vodna jama: Jama, ki ima stalni ali obdobni vodni tok ali jo v velji meri zapolnjuje stojela voda. Nasprotje je suha jama."
suha jama,,Jama,,"suha jama: Jama brez stalnega ali obdobnega vodnega toka, ne glede na prenikajočo vodo."
izvirna jama,,Jama,,"izvirna jama: Jama, iz katere teče potok ali reka. ponorna jama, A: inflow cave, influent cave, inlet cave. Jama, v katero ponira vodni tok."
abrazijska jama,,,,"morska jama, abrazijska jama: Leži na obali v nivoju morske gladine, tako da jo delno ali v celoti zaliva morska voda. Prim. Modra špilja na Biševu, Grotta azzurra pri Capriju. V širšem smislu vsaka jama, ki je nastala na obali zaradi abrazije (delovanja morskih valov)."
morska jama,,,,"morska jama, abrazijska jama: Leži na obali v nivoju morske gladine, tako da jo delno ali v celoti zaliva morska voda. Prim. Modra špilja na Biševu, Grotta azzurra pri Capriju. V širšem smislu vsaka jama, ki je nastala na obali zaradi abrazije (delovanja morskih valov)."
snežna jama,,Jama,,"snežna jama: Jama, kjer se dolgo v poletje zadržuje v jamo zapadli sneg. Cesto se odpira pod strmim pobočjem, od koder se plazilci vsipajo v jamo. sneg"
ledena jama,,Jama,,"ledena jama, ledenica: Jama žepaste oblike z vhodom iznad glavne votline. Zato lahko priteka pozimi vanjo hladnejši zunanji zrak. V njej se velji del leta ali trajno zadržujejo ledene gmote. Navadno je žepaste oblike tipa hladnice."
ledenica,,Jama,,"ledena jama, ledenica: Jama žepaste oblike z vhodom iznad glavne votline. Zato lahko priteka pozimi vanjo hladnejši zunanji zrak. V njej se velji del leta ali trajno zadržujejo ledene gmote. Navadno je žepaste oblike tipa hladnice."
kristalna jama,,Jama,,"kristalna jama: Jama, kjer se javljajo na oko vidni kristali kot pomembna sigova tvorba."
kapniška jama,,Jama,,"kapniška jama: Jama, za katero so kapniki značilen množični pojav."
aragonitna jama,,Jama,,"aragonitna jama: Jama s tvorbami (kapniki, ježki ipd.) iz aragonita."
erozijska jama,,Jama,,"erozijska jama: Jama, nastala pretežno z mehaničnim delovanjem tekoče vode (erozijo)."
korozijska jama,,,,korozijska jama: Nastala pretežno s korozijskim procesom.
mrtva jama,,Jama,,"mrtva jama: Jama, kjer ne delujejo niti evakuacijski niti akumulacijski procesi."
srednejevropski kras,,Kras,,"srednejevropski kras, kras Jure, moravski tip: Kras s suhimi dolinami na planotastem nizkem reliefu in z redkimi drugimi kraškimi pojavi na površju."
moravski tip,,Kras,,"srednejevropski kras, kras Jure, moravski tip: Kras s suhimi dolinami na planotastem nizkem reliefu in z redkimi drugimi kraškimi pojavi na površju."
kras Jure,,Kras,,"srednejevropski kras, kras Jure, moravski tip: Kras s suhimi dolinami na planotastem nizkem reliefu in z redkimi drugimi kraškimi pojavi na površju."
sredozemski kras,pomeni|pomeni,kras|kras,,"mediteranski kras, sredozemski kras: Kot geografska oznaka pomeni kras v Sredozemlju in v njegovem obodu. Kot klimatogenetska oznaka pomeni kras, ki nastaja v pogojih sredozemske klime."
mediteranski kras,pomeni|pomeni,kras|kras,,"mediteranski kras, sredozemski kras: Kot geografska oznaka pomeni kras v Sredozemlju in v njegovem obodu. Kot klimatogenetska oznaka pomeni kras, ki nastaja v pogojih sredozemske klime."
subnivalni kras,,Kras,,"subnivalni kras: Kras v višinskem ali subarktičnem pasu, kjer sneg kot očitni morfogenetski dejavnik skopni le čez poletje, tudi pas pod nivalnim krasom ali gozdnati pas, kjer je v glacialnih dobah nastal nivalni kras."
subpolarni kras,,Kras,,"subpolarni kras, subarktični kras: Kras, nastal v subpolarni (subarktični) klimi."
subarktični kras,,Kras,,"subpolarni kras, subarktični kras: Kras, nastal v subpolarni (subarktični) klimi."
tropski kras,,Kras,Kegelkarst,"tropski kras: Kras, nastal v trajno ali sezonsko vlažni tropski klimi. V starejši literaturi sinonim za Kegelkarst. Značilne zanj so strme vzpetine (stogi, stolpi)."
goli kras,,kamnito ozemlje|Kras|ozemlje,,"goli kras:. Kras, katerega površje je po veliki večini kamnito. V rabi je tudi pojmovanje, da je goli kras ozemlje brez zelenja ali kamnito ozemlje brez zelenja."
pokriti kras,,Kras,,"pokriti kras: Kras, katerega površje po veliki večini pokriva zemlja oz. preperelina."
polgoli kras,,Kras,,"polgoli kras, polpokriti kras: Kras, kjer se prepletajo gole in pokrite kraške površine. Prehodna oblika med golim in pokritim krasom."
polpokriti kras,,Kras,,"polgoli kras, polpokriti kras: Kras, kjer se prepletajo gole in pokrite kraške površine. Prehodna oblika med golim in pokritim krasom."
laštasti kras,Posebna oblika,krasa,,"laštasti kras: Posebna oblika golega, običajno visokogorskega krasa, kjer so lašti (gl. lašt) značilne površinske oblike."
čokati kras,,Polpokriti kras,,"čokati kras: Polpokriti kras, kjer molijo na površje čokati kamni, visoki do enega metra in več."
kozavi kras,,Kras,,"kozavi kras: Kras s tako gostimi vrtačami, da spominja na kožo človeka, ki je prebolel koze."
poligonalni kras,,Kras,,"poligonalni kras: Kras, kjer so kraške kotanje, nastale z zraščanjem vrtač, iz zraka vidne kot poligonalna mreža. Pogojen je s “ parketnim ” razporedom tektonskih prepok. Pogost v tropskem krasu."
Fluviokras,,Kras,kras Notranjskega podolja,"Fluviokras: Kras, katerega površje je izoblikoval fluvialni proces (erozija, denudacija), čeprav je bila korozija znatna, vendar ne odločilna za relief. kras kraških polj in podolijl. Kras, kjer so kraška polja in povezane suhe doline - podolja - poglavitne kraške značilnosti površja (npr. kras Notranjskega podolja)."
rebrasti kras,,Polgoli kras,,"rebrasti kras: Polgoli kras, kjer molijo na površje podolgovati kamni rebraste oblike do enega metra in več. Često so to cela odpornejših skladov."
stolpasti kras,,Oblika tropskega krasa,,"stolpasti kras: Oblika tropskega krasa z značilnimi, do 100 in več metrov visokimi vzpetinami, podobnimi stolpom oziroma vitkim piramidam."
korozijski ravnik,,Kraški ravnik,,"korozijski ravnik: Kraški ravnik, ki je nastal pretežno s korozijskimi procesi. Prim. kraški ravnik."
kotlič,,globel,,"kotlič: Skalnata globel okroglaste, podolgovate ali oglate oblike s premerom nekaj metrov, s strmimi stenami in snegom, ki se zadržuje v dnu večino leta. Značilen za visokogorski kras (Kunaver, 1962)."
kras,,Ozemlje,,"kras: Pri drugih neslovenskih narodih karst (tudi rusko), pri Čehih, Slovakih, Poljakih kras. Ozemlje, kjer vlada zaradi razpoklinske prepustnosti kamnine podzemeljsko (kraško) pretakanje vode, učinkovito kemično raztapljanje kamnin in kjer so lahko razvite tudi značilne površinske in podzemeljske oblike. Beseda je predindoevropskega izvora (carra = kamen) in je bila do srede 19. stol. samo pokrajinsko ime za regijo Kras med Tržaškim zalivom in Vipavsko dolino. Največ s posredovanjem avstrijske strokovne literature je postala v obliki karst mednarodni termin."
matični kras,,Kras,,"matični kras: Kras kraške pokrajine med Tržaškim zalivom in Vipavsko dolino v regiji, ki jo imenujemo Kras in katere ime je prešlo v krasoslovno terminologijo kot geomorfološki termin."
klasični kras,V širšem pomenu,Kraško ozemlje,,"klasični kras: Kraško ozemlje med Trstom, Kvarnerskim zalivom in Postojno, katerega kraške značilnosti so bile prvič strokovno opisane. V širšem pomenu ozemlje z izrazitimi kraškimi pojavi. ozemlje"
apneniški kras,,Kras,,apneniški kras: Kras v apnencu.
dolomitni kras,,Kras,,dolomitni kras: Kras v dolomitu.
klastokras,,Kras,,"klastokras: Kras v klasticnih kamninah (prodih, peskih, breci, puhlici)."
kredni kras,,Kras,,kredni kras: Kras v kamnini kredi (ne iz geološke dobe krede!).
puhlični kras,,Kras,,puhlični kras: Kras v puhlici.
solnati kras,,Kras,,solnati kras: Kras v soli (kot kraški kamnini).
sadreni kras,,Kras,,sadreni kras: Kras v sadri.
Glaciokras,,Površinski kras,,"Glaciokras: Površinski kras, ki je nastal ob delovanju kraških in glacialnih procesov. kras"
aridni kras,,,,aridni kras: Nastal je v aridni (sušni) klimi.
nivalni kras,,,,nivalni kras: Nastal v nivalni (snežni) klimi ob vidnem učinkovanju snežnice. V Jugoslaviji danes omejen na visokogorski kras.
jamsko nahajališce,,Jama,,"jamska postaja, jamsko nahajališce: Jama, v kateri so najdeni sledovi zadrževanja predzgodovinskega človeka. Jame s sledovi bivanja v paleolitu so jamske paleolitske postaje. Drug pomen za jamsko postajo: meteorološka postaja v jami."
jamska postaja,,Jama,,"jamska postaja, jamsko nahajališce: Jama, v kateri so najdeni sledovi zadrževanja predzgodovinskega človeka. Jame s sledovi bivanja v paleolitu so jamske paleolitske postaje. Drug pomen za jamsko postajo: meteorološka postaja v jami."
jamski človek,,"Predzgodovinski ( paleolitski , neolitski ) človek",,"jamski človek: Predzgodovinski (paleolitski, neolitski) človek, ki je izkoriščal jame kot pribežališce ali bivališce."
jamski biser,,,,"jamski biser, pizolit: Droben obrušen kamen ali delček sige, ki ga v mirujoči vodi obrača in brusi nanj kapljajoča voda in (ali) debeli s koncentričnimi skorjami sige."
pizolit,,,,"jamski biser, pizolit: Droben obrušen kamen ali delček sige, ki ga v mirujoči vodi obrača in brusi nanj kapljajoča voda in (ali) debeli s koncentričnimi skorjami sige."
jamski kataster,,seznam,,"jamski kataster: Urejen seznam kraških jam, tudi urejena dokumentacija o raziskanih jamah. Kataster navadno vodijo jamarske ali jamoslovne organizacije."
jamski načrt,,,,"jamski načrt: Načrt ali profil jame, izdelan na osnovi meritev."
Jamski podor,,Podor,,Jamski podor (podor): Podor skalovja v jamski steni ali stropu.
končni podor,,Podor,,"končni podor: Podor, ki na koncu jame onemogoča prehod."
jamski udor,,Udor,,"jamski udor: Udor, s katerim se jamski prostor odpre na površje."
jamski rov,,jame,,"jamski rov: Del jame, ki je mnogo bolj razvita veni smeri."
jamski sediment,,Sediment,,"jamski sediment: Sediment v jami, avtohtonega ali alohtonega porekla (kot npr. jamska ilovica – gl. jamska ilovica, siga, pesek itd.)"
jamski sistem,,,,jamski sistem: Razvejan in povezan splet jamskih prostorov večjih dimenzij.
jamsko okno,,Odprtina,,"jamsko okno: Odprtina v jamskem stropu, skozi katero seva nebo."
terra rossa,,zemlja,,"jerina, rdeca zemlja, terra rossa: Rdečkasta zemlja, ki je po prevladujočem naziranju v glavnem netopni ostanek karbonatov. Značilna za submediteranski in mediteranski kras."
rdeca zemlja,,zemlja,,"jerina, rdeca zemlja, terra rossa: Rdečkasta zemlja, ki je po prevladujočem naziranju v glavnem netopni ostanek karbonatov. Značilna za submediteranski in mediteranski kras."
jerina,,zemlja,,"jerina, rdeca zemlja, terra rossa: Rdečkasta zemlja, ki je po prevladujočem naziranju v glavnem netopni ostanek karbonatov. Značilna za submediteranski in mediteranski kras."
kal,,vodna kotanja,,"kal: Večja vodna kotanja, navadno trajno ali vsaj večji del leta z vodo napolnjena vrtača z nepropustnim dnom. To je redko prirodno nepropustno; navadno je pa tako šele po posegu človeka."
kalcit,,Mineral,,"kalcit: Mineral, kalcijev karbonat CaCO3, ki kristalizira heksagonalno; osnovno gradivo apnenca."
Geomorfološka karta,je,karta,,"Geomorfološka karta je karta, ki prikazuje kompleksno podobo reliefa nekega območja."
Litotamnijski apnenec,je,kamnina,,Litotamnijski apnenec je biogena kamnina kopučaste teksture.
Litotamnijski apnenec,je,apnena usedlina,,"Litotamnijski apnenec je miocenska (badenijska) apnena usedlina, nastala z biokemičnimi procesi."
Lapornat apnenec,je,plitvomorski sediment,,Lapornat apnenec je plitvomorski sediment iz badenijskega obdobja srednjega miocena.
poplavna ilovica,imenujemo,Sediment,,"Sediment, ki suspendira iz poplavnih vod, imenujemo poplavna ilovica ali glina."
glina,imenujemo,Sediment,,"Sediment, ki suspendira iz poplavnih vod, imenujemo poplavna ilovica ali glina."
Karbonski apnenec,je,matična kamnina,,Karbonski apnenec je osnovna matična kamnina.
osamelec,imenuje tudi|se,Vzpetina,,"Vzpetina je korozijski ostanek sredi korozijske uravnave, zato se hum imenuje tudi osamelec."
hum,imenuje tudi|se,Vzpetina,,"Vzpetina je korozijski ostanek sredi korozijske uravnave, zato se hum imenuje tudi osamelec."
Turloughi,so,mokrišča,,"Turloughi so mokrišča, pomemben habitat za floro in favno, v poletnem času, ko turloughi presahnejo so pomembni za pašo drobnice."
Drumlin,je,grič,,"Drumlin je podolgovat zaobljen grič iz drobirja talne morene, razpotegnjen v smeri premikanja nekdanjega ledenika."
hidromorfnih tal,,,oglejena tla|obrečna tla|psevdogleji,"Najpogostejše skupine hidromorfnih tal so psevdogleji, obrečna tla in oglejena tla."
Rečni otok,je,del kopnega,,Rečni otok je del kopnega v reki.
bifurkacija,ki ga imenujemo,hidrološki pojav,,"Raztekanje voda z istega območja v različna porečja in povodja je hidrološka posebnost, hidrološki pojav, ki ga imenujemo bifurkacija."
Vršaj,je,nasutje,,Vršaj je stožčasto nasutje ob izstopu iz ozkih gorskih grap v široko glavno ravnino.
Grapa,je,dolina,,"Grapa je dolina na pobočju, s precejšnjim strmcem in prečnim profilom v obliki črke V. Voda po njej teče le v majhnih količinah in le občasno, ob nalivih lahko v njih nastanejo siloviti hudourniki."
dolasta uvala,,vdolbina,,"dolasta uvala: Je izrazito podolgovata, dolu podobna vdolbina."
vrtačasta uvala,,,,vrtačasta uvala: Sestavljajo jo zraščene razsežne vrtače.
viseča suha dolina,,suha dolina,,"viseča suha dolina: Na krasu suha dolina, ki se kot odsekana končuje na pobočju."
vetrnica,,Jama,,"vetrnica: Jama, iz katere stalno ali obdobno piha."
Vorfluterniveau,,,,"Vorfluter, Vorfluterniveau: Nivo površinske kraške vode, ki ga določuje morska ali jezerska gladina v zaledju. Izraz se uporablja zlasti pri opisu tropskega krasa, kjer so številna dna kraških polj v višini Vorflutra."
Vorfluter,,,,"Vorfluter, Vorfluterniveau: Nivo površinske kraške vode, ki ga določuje morska ali jezerska gladina v zaledju. Izraz se uporablja zlasti pri opisu tropskega krasa, kjer so številna dna kraških polj v višini Vorflutra."
votlikavost,,,,"votlikavost, kavernoznost: Delež, ki odpade na votline v kraškem podzemlju."
kavernoznost,,,,"votlikavost, kavernoznost: Delež, ki odpade na votline v kraškem podzemlju."
votlina,,podzemeljski prostor,,votlina: Vsak podzemeljski prostor.
votlina,,podzemeljski prostor,,votlina: Večji podzemeljski prostor v nasprotju z ožjimi in nižjimi rovi.
vrtrača,,depresijska oblika,,"vrtrača: V Sloveniji ljudsko dolina, le v Beli Krajini draga. V slovenskem strokovnem slovstvu se je vrtača uveljavila v prvi polovici XX. stol., ker je dolina preširok pojem. Vrtača je depresijska oblika, navadno globoka več metrov in je bolj široka kot globoka."
skledasta vrtača,,,,skledasta vrtača: V prečnem profilu je podobna skledi.
lijakasta vrtača,Je,,,"lijakasta vrtača: Je brez ravnega dna, pobočja pa se navzgor odpirajo."
kotlasta vrtača,,,,kotlasta vrtača: Ima strme stene in ravnejše dno.
vodnjakasta vrtača,,vrtača,,vodnjakasta vrtača: Globoka vrtača s strmimi stenami.
aluvialna vrtača,,Vrtača,,"aluvialna vrtača: Vrtača, nastala v naplavinah."
skalna vrtača,,Vrtača,,"skalna vrtača: Vrtača, katere dno in pobočje je skalnato."
kraška klima,,Klima,klima kraških polj|jamska klima,"kraška klima, kraška mikroklima: Klima kraškega ozemlja, v kateri se odražajo klimatske oz. mikroklimatske lastnosti kraških kotanj (npr. klima kraških polj), kraških tal (posebnosti v geotermični stopnji) in jam (jamska klima)."
kraška mikroklima,,Klima,klima kraških polj|jamska klima,"kraška klima, kraška mikroklima: Klima kraškega ozemlja, v kateri se odražajo klimatske oz. mikroklimatske lastnosti kraških kotanj (npr. klima kraških polj), kraških tal (posebnosti v geotermični stopnji) in jam (jamska klima)."
kraška morfologija,V širšem smislu,Panoga geomorfologije|veda,,"kraška morfologija: Panoga geomorfologije, ki se ukvarja s površinskimi kraškimi oblikami. V širšem smislu veda o površinskih in podzemeljskih oblikah krasa."
kraška votlikavost,,prevotljenost,,"kraška prevotljenost, kraška votlikavost: Značilna prevotljenost kraške kamnine, ki zaradi vodne prepustnosti omogoča razvoj krasa. kamnine"
kraška prevotljenost,,prevotljenost,,"kraška prevotljenost, kraška votlikavost: Značilna prevotljenost kraške kamnine, ki zaradi vodne prepustnosti omogoča razvoj krasa. kamnine"
kraški suhi dol,,suha dolina,,"kraški dol, kraški suhi dol: Dolga suha dolina kanjonske oblike. Po Meliku večja izrazita suha dolina kot bivši rečni kanjon. Po Radinji niz dolastih vrtač."
kraški dol,,suha dolina,,"kraški dol, kraški suhi dol: Dolga suha dolina kanjonske oblike. Po Meliku večja izrazita suha dolina kot bivši rečni kanjon. Po Radinji niz dolastih vrtač."
kraška piraterija,,Razširitev porečja,,kraška piraterija: Razširitev porečja s pretočitvijo sosednjega površinskega vodnega toka skozi kraško podzemlje. toka
kraška voda,v ožjem pomenu|V širšem pomenu,voda,,"kraška voda: V širšem pomenu vsa voda kraškega ozemlja, v ožjem pomenu samo voda kraškega podzemlja, ki se je nabrala s kraškega ozemlja. Po Grundu (1903) del vode v krasu, ki se pretaka iznad nivoja kraških izvirov v kanalih v coni kolebanja gladine kraške vode. podzemlja ozemlja izvirov"
kraški izvir,,iztok kraške vode,,kraški izvir: Vsak naravni iztok kraške vode na površju. vode
bruhalnik,,kraški izvir,,"bruhalnik: Občasni kraški izvir, ki ob visoki vodi bruha vecje količine vode."
intermitentni izvir,,Kraški izvir,,"zaganjalka, minutnik, presihajoči izvir, intermitentni izvir, periodični izvir: Kraški izvir, ki v določenem časovnem razmaku narašča in upada ter Iahko obdobno tudi presiha."
presihajoči izvir,,Kraški izvir,,"zaganjalka, minutnik, presihajoči izvir, intermitentni izvir, periodični izvir: Kraški izvir, ki v določenem časovnem razmaku narašča in upada ter Iahko obdobno tudi presiha."
periodični izvir,,Kraški izvir,,"zaganjalka, minutnik, presihajoči izvir, intermitentni izvir, periodični izvir: Kraški izvir, ki v določenem časovnem razmaku narašča in upada ter Iahko obdobno tudi presiha."
zaganjalka,,Kraški izvir,,"zaganjalka, minutnik, presihajoči izvir, intermitentni izvir, periodični izvir: Kraški izvir, ki v določenem časovnem razmaku narašča in upada ter Iahko obdobno tudi presiha."
minutnik,,Kraški izvir,,"zaganjalka, minutnik, presihajoči izvir, intermitentni izvir, periodični izvir: Kraški izvir, ki v določenem časovnem razmaku narašča in upada ter Iahko obdobno tudi presiha."
