TERM,CATEGORY
kanali,A.2 Underground landform
gravitacijska voda,D.1 Abiotic
Prenikla voda,D.1 Abiotic
neprežeto cono,A.3 Hydrological form
prežeti coni,C. Geome
Gravitacijska voda,D.1 Abiotic
prosto pada,B.1 Movement
Gravitacijska voda,D.1 Abiotic
gladino,D.1 Abiotic
kanale,A.2 Underground landform
voda,D.1 Abiotic
slano podtalnico,D.1 Abiotic
sladkovodno lečo,D.1 Abiotic
morskih grebenih,D.1 Abiotic
kraških votlin,A.2 Underground landform
haloklinala,D.3 Property
Meja,D.3 Property
atolih,D.1 Abiotic
voda,D.1 Abiotic
agresivnost,D.3 Property
vode,D.1 Abiotic
Območja speleogentskega prostora,C. Geome
hidrografske cone,C. Geome
podzemske vode,D.1 Abiotic
speleogentskega prostora,C. Geome
neprežeta cona,C. Geome
speleogenetskega prostora,C. Geome
gladino podtalnice,D.1 Abiotic
podtalnice,D.1 Abiotic
prežeta cona,A.3 Hydrological form
speleogenetskega prostora,C. Geome
hidrotermalni kras,C. Geome
hidrotermalnih voda,D.1 Abiotic
prežete cone,C. Geome
škalba :,A.1 Surface landform
škavnica,A.1 Surface landform
vdolbina,D.1 Abiotic
škavna,A.1 Surface landform
obalna škavnica,A.1 Surface landform
morska voda,D.1 Abiotic
jamica,D.1 Abiotic
plimovanja,B.1 Movement
valovanja,B.1 Movement
podtalna škavnica,A.1 Surface landform
zemlja,D.1 Abiotic
prst,D.1 Abiotic
odprta škavnica,A.1 Surface landform
žleb,D.1 Abiotic
predrta škavnica,A.1 Surface landform
Škavnica,A.1 Surface landform
vode,D.1 Abiotic
škraplja,A.1 Surface landform
škrapa,A.1 Surface landform
izjedenina,D.1 Abiotic
pretakanja,B.1 Movement
noži,A.1 Surface landform
grebeni,A.1 Surface landform
hrbti,A.1 Surface landform
poličke,A.1 Surface landform
jamska škraplja,A.2 Underground landform
prenikajočo vodo,D.1 Abiotic
jami,A.2 Underground landform
obalna škraplja,A.1 Surface landform
pršavice,B.2 Loss
abrazije,B.2 Loss
kavernozna škraplja,A.1 Surface landform
škraplja,A.1 Surface landform
lezična škraplja,A.1 Surface landform
leziki,A.1 Surface landform
luknjasta škraplja,A.1 Surface landform
Izjedenina,D.1 Abiotic
lukenj,D.1 Abiotic
raz,D.1 Abiotic
škrapljasti vodnjak,A.3 Hydrological form
luknja,D.1 Abiotic
nožasta škraplja,A.1 Surface landform
Škraplje,A.1 Surface landform
grebenček,D.1 Abiotic
poklinasta škraplja,A.1 Surface landform
strukturna škraplja,A.1 Surface landform
poklino,D.1 Abiotic
porušena škraplja,A.1 Surface landform
porušitvijo,B.4 Transformation
škrapljami,A.1 Surface landform
griža,A.1 Surface landform
prikriti kras,C. Geome
sedimentnim pokrovom,D.1 Abiotic
recentni kras,C. Geome
Kras,C. Geome
površju,D.1 Abiotic
fosilni,C. Geome
prekriti kras,C. Geome
skriti kras4,C. Geome
kraških pojavov,D.1 Abiotic
naplavinami,D.1 Abiotic
kras,C. Geome
Kras,C. Geome
sedimenti,D.1 Abiotic
obrežni kras,C. Geome
jezerski obali,D.1 Abiotic
Kras,C. Geome
obali,D.1 Abiotic
linearni kras,C. Geome
depresijskih oblik,D.1 Abiotic
Kras,C. Geome
reber,D.1 Abiotic
vzpetinic,D.1 Abiotic
osameli kras,C. Geome
osamljeni kras,C. Geome
oazni kras,C. Geome
kras,C. Geome
zajezeni kras,C. Geome
erozijska baza,D.1 Abiotic
freatično cono,D.1 Abiotic
masiv,D.1 Abiotic
kamnine,D.1 Abiotic
Vorfluter,E. Instrument or method
Znanstvena panoga,E. Instrument or method
fizično speleologijo,D. Entity/Element/Property
krasoslovje,D. Entity/Element/Property
kras,C. Geome
veda,D. Entity/Element/Property
biospeleologijo,D. Entity/Element/Property
krasoslovjem,E. Instrument or method
kraška bifurkacija,B.1 Movement
podzemeljski bifurkaciji,B.1 Movement
Loški potok,D.3.1 Geolocation
vertikalni bifurkaciji,B.1 Movement
Cerkniško jezero,D.3.1 Geolocation
bifurkacija,B.1 Movement
krasu,C. Geome
voda,D.1 Abiotic
izvirih,A.3 Hydrological form
Rinži,D.3.1 Geolocation
Rakitnici,D.3.1 Geolocation
kotanje,D.1 Abiotic
Raku,D.3.1 Geolocation
Uncu,D.3.1 Geolocation
požiralnike,A.3 Hydrological form
Bistri,D.3.1 Geolocation
kraška dolina,A.1 Surface landform
Rakov Škocjan,D.3.1 Geolocation
dolina,D.1 Abiotic
izviri,A.3 Hydrological form
ponori,A.3 Hydrological form
kraška ilovica,D.1 Abiotic
karbonatnih kamnin,D.1 Abiotic
krasu,C. Geome
prst,D.1 Abiotic
zemlja,D.1 Abiotic
krasu,C. Geome
kraška erozija prsti,B.2 Loss
kraške erozije prsti,B.2 Loss
Erozija prsti,B.2 Loss
kraško notranjost,C. Geome
spiranja,B.2 Loss
prsti,D.1 Abiotic
kamni,D.1 Abiotic
zemljišcih,D.1 Abiotic
površje,D.1 Abiotic
trebljenje,B.2 Loss
kraška miza,A.1 Surface landform
alohtona skala,D.1 Abiotic
apneniško podlago,D.1 Abiotic
balvan,D.1 Abiotic
podorna,D.1 Abiotic
zniževanjem,B.2 Loss
podstavku,D.1 Abiotic
kraška hidrografija,E. Instrument or method
vadozna cona,D.1 Abiotic
freatična,D.1 Abiotic
gladina,D.1 Abiotic
kraška hidrologija,E. Instrument or method
Veda,E. Instrument or method
vodovju,D.1 Abiotic
kraška kamnina,D.1 Abiotic
Kamnina,D.1 Abiotic
Vodni tok,D.1 Abiotic
kraško podzemlje,C. Geome
ponikalnica,A.3 Hydrological form
ponornica,A.3 Hydrological form
ponikne,B.1 Movement
vodnega toka,D.1 Abiotic
ponikev,A.3 Hydrological form
ponikva,A.3 Hydrological form
Odprtina,D.1 Abiotic
voda,D.1 Abiotic
ponikanje,B.2 Loss
odprtino,D.1 Abiotic
naplavino,D.1 Abiotic
ponor,A.3 Hydrological form
požiralnik,A.3 Hydrological form
Temenice,D.3.1 Geolocation
Ponikve,D.3.1 Geolocation
Postojnsko jamo,D.3.1 Geolocation
ponor,A.3 Hydrological form
odprtina,D.1 Abiotic
ponika,B.2 Loss
voda,D.1 Abiotic
luknja,D.1 Abiotic
jama,A.2 Underground landform
teče,B.1 Movement
potok,D.1 Abiotic
reka,D.1 Abiotic
Pivke,D.3.1 Geolocation
jezerski ponor,A.3 Hydrological form
jezerski kotanji,D.1 Abiotic
", kotanji",D.1 Abiotic
Ponor,A.3 Hydrological form
obali,D.1 Abiotic
voda,D.1 Abiotic
jezera,D.1 Abiotic
kraško podzemlje,C. Geome
skalnem koritu,D.1 Abiotic
požiralnik,A.3 Hydrological form
izgubljanja,B.2 Loss
špranja,D.1 Abiotic
brezno,A.2 Underground landform
vodo,D.1 Abiotic
profil jamskega rova,D.3 Property
kupolasti ( svodasti,D.3 Property
prečni profil,D.3 Property
jamskega rova,A.2 Underground landform
okroglasti,D.3 Property
sodasti,D.3 Property
pravokotniški,D.3 Property
kvadratasti,D.3 Property
trapezasti,D.3 Property
lečasti,D.3 Property
špranjasti,D.3 Property
Gravitacijski vodni tok,D.1 Abiotic
ravno dno,D.1 Abiotic
svodast strop,D.1 Abiotic
stene,D.1 Abiotic
Eforacijski tok,D.1 Abiotic
rove,A.2 Underground landform
pretokom,B.1 Movement
vode,D.1 Abiotic
tlakom,D.3 Property
rečni ( normalni ) relief,D.3 Property
predkraška faza,D.1 Abiotic
kraška faza,D.1 Abiotic
Doba,D.1 Abiotic
površja,D.1 Abiotic
zakrasevanja,B.4 Transformation
površju,D.1 Abiotic
krasa,C. Geome
vodna prepustnost,D.3 Property
kraške kamnine,D.1 Abiotic
kraški kamnini,D.1 Abiotic
propustnost,D.3 Property
vodoprepustnost,D.3 Property
prepustnosti,D.3 Property
izgubljanjem,B.2 Loss
vrtine,D.1 Abiotic
presihajoče jezero,D.1 Abiotic
Jezero,D.1 Abiotic
presuši,B.4 Transformation
nekraška vrtača,D.1 Abiotic
nekarbonatni kamnini,D.1 Abiotic
Psevdovrtača,D.1 Abiotic
nekarbonatnih kamninah,D.1 Abiotic
netipičen kras,C. Geome
Psevdokras,C. Geome
kras,C. Geome
nekraška škraplja,D.1 Abiotic
nekarbonatni kamnini,D.1 Abiotic
psevdoškraplja,D.1 Abiotic
Škraplja,A.1 Surface landform
rov,A.2 Underground landform
jame,A.2 Underground landform
brezna,A.2 Underground landform
rov,A.2 Underground landform
Geomorfološka karta,E.1 Instrument
karta,E.1 Instrument
reliefa,D.1 Abiotic
območja,D.1 Abiotic
Litotamnijski apnenec,D.1 Abiotic
kamnina,D.1 Abiotic
Litotamnijski apnenec,D.1 Abiotic
apnena usedlina,D.1 Abiotic
biokemičnimi procesi,B. Process
Lapornat apnenec,D.1 Abiotic
plitvomorski sediment,D.1 Abiotic
poplavnih vod,A.3 Hydrological form
poplavna ilovica,D.1 Abiotic
Sediment,D.1 Abiotic
glina,D.1 Abiotic
Karbonski apnenec,D.1 Abiotic
Vzpetina,D.1 Abiotic
hum,A.1 Surface landform
osamelec,A.1 Surface landform
Turloughi,A.3 Hydrological form
mokrišča,A.3 Hydrological form
floro,D.2 Biotic
favno,D.2 Biotic
turloughi,A.3 Hydrological form
Drumlin,A.1 Surface landform
grič,D.1 Abiotic
morene,D.1 Abiotic
ledenika,D.1 Abiotic
hidromorfnih tal,D.1 Abiotic
obrečna tla,D.1 Abiotic
oglejena tla,D.1 Abiotic
psevdogleji,D.1 Abiotic
Rečni otok,D.1 Abiotic
kopnega,D.1 Abiotic
reki,D.1 Abiotic
Raztekanje voda,B.1 Movement
porečja,D.1 Abiotic
povodja,D.1 Abiotic
bifurkacija,B.1 Movement
ozkih gorskih grap,D.1 Abiotic
Vršaj,A.1 Surface landform
nasutje,D.1 Abiotic
ravnino,D.1 Abiotic
Grapa,A.1 Surface landform
dolina,A.1 Surface landform
pobočju,C. Geome
strmcem,D.3 Property
Voda,D.1 Abiotic
teče,B.1 Movement
hudourniki,D.1 Abiotic
površinske kraške globeli,A.1 Surface landform
Udornice,A.1 Surface landform
odnašanjem,B.2 Loss
kamnine,D.1 Abiotic
podzemlje,C. Geome
udori,B.1 Movement
kraška polja,A.1 Surface landform
kraška hidrologija,D.3 Property
obod,D.1 Abiotic
dnom,D. Entity/Element/Property
uravnava,D.1 Abiotic
obodom,D.1 Abiotic
obod,D. Entity/Element/Property
jamo,A.2 Underground landform
jama,A.2 Underground landform
brezna,A.2 Underground landform
Reliktni vršaji,A.1 Surface landform
kontaktnega krasa,C. Geome
karbonatne podlage,D.1 Abiotic
denudacijo,B.2 Loss
Vrtače,A.1 Surface landform
karbonatih,D.1 Abiotic
evaporitih,D.1 Abiotic
apnencih,D.1 Abiotic
dolomitih,D.1 Abiotic
konglomeratih,D.1 Abiotic
podzemna voda,D.1 Abiotic
kraški vodonosniki,C. Geome
terciarni poroznosti,D.3 Property
razpoke,D.1 Abiotic
jame,A.2 Underground landform
lijakasta odprtina,D.1 Abiotic
Požiralnik,A.3 Hydrological form
ponikva,A.3 Hydrological form
ponor,A.3 Hydrological form
osameli kras,C. Geome
kraška polja,A.1 Surface landform
uvale,A.1 Surface landform
vrtače,A.1 Surface landform
kotliče,A.1 Surface landform
ponikalnice,A.3 Hydrological form
jame,A.2 Underground landform
kontaktnega krasa,C. Geome
slepe doline,A.1 Surface landform
ponorni zatrepi,A.1 Surface landform
suhe doline,A.1 Surface landform
udornic,A.1 Surface landform
Kontaktni kras,C. Geome
Slepa dolina,A.1 Surface landform
kontaktnega krasa,C. Geome
fluvialni procesi,B. Process
jamski sistem,A.2 Underground landform
dolina,D.1 Abiotic
vode pritekajo iz kraške kamnine,B.1 Movement
Zatrepna dolina,A.1 Surface landform
kontaktnega krasa,C. Geome
izvirov,A.3 Hydrological form
reliefna oblika,A.1 Surface landform
reliktni vršaji,A.1 Surface landform
fluvialne akumulacije,B.3 Addition
alohtonih nanosov,D.1 Abiotic
akumulacijo,B.3 Addition
psevdovršaji,A.1 Surface landform
preoblikovanja,B.4 Transformation
denudacijo,B.2 Loss
Kraški vodonosnik,C. Geome
apnenca,D.1 Abiotic
vodo,D.1 Abiotic
napajanje,B.3 Addition
odtekanje,B.2 Loss
površinski odtok vode,B.1 Movement
Bosne in Hercegovine,D.3.1 Geolocation
karbonatnih kamninah,D.1 Abiotic
kraških poljih,A.1 Surface landform
fluviokras,C. Geome
Temperaturni obrat,D.3 Property
temperatura zraka,D.3 Property
narašča,B. Process
Kopaste vzpetine,A.1 Surface landform
glavice,A.1 Surface landform
kuki,A.1 Surface landform
kopasti kras,C. Geome
krasa,C. Geome
vrtačasti kras,C. Geome
zmernotoplem pasu,D.3.1 Geolocation
Dinarskem krasu,D.3.1 Geolocation
vrtače,A.1 Surface landform
kraški geomorfni sistem,C. Geome
geomorfni sistem,C. Geome
ledeniškimi oblikami,D.1 Abiotic
Glaciokras,C. Geome
poledenitve,B. Process
vertikalni odtok padavinske vode,B.1 Movement
ledeniških geomorfoloških oblik,A.1 Surface landform
glaciokraškega okolja,C. Geome
kemična denudacija,B.2 Loss
podzemlje,C. Geome
delovanja površinsko tekočih vod,B. Process
geomorfni sistem,C. Geome
kraško površje,C. Geome
Fluviokras,C. Geome
reproducirane prelomno-porušne vrtače,A.1 Surface landform
Vrtače,A.1 Surface landform
dolomitu,D.1 Abiotic
zakrasevanje,B.4 Transformation
apnencev,D.1 Abiotic
vrtače,A.1 Surface landform
epifreatično območje,C. Geome
laminarni tok,D.1 Abiotic
Preboj,B. Process
ponorov,A.3 Hydrological form
izvirov,A.3 Hydrological form
turbulentnega,D.1 Abiotic
Predkraška poroznost,D.3 Property
tektonskega razvoja,B.4 Transformation
kamninskega masiva,D.1 Abiotic
razpoklinska poroznost,D.3 Property
sekundarna poroznost,D.3 Property
freatičnih rovov,A.2 Underground landform
freatične zanke,A.2 Underground landform
skokov,A.2 Underground landform
v inicialnih kanalih,D.1 Abiotic
Laminarni tok,A.3 Hydrological form
tok,D.1 Abiotic
cone talnega prenikanja,D.1 Abiotic
tanka prst,D.1 Abiotic
udorna brezna,A.1 Surface landform
stare udornice,A.1 Surface landform
udornice,A.1 Surface landform
udornice,A.1 Surface landform
udornice,A.1 Surface landform
globoščaki,A.1 Surface landform
premeščanja mase,B.1 Movement
udornic,A.1 Surface landform
Udor,B.1 Movement
proces,B. Process
udornice,A.1 Surface landform
udornice,A.1 Surface landform
udornice,A.1 Surface landform
doli,A.1 Surface landform
doline,A.1 Surface landform
globeli,D.1 Abiotic
vrtače,A.1 Surface landform
kraškem površju,C. Geome
kemično preperevanje,B.4 Transformation
korozija,B.4 Transformation
pobočnimi procesi,B. Process
aktivna pobočja,D.1 Abiotic
uravnoteženo pobočje,D.1 Abiotic
pobočij,D.1 Abiotic
udornic,A.1 Surface landform
stena,D.1 Abiotic
melišče,D.1 Abiotic
pobočje,D.1 Abiotic
Aktivna pobočja,A.1 Surface landform
pobočni procesi,B. Process
polzenja tal,B.1 Movement
udornic,A.1 Surface landform
prepereline,D.1 Abiotic
globeli,A.1 Surface landform
uvale,A.1 Surface landform
Udor,B.1 Movement
stropa,D.1 Abiotic
udornic,A.1 Surface landform
kraška polja,A.1 Surface landform
globeli,A.1 Surface landform
uval,A.1 Surface landform
manjša udornica,A.1 Surface landform
udorom,B.1 Movement
Kraška območja,C. Geome
poledeneli kras,C. Geome
ledeniki,D.1 Abiotic
kraško hidrologijo,D.3 Property
ledeniške erozijske,D.1 Abiotic
akumulacijske oblike,D.1 Abiotic
ledeniški kras,C. Geome
reliefa,D.1 Abiotic
glaciokras,C. Geome
paleta,A.2 Underground landform
ščit,A.2 Underground landform
strop,D.1 Abiotic
stalaktiti,A.2 Underground landform
sigovi slap,A.2 Underground landform
sigova polička,A.2 Underground landform
stopnička,D.1 Abiotic
jamsko mleko,A.2 Underground landform
usedlina,D.1 Abiotic
kalcita,D.1 Abiotic
huntita,D.1 Abiotic
magnezija,D.1 Abiotic
mikroorganizmi,D.2 Biotic
stoječo vodo,D.1 Abiotic
Kotanjica,D.1 Abiotic
sigova zavesa,A.2 Underground landform
previsu,D.1 Abiotic
čebulaste tvorbe,A.2 Underground landform
sferične tvorbe,A.2 Underground landform
jamskem stropu,A.2 Underground landform
kapniška tvorba,A.2 Underground landform
izločanjem sige,B.4 Transformation
gobasti kapnik,A.2 Underground landform
grozdasti stalaktit,A.2 Underground landform
korenasti kapnik,A.2 Underground landform
cevasti kapnik,A.2 Underground landform
kapnik,A.2 Underground landform
tvorba,D.1 Abiotic
vode,D.1 Abiotic
cevčica,A.2 Underground landform
makaroni,A.2 Underground landform
Stalaktit,A.2 Underground landform
stalagmit,A.2 Underground landform
kapnik,A.2 Underground landform
stalaktit,A.2 Underground landform
kapnik,A.2 Underground landform
kapniški steber,A.2 Underground landform
stalagmat,A.2 Underground landform
stalagmit,A.2 Underground landform
stalaktit,A.2 Underground landform
stalagmit,A.2 Underground landform
stalaktit,A.2 Underground landform
kapniški izrastek,A.2 Underground landform
kapniška tvorba,A.2 Underground landform
sigov klobuk,A.2 Underground landform
baldahin,A.2 Underground landform
stalaktitov,A.2 Underground landform
ekscentrična tvorba,A.2 Underground landform
heliktit,A.2 Underground landform
kapnik,A.2 Underground landform
helegmite,A.2 Underground landform
anemolit,A.2 Underground landform
kraški prevodnik,C. Geome
razpoklinskega prevodnika,D.1 Abiotic
inicialne strukture,D.1 Abiotic
deformacija,B. Process
kanale,A.2 Underground landform
kraškorazpoklinska poroznost,D.3 Property
praznega prostora,D. Entity/Element/Property
kraške votline,A.2 Underground landform
prostomini,D.3 Property
kamnine,D.1 Abiotic
razpoke,D.1 Abiotic
Jezike,D.1 Abiotic
laminarni tok,D.3 Property
jamskih kanalih,A.2 Underground landform
Laminarni tok,D.1 Abiotic
Reynoldsovo število,E.2 Method
pretakanja,B.1 Movement
vzporedne,D.3 Property
viskoznosti tekoči ­ ne,D.3 Property
Reynoldsovo število,E.2 Method
premera kanala,D.3 Property
parametrov,D.3 Property
gostote,D.3 Property
hitrost,D.3 Property
lezični kanal,A.2 Underground landform
Jamski kanal,A.2 Underground landform
oblezični kanal,A.1 Surface landform
lezike,A.2 Underground landform
kraške kamni ne,D.1 Abiotic
meteorni kras,C. Geome
padavinskih voda,D.1 Abiotic
Kras,C. Geome
neprežeta cona,C. Geome
speleogentskega prostora,C. Geome
gladino podtalnice,D.1 Abiotic
padavinsko vodo,D.1 Abiotic
prežeti coni,C. Geome
invazijskih jam,A.2 Underground landform
vode,D.1 Abiotic
podtalnice,D.1 Abiotic
nosilna lezika,D.1 Abiotic
Lezika,D.1 Abiotic
svežnja,D.1 Abiotic
oblezična ploskev,D.1 Abiotic
nezveznost,D.3 Property
kamnini,D.1 Abiotic
vzporedna,D.3 Property
lezikam,D.1 Abiotic
paragenetski prag,D.3 Property
netopno plavje,D.1 Abiotic
korozijsko večanje,B.4 Transformation
Dimenzija,D.3 Property
kanala,A.2 Underground landform
prekrije,B.3 Addition
stene,D.1 Abiotic
zavre,B. Process
plavje,D.1 Abiotic
Korozijsko večanje,B.4 Transformation
parageneza,B.4 Transformation
rova,A.2 Underground landform
prevlečene,D. Entity/Element/Property
plavjem,D.1 Abiotic
Korozijsko,B.4 Transformation
penetracijska razdalja,D.3 Property
prenikujoči vodi,A.3 Hydrological form
Razdalja,D.3 Property
reakcije,B. Process
prikamnino,D.1 Abiotic
agresivnost,D.3 Property
inicialne strukture,D.1 Abiotic
Geološke strukture,D.1 Abiotic
kraške votline,A.2 Underground landform
Inicialne strukture,D.1 Abiotic
sedimentne teksture,D.1 Abiotic
narivne strukture,D.1 Abiotic
medplastovnih zdrsov,B.1 Movement
speleogene strukture,A.2 Underground landform
lezike,A.2 Underground landform
prelomnice,D.1 Abiotic
razpoke,D.1 Abiotic
špranje,D.1 Abiotic
zakrasevanja,B. Process
invazijska jama,A.2 Underground landform
neprežete cone,C. Geome
profil ključavnice,D.3 Property
krajevne deževnice,D.1 Abiotic
Jama,A.2 Underground landform
gladino,D.3 Property
podtalnice,A. Landform
vodotok,D.1 Abiotic
kaminu,A.2 Underground landform
požiralnika,A.3 Hydrological form
kraško votlino,A.2 Underground landform
JAMA,A.2 Underground landform
votlina,D.1 Abiotic
krasu,C. Geome
prehodna,D.3 Property
minerali netopnega ostanka,D.1 Abiotic
jamski minerali,D.1 Abiotic
kraških votlinah,A.2 Underground landform
matične kamnine,D.1 Abiotic
kraške minerale,D.1 Abiotic
Minerali,D.1 Abiotic
avtohtone,D.1 Abiotic
paravtohtone,D.1 Abiotic
alohtone,D.3 Property
krasom,C. Geome
jamski splet,A.2 Underground landform
jamski sistem,A.2 Underground landform
podzemskega krasa,C. Geome
aragonitnih ogrodij,D.1 Abiotic
kristalnimi ploskvami,D.1 Abiotic
Kalcijev karbonat,D.1 Abiotic
kalcit,D.1 Abiotic
apnencu,D.1 Abiotic
marmorja,D.1 Abiotic
apnenca,D.1 Abiotic
sige,D.1 Abiotic
organizmov,D.2 Biotic
kalcitizacijo,B. Process
vode,D.1 Abiotic
mineral,D.1 Abiotic
kalcit,D.1 Abiotic
romboeder,D.1 Abiotic
skalenoedrično,D.3 Property
ditrigonalno,D. Entity/Element/Property
Kristali,B. Process
karbonatitov,D.1 Abiotic
kraška votlina,A.2 Underground landform
neprežeto cono,C. Geome
neprežete cone,C. Geome
manjših kaminov,A.2 Underground landform
inicialnih strukturah,D.1 Abiotic
elipsast presek,D.3 Property
kamin,A.2 Underground landform
vode,D.1 Abiotic
kamina,A.2 Underground landform
denudacija,B.2 Loss
kamin,A.2 Underground landform
površja,D.1 Abiotic
brezno,A.2 Underground landform
KANAL,A.2 Underground landform
tok,D.1 Abiotic
svežnja,A.2 Underground landform
rov,A.2 Underground landform
kanalu,A.2 Underground landform
kontrolni volumen,D. Entity/Element/Property
kraške kamnine,D.1 Abiotic
speleogenetskega prostora,C. Geome
padavinskih voda,D.1 Abiotic
podzemskih kanalov,A.2 Underground landform
zemeljske skorje,D.1 Abiotic
kraške kamnine,D.1 Abiotic
matična kamnina,D.1 Abiotic
KRAS,C. Geome
krasa,C. Geome
poroznosti,D.3 Property
globeli,A.1 Surface landform
odtok,B.2 Loss
materializacij,B. Process
akumulacija,B.3 Addition
raztopini,D.1 Abiotic
snovi,D.1 Abiotic
odnašanje,B.2 Loss
preoblikovanja,B. Process
padavine,D.1 Abiotic
KRAS,C. Geome
Zemlji,D.3.1 Geolocation
votline,A.2 Underground landform
kraška faza,D. Entity/Element/Property
hidrogeoloških razmerah,D. Entity/Element/Property
kraške votline,A.2 Underground landform
zakrasevanja,B. Process
sveženj,A.2 Underground landform
voda,D.1 Abiotic
kraška poroznost,D.3 Property
praznega prostora,D.1 Abiotic
kraške votline,A.2 Underground landform
kraška poroznost,D.1 Abiotic
razpoklinsko poroznostjo,D.3 Property
kraški poroznosti,D.3 Property
prostornini,D.3 Property
kamnine,D.1 Abiotic
kamnina,D.1 Abiotic
zakrasela,B. Process
kanali,A.2 Underground landform
vode,D.1 Abiotic
kamnini,D.1 Abiotic
kraška votlina,A.2 Underground landform
kraško jamo,A.2 Underground landform
votlina,A.2 Underground landform
procesi,B. Process
speleogen,A.2 Underground landform
sedimentne kraške kamnine,D.1 Abiotic
Metamorfne kraške kamnine,A.4 Other
kraške kamnine,D.1 Abiotic
kraške kamnine,D.1 Abiotic
Zogovicevega efekta,D.3 Property
tektonskima dogodkoma,B. Process
kremenovi peščenjaki,D.1 Abiotic
Kamnine,D.1 Abiotic
kras,C. Geome
topne,B.2 Loss
karbonati,D.1 Abiotic
sulfati,D.1 Abiotic
haloidi,D.1 Abiotic
marmorji,D.1 Abiotic
kvarciti,D.1 Abiotic
peščenjaki,D.1 Abiotic
skalni nos,A.1 Surface landform
korozijski nož,A.1 Surface landform
skalne stene,D.1 Abiotic
žlebičastih reber,A.1 Surface landform
izboklina,D.1 Abiotic
skalni nož,A.2 Underground landform
jamski prostor,A.2 Underground landform
skala,D.1 Abiotic
izvotljevanja,B.2 Loss
slepa dolina,A.1 Surface landform
Dolina,D.1 Abiotic
apnencu,D.1 Abiotic
ponori,A.3 Hydrological form
speleogeneza,B.4 Transformation
jame,A.2 Underground landform
speleologije,E.2 Method
speleogeneza,E.2 Method
kraških jamah,A.2 Underground landform
kraškem podzemlju,C. Geome
speleologija,E.2 Method
jamoslovje,E.2 Method
krasu,C. Geome
Fizična speleologija,E.2 Method
podzemlju,C. Geome
Spodmol,A.1 Surface landform
jama,A.2 Underground landform
Statična jama,A.2 Underground landform
klimostatična jama,A.2 Underground landform
jamske klimatologije,E.2 Method
jamo,A.2 Underground landform
zrakom,D.1 Abiotic
statodinamična jama,A.2 Underground landform
Jama,A.2 Underground landform
zrakom,D.1 Abiotic
sufozija,B.2 Loss
Spiranje,B.2 Loss
gmote,D.1 Abiotic
ruše,D.1 Abiotic
sedimentov,D.1 Abiotic
vodi,D.1 Abiotic
suha dolina,A.1 Surface landform
zakrasela dolina,A.1 Surface landform
krasu,C. Geome
delno suha dolina,A.1 Surface landform
vodnim tokom,D.1 Abiotic
polsuha dolina,A.1 Surface landform
Suha dolina,A.1 Surface landform
suhi zid,A.1 Surface landform
kraški zid,A.1 Surface landform
malto,D.1 Abiotic
cementom,D.1 Abiotic
njiv,D.1 Abiotic
vinogradov,D.1 Abiotic
kamenja,D.1 Abiotic
Vodni tok,D.1 Abiotic
sušica,A.3 Hydrological form
šica,A.3 Hydrological form
presiha,B.1 Movement
