DEFINIENDUM,DEFINITOR,GENUS,SPECIES,SENTENCE
static cave,is a,hole,,"The static cave is a simple deep hole with no air drainage out of the bottom; thus it traps cold, dense air and excludes warmer air."
primary porosity,as that|define,,,Sedimentologists define primary porosity as that created during deposition of the rock (i.e. created first) and secondary porosity as that produced during diagenesis.
blue holes,are known as,depressions,,Shaft-like depressions deeply flooded by seawater in low-lying coral islands are known as blue holes.
Suffosion,is the,process,,Suffosion is the process whereby fines are evacuated through underlying pipes in the karstified bedrock by a combination of physical downwashing and chemical solution.
calcareous mudstone,,limestone|dolomite,,calcilutite: Clastic limestone or dolomite in which the grains have an average diameter of less than 1 / 16 millimeter; calcareous mudstone.
calcilutite,,limestone|dolomite,,calcilutite: Clastic limestone or dolomite in which the grains have an average diameter of less than 1 / 16 millimeter; calcareous mudstone.
calcirudite,,limestone,,calcirudite: A fragmental limestone in which the particles are generally larger than 2 millimeters.
calcite,,mineral,,"calcite: A mineral composed of calcium carbonate, CaCOs, like aragonite but differing in crystal form; the principal constituent of limestone."
calcite bubble,,sphere,,"calcite bubble: A hollow sphere formed by the deposition of calcite around a gas bubble; the interior is smooth, and the exterior consists of small jagged crystals."
canopy,,cave formation,,canopy: A compound cave formation consisting of flowstone hanging from a sloping wall projection and forming a fringe of shawls or stalactites on the outer edge.
canyon,,chasm|gorge|ravine,,"canyon: A steep-walled chasm, gorge, or ravine cut by running water."
canyon,,valley,,canyon: A valley formed by collapse of the roof of a long fairly straight cave; a karst valley.
capillary stalagmite,,stalagmite,,"capillary stalagmite: Hollow stalagmite formed by saturated karst water pushed up through capillaries and small cracks in a sinter crust; covering permeable fluvial deposits on the floor of a cave; first reported from Cuba, where such stalagmites are composed of aragonite."
carbonate,,rock,,"carbonate: A rock consisting mainly of carbonate minerals, such as limestone or dolomite."
cave,,room,,cave: A natural underground room or series of rooms and passages large enough to be entered by a man; generally formed by solution of limestone.
cave breakdown,,Enlargement,,cave breakdown: Enlargement of parts of a cave system by fall of rock masses from walls and ceiling.
cave breakdown,,Heaps of rock,,"cave breakdown: Heaps of rock that have collapsed from the walls and ceiling of a cave, generally called cave breccia."
cave breccia,,fragments of rock,,"cave breccia: Angular fragments of rock forming a fill in a cave, either cemented together by dripstone or in a matrix of cave earth. See also solution breccia. in a cave"
coral formation,,,,"cave coral: A rough, knobby growth of calcite resembling coral in shape, generally small; found on floor, walls, or ceiling of a cave. Synonym, coral formation. See also knobstone. calcite"
cave coral,,,,"cave coral: A rough, knobby growth of calcite resembling coral in shape, generally small; found on floor, walls, or ceiling of a cave. Synonym, coral formation. See also knobstone. calcite"
cave fill,,deposits,,"cave earth, cave fill: Insoluble deposits of clay, silt, sand, or gravel flooring or filling a cave passage. In a more restricted sense, cave earth includes only the finer fractions: clay, silt, and fine sand deposits."
cave earth,,deposits,,"cave earth, cave fill: Insoluble deposits of clay, silt, sand, or gravel flooring or filling a cave passage. In a more restricted sense, cave earth includes only the finer fractions: clay, silt, and fine sand deposits."
aquifer,is a,body of rock,,"An aquifer is a body of rock that can store and transmit significant quantities of water (Gunn, 2004)."
Aragonite,is a,modification of CaCO3,,"Aragonite is a metastable modification of CaCO3, which sometimes forms in seawater and transforms into calcite during diagenesis."
artesian aquifer,is called,aquifer,,"When an aquifer is bounded on top and bottom by confining beds, it is called an artesian aquifer."
bedding-plane cave,is strictly applied to a,passage,,"The term bedding-plane cave is strictly applied to a passage that has not enlarged by growth into a major tube or canyon, but has remained almost entirely on the bedding plane."
A cave,is an,underground void,,"A cave is an airfilled underground void, large enough to be examined in some way by man."
cirque-dolines,are called,Glacial cirques,,"Glacial cirques have been transformed by solution into closed depressions, and are called cirque-dolines."
confining bed,is called a|also known as,Less permeable rock below an aquifer,,Less permeable rock below an aquifer that keeps groundwater from draining away is called a confining bed (also known as aquitard or aquiclude).
aquitard,is called a|also known as,Less permeable rock below an aquifer,,Less permeable rock below an aquifer that keeps groundwater from draining away is called a confining bed (also known as aquitard or aquiclude).
aquiclude,is called a|also known as,Less permeable rock below an aquifer,,Less permeable rock below an aquifer that keeps groundwater from draining away is called a confining bed (also known as aquitard or aquiclude).
contact karst,could be designated by the term,Karst,,Karst formed by the influence surface river flow could be designated by the term of contact karst.
Dolomite,is a type of,rock,,Dolomite is a type of rock that dissolves and is karstified similarly as limestone.
drawdown,is called the,vertical change in the level of the potentiometric surface,,The vertical change in the level of the potentiometric surface at the well is called the drawdown.
Dry valley,is a,valley,,"Dry valley is a valley that generally lacks a stream, although one may occasionally form during peak rainfall events."
Endokarst,is defined as,karst,,"Endokarst is defined as karst developing in the lower part of the karstosphere, where the internal (telluric) energy is dominant and the rock mass is under lithostatic pressure which exceeds its tensile strength."
epikarst,is defined as,zone of exposed karst rock,,"The epikarst is defined as the uppermost zone of exposed karst rock, in which permeability due to fissuring and karstification is higher and more uniformly distributed than in the rock mass below."
subcutaneous zone,is termed,highly corroded zone,,The highly corroded zone near the surface is termed the epikarst or subcutaneous zone.
epikarst,is termed,highly corroded zone,,The highly corroded zone near the surface is termed the epikarst or subcutaneous zone.
estavelle,is now used fairly widely for a|The term,hole,,The term estavelle was first used in the Jura but is now used fairly widely for a hole which is at one time of the year a swallow hole and at another time a spring.
cupola,,hill,,cupola: A hemispheric hill of limestone. Cupole. Halb-kugel.
Halb-kugel,,hill,,cupola: A hemispheric hill of limestone. Cupole. Halb-kugel.
Cupole,,hill,,cupola: A hemispheric hill of limestone. Cupole. Halb-kugel.
current marking,,hollows,,"current marking: Shallow asymmetrical hollows, caused by turbulent waterflow, that are distributed in rather regular fashion over limestone surfaces. See also scallop."
scallop,,hollows,,"current marking: Shallow asymmetrical hollows, caused by turbulent waterflow, that are distributed in rather regular fashion over limestone surfaces. See also scallop."
drapery,,,,curtain: A wavy or folded sheet of flowstone hanging from the roof or projecting from the wall of a cave; often translucent and resonant. See also bacon; blanket; drapery.
bacon,,,,curtain: A wavy or folded sheet of flowstone hanging from the roof or projecting from the wall of a cave; often translucent and resonant. See also bacon; blanket; drapery.
curtain,,,,curtain: A wavy or folded sheet of flowstone hanging from the roof or projecting from the wall of a cave; often translucent and resonant. See also bacon; blanket; drapery.
blanket,,,,curtain: A wavy or folded sheet of flowstone hanging from the roof or projecting from the wall of a cave; often translucent and resonant. See also bacon; blanket; drapery.
cutter,,,,cutter: Solution crevice in limestone underlying residual phosphate deposits.
subsoil Karren,,groove,,"cutter: A Karren-like groove formed beneath the soil, more commonly referred to as subsoil Karren. See also Karren."
Karren,,groove,,"cutter: A Karren-like groove formed beneath the soil, more commonly referred to as subsoil Karren. See also Karren."
cutter,,groove,,"cutter: A Karren-like groove formed beneath the soil, more commonly referred to as subsoil Karren. See also Karren."
dead cave,,cave,,dead cave: A dry cave in which all solution and precipitation has cersed.
doline,,hollow,collapse dolines|solution dolines,"doline: A basin - or funnel-shaped hollow in limestone, ranging in diameter from a few meters to a kilometer and in depth from a few to several hundred meters. Some dolines are gentle grassy hollows; others are rocky cliff-bounded basins. A distinction may be made between those formed mainly by direct solution of the limestone surface zone, solution dolines, and those formed by collapse over a cave, collapse dolines, but it is generally not possible to establish the origin of individual examples."
doline lake,,karst lake,,doline lake: A small karst lake occupying a doline.
dolomite,,mineral,,dolomite: A mineral composed of calcium magnesium carbonate.
dolostone,,Rock,,dolomite: Rock chiefly composed of the mineral dolomite. Also called dolostone.
dolomite,,Rock,,dolomite: Rock chiefly composed of the mineral dolomite. Also called dolostone.
dolomitization,,process,,dolomitization: The process whereby limestone becomes dolomite by the substitution of magnesium carbonate for part of the original calcium carbonate.
bacon,,sheet,,"drapery: A thin sheet of dripstone, equivalent to curtain. See also bacon; blanket."
drapery,,sheet,,"drapery: A thin sheet of dripstone, equivalent to curtain. See also bacon; blanket."
blanket,,sheet,,"drapery: A thin sheet of dripstone, equivalent to curtain. See also bacon; blanket."
curtain,,sheet,,"drapery: A thin sheet of dripstone, equivalent to curtain. See also bacon; blanket."
driphole,,Hole,,driphole: Hole in rock or clay produced by fast-dripping water.
driphole,,Hollow space,,"driphole: Hollow space surrounded by precipitated material, such as the bottom of a stalactite. space"
dripstone,,Calcium carbonate,,"dripstone: Calcium carbonate deposited from water dripping from the ceiling or wall of a cave or from the overhanging edge of a rock shelter; commonly refers to the rock in stalactites, stalagmites, and other similar speleothems; in some places composed of aragonite or gypsum. See also flowstone. Calcium carbonate rock shelter"
flowstone,,Calcium carbonate,,"dripstone: Calcium carbonate deposited from water dripping from the ceiling or wall of a cave or from the overhanging edge of a rock shelter; commonly refers to the rock in stalactites, stalagmites, and other similar speleothems; in some places composed of aragonite or gypsum. See also flowstone. Calcium carbonate rock shelter"
dry cave,,cave,,dry cave: A cave without a running stream. See also dead cave. stream
outflow cave,,cave,,outflow cave - a cave from which a stream flows or formerly did so and which cannot be followed upstream to the surface.
fossil ' karst ',,features,,"palaeokarst ' fossil ' karst ' - cave or karst features remnant from a previous period of karstification, characterized by the presence of ancient (buried) deposits, as lithified cave fills or breccias."
palaeokarst,,features,,"palaeokarst ' fossil ' karst ' - cave or karst features remnant from a previous period of karstification, characterized by the presence of ancient (buried) deposits, as lithified cave fills or breccias."
pendulite,,stalactite,,pendulite - a kind of stalactite which has been partly submerged and the submerged part covered with dog-tooth spar to give the appearance of a drumstick.
percolation water,,water,,"percolation water - water moving mainly downwards through pores, cracks and tight fissures, in the vadose zone."
permeability,,,,permeability - the property of rock or soil permitting water to pass through it. permitting water to pass through it
phreatic water,,water,,phreatic water - water below the level at which all voids in the rock are completely filled with water.
phreatic zone,,zone,,phreatic zone - zone where voids in the rock are completely filled with water.
pillar,,bedrock column,,pillar - a bedrock column from roof to floor left by the removal of surrounding rock.
pipe,,cavity,,"pipe - a tubular cavity projecting as much as several metres down from the surface into ' karst rocks and often filled with earth, sand, gravel, breccia, etc. projecting as much as several metres down from the surface"
plunge pool,,swirlhole,,"plunge pool - a swirlhole, generally of large size, occurring at the foot of a waterfall or rapid, on the surface or underground."
polje,,closed depression,,"polje - a large closed depression draining underground, with a flat floor across which there may be an intermittent or perennial stream and which may be liable to flood and become a lake. the floor makes a sharp break with parts of surrounding slopes. depression stream"
polygonal karst,,karst,,polygonal karst - karst completely pitted by closed depressions so that divides between them form a crudely polygonal network.
porosity,,property,,porosity - the property of rock or soil of having small voids between the constituent particles. the voids may not interconnect. rock or soil
pseudokarst,,terrain,,pseudokarst - terrain with landforms which resemble those of karst but which are not the producer of karst processes.
relict karst,,cave forms,,"relict karst - old cave forms produced by earlier geomorphic processes within the present cycle of karstification and open to modification by present-day processes such as deposition of speleothems, sediments or skeletal deposits."
K,is a term describing,,,K is a term describing the occurrence of swallow holes and fractures.
EPIK system,is,methodology,,"An important methodology is the EPIK system, developed in Switzerland and intended particularly for use in the karst of the Jura mountains (Doerfliger et al."
fengcong karst,are typical of,karst,,The smaller numbers of larger islands are clusters of steep limestone hills that are typical of fengcong karst — fragments of a spectacular karst that had not evolved through to the fenglin landforms.
paleocave system,is defined as a,cave system,,"A paleocave system is defined as a cave system that is no longer related in time or space to the active karst system that formed it (Loucks, 1999)."
paleocave hydrocarbon reservoir,is a,reservoir,,A paleocave hydrocarbon reservoir is a reservoir where the pore network consists of karst-related cavernous porosity and / or of cave-collapse-related interclast and fracture porosity.
phreatic zone,is,portion of an aquifer,,"The phreatic zone is the deep portion of an aquifer that does not experience exchange with stream water, in contrast to the hyporheic zone."
arêtes,are,ridges with spires,,"The arêtes are naked, reticulated, saw-topped ridges with spires, with practically vertical side slopes c. 120 m high."
Microrills,are,karren form,,Microrills are the smallest karren form showing a distinctive rilling appearance.
Rainpits,are,hollows,,"Rainpits are small cup-like hollows, sub-circular in plan and nearly parabolic in cross section, whose diameter ranges from 0.5 – 5 cm and rarely exceed 2 cm in depth; they appear clustered in groups, or even packed by coalescence."
Decantation runnels,are,rills,,"Decantation runnels are rills, which reduce in width and depth downslope because the solvent supply is not directly related to rainfall, but corresponds to overspilling stores of water, such as moss clumps, small snow banks, or soil remnants."
grike,is commonly used|The term,,,"The term “ cutters ” is commonly used in North America as a synonym for grike, although it is best applied to a variety of grike that develops beneath soil cover."
cutters,is commonly used|The term,,,"The term “ cutters ” is commonly used in North America as a synonym for grike, although it is best applied to a variety of grike that develops beneath soil cover."
Karst,is,terrain,,Karst is terrain with distinctive hydrology and landforms arising from the combination of high rock solubility and well-developed solution channel (secondary) porosity underground.
Aragonite,is a,mineral,,"Aragonite is a main speleothem mineral in some parts of the cave, often in association with calcite."
Halite,,,,"Halite is known to form seeping water speleothems such as crusts, hair, cotton, and flowers, and dripping water speleothems such as stalactites and stalagmites."
“ chandelier ” stalactites,A spectacular form of,gypsum,,"A spectacular form of gypsum is “ chandelier ” stalactites, such as those that occur in Lechuguilla Cave, New Mexico."
limestone pavement,,surface,,"limestone pavement: A bare plane surface of limestone, parallel to the bedding, commonly divided into blocks by solutionally widened joints, and pitted by solution pans."
live cave,,Cave,,live cave: Cave in which there is river action or active deposition of speleothems. Compare active cave.
active cave,,Cave,,live cave: Cave in which there is river action or active deposition of speleothems. Compare active cave.
lost river,,surface stream,,"lost river: In a karst region, a surface stream that enters an underground course."
lycopodium spores,,Spores,,"lycopodium spores: Spores of lycopodium claratum, which can be used in natural or dyed color as a label in studying ground-water movement in karst areas."
meander,,curve,,"meander: In a cave, an arcuate curve in a channel formed by lateral shifting of a cave stream. See ceiling meander; meander niche."
meander niche,,,,"meander niche: A conical or crescentshaped opening in the wall of a cave, formed by the downward and lateral erosion of a stream on the floor of a passage."
merokarst,,karst topography,,"merokarst: Defined by Cvijic to indicate imperfect karst topography as found on thin, impure, or chalky limestone where surface drainage and dry valleys are present in addition to some karstic features. Contrast perfectly formed holokarst."
microkarst,,Karst,,microkarst: Karst topography in which all surficial features are small; an area dominated by minor karst features.
Mischungskorrosion,,,,Mischungskorrosion: Dissolving of limestone by water derived from the mixing of two saturated waters that differ in carbon dioxide partial pressure. Such a mixture is undersaturated because a nonlinear re  ation exists between calcite solubility and the partial pressure of carbon dioxide.
karst inselberg,,hill,,"mogote: A steep-sided hill of limestone, generally surrounded by nearly flat alluviated plains; karst inselberg. Originally used in Cuba in referring to residual hills of folded limestone in the Sierra de los Organos but now used internationally for karst residual hills in the Tropics."
mogote,,hill,,"mogote: A steep-sided hill of limestone, generally surrounded by nearly flat alluviated plains; karst inselberg. Originally used in Cuba in referring to residual hills of folded limestone in the Sierra de los Organos but now used internationally for karst residual hills in the Tropics."
moon milk,,cave deposit,,"moon milk: A white plastic calcareous cave deposit composed of calcite, huntite, or magnesite. From Swiss dialect moon - milch, elf's milk. Corrupt spelling mondmilch is common."
mud stalagmite,,Stalagmite,,mud stalagmite: Stalagmite composed principally of clay or sandy clay and commonly less than 30 percent calcium carbonate.
naked karst,,Karst,,"naked karst, bare karst: Karst topography having much exposed bedrock."
bare karst,,Karst,,"naked karst, bare karst: Karst topography having much exposed bedrock."
natural arch,,arch,,"natural arch: A rock arch or very short natural tunnel; contrasted with natural bridge, which spans a ravine or valley."
natural bridge,,bridge,,natural bridge: A rock bridge spanning a ravine and not yet eroded away.
natural tunnel,,cave,,"natural tunnel: A nearly horizontal cave open at both ends, generally fairly straight in direction and fairly uniform in cross section."
Lampenflora,is a,complex community of organisms,,"Lampenflora is a complex community of organisms growing on illuminated areas such as rocky surfaces, sediment and artificial materials around lamps."
Kras,is a,limestone plateau,,The Kras is a limestone plateau situated above the Trieste Bay in the northern Adriatic Sea.
epikarst aquifer,as a,zone,,"The word epikarst came into widespread use in the 1990s following the definition by Mangin (1973) of an epikarst aquifer as a perched saturated zone within the superficial part of the karst that stores a part of the infiltrated water (Bakalowicz, 2012)."
Dry valleys,,,,"Dry valleys are often defined as thosewithout, or with only a temporary, watercourse (Sweeting, 1973)."
Time series analysis,are,signal processing methods,,"Time series analysis are signal processing methods belonging to this category, and are mostly used to improve the understanding of the hydrological behaviour of karst systems."
Speleogenesis,is a,mass-transfer process,,"Speleogenesis (karstic) is a mass-transfer process, which critically depends on both, the aggressiveness of groundwater and its circulation (movement)."
groundwater,,,,Aggressiveness is an attribute of groundwater that corresponds to a chemical potential for mobilization of a dissolved matter from the rock.
Tafoni geomorphology,designates a,hollow shape,,"Tafoni geomorphology designates a hollow shape rounded several decimeters to several meters, carved by erosion in the coastal carbonates."
Sea caves,are a type of,cave,,"Sea caves, also known as littoral caves, are a type of cave formed primarily by wave action."
littoral caves,are a type of,cave,,"Sea caves, also known as littoral caves, are a type of cave formed primarily by wave action."
spring mounds,are,hot beds,,"In desert environments, spring mounds are hot beds of biological activity that, like soils, tend to be zones of high PCO2."
epigenesis,,,,"The term epigenesis is widely used in Earth Sciences, employing epi - in the second, temporal sense, along with a complementary syngenesis."
Hypogene karstification,is defined as,movement,,"Hypogene karstification is defined as upward movement � of the cave-forming agent � (sensu Klimchouk, 2007, 2012)."
doline,it has been used since a long time to indicate|means,areas,,"The term doline, of Slavonic origin, means literally valley but actually it has been used since a long time to indicate more or less well defined topographically depressed areas related to karst."
Caves,,,,Caves are natural underground laboratories where crystal growth processes can be directly observed.
cave passages,,,,"Influxes of sediment into a cave system fundamentally alters the way cave passages develop, either by alluviation in a vadose environment, or upwards dissolution in a phreatic environment through a process commonly known as paragenesis. in a vadose environment in a phreatic environment"
pitted plain,,Plain,,pitted plain: Plain having numerous small closely spaced closed depressions.
pocket,,cavity,,"pocket: Solution cavity in ceiling, floor, or walls of a cave, shaped like the interior of a round-bottomed kettle; unrelated to joints or bedding."
interior valley,,closed depression,,"polje: In areas of karst topography, a very large closed depression, in some places several kilometers long and wide, having a flat floor either of bare limestone or covered by alluvium, and surrounded by generally steep walls of limestone. Synonym: interior valley."
polje,,closed depression,,"polje: In areas of karst topography, a very large closed depression, in some places several kilometers long and wide, having a flat floor either of bare limestone or covered by alluvium, and surrounded by generally steep walls of limestone. Synonym: interior valley."
polygonal karst,,karst area,,"polygonal karst: A karst area where the surface is completely pitted with closed depressions, the divides of which form a crudely polygonal network. Especially common in humid tropical cone-karst terrain, but also found in well-formed temperate doline-karst terrain."
ponor,,Hole,,"ponor: Hole in the bottom or side of a closed depression through which water passes to or from an underground channel. Compare swallet, swallow hole."
pool deposit,,Crystalline material,,pool deposit: Crystalline material deposited in an isolated pool in a cave.
pore deposit,,Mineral matter,,pore deposit: Mineral matter deposited on the interior of a cave from water entering the cave so slowly through pores and cracks that it does not form drops.
porthole,,opening,,porthole: A nearly circular natural opening in a thin rock wall in a cave. See also window.
pothole,,,,"pothole: A small rounded hole worn into rock in a streambed, at a waterfall, or near sea level by sand, gravel, and stones being spun around by force of the currents; a nature mill."
pothole,,shaft,,pothole: Term used in England for vertical or steeply inclined shaft in limestone.
pseudokarst,,,,"pseudokarst: Karstlike terrain produced by a process other than the dissolving of rock, such as the rough surface above a lava field, where the ceilings of lava tubes have collapsed Features of pseudokarst include lava tunnels, lava tubes, lava stalactites, and lava stalagmites. rough surface above a lava field"
residual clay,Clay,,,residual clay: Clay or sandy clay remaining on a rock surface after removal of calcium carbonate by solution.
resurgence,,Point,,"resurgence: Point at which an underground stream reaches the surface and becomes a surface stream. In European literature, the term is reserved for the reemergence of a stream that has earlier sunk upstream; the term exsurgence is applied to a stream without known surface headwaters."
rice paddy,,pool .,,"rice paddy: In a cave, a terraced rimstone pool."
rift,,cave passage,,rift: A long narrow high cave passage controlled by joints or faults.
Exhalation,is,proportion of radon,,Exhalation is the proportion of radon produced that is released into the atmosphere.
Whiting,is a specific category of,fine-grained filler,,Whiting is a specific category of fine-grained filler derived by fine grinding such that > 95% is < 44 µm.
sea caves,known as,,,"Littoral caves, more commonly known as sea caves, are found throughout the world, actively forming along present coastlines and as relict sea caves on former coastlines."
Littoral caves,known as,,,"Littoral caves, more commonly known as sea caves, are found throughout the world, actively forming along present coastlines and as relict sea caves on former coastlines."
Slabs,are,fragments of a single bed,,"Slabs are fragments of a single bed, generally a few cubic metres in volume."
Moonmilk,is a,precipitate,,Moonmilk is a precipitate that seems to be originated by microbiological reactions.
margin,refers to,position of the cave,,"The term “ margin ” refers to the position of the cave at the margin of the lens, and the term “ flank ” refers to the cave ’ s position under the flank of the high ground that forms the island."
Speleotherapy,is a special type of,medical treatment,,"Speleotherapy is a special type of medical treatment, involving subterranean environments and their specific microclimate."
exsurgences,are known as,Springs,,"Springs in autogenic aquifers, which receive the bulk of their recharge from a karst surface, are known as exsurgences, and exhibit less variability in discharge and composition."
Open anchialine pools,are,coastal pools,,Open anchialine pools are coastal pools connected to the sea by cave corridors.
Fungi,are,decomposers,,"Fungi are important decomposers in caves and produce a variety of extracellular enzymes (lipases, proteinases, and chitinases) that degrade organic detritus. in caves"
Glaciokarstic varves,are,sediments,,"Glaciokarstic varves are silty, laminated sediments composed largely of calcite flakes."
Vulcanospeleology,is,study of caves,,Vulcanospeleology is the study of caves in volcanic rocks — primarily lava tube caves and open vertical volcanic conduits.
anchialine,The term|to describe,pools,,"The term anchialine was coined by Holthuis (1973) to describe pools with no surface connection to the sea, containing salt or brackish water, which fluctuates with the tides."
Entrances,are,intersections of the caves,,Entrances are accidental intersections of the caves by surface erosion.
fengcong,is defined as,groups of rocky hills,,The fengcong is defined as groups of rocky hills or peaks rising from shared limestone foot-slopes.
Sanidine,is a,mineral,,"Sanidine is a typical rock-forming mineral of K-rich alkaline volcanic rocks and a principal rock-forming mineral of Kožuf 6.5 - 1.8 Ma old volcanic rocks (Boev & Jelenković, 2012)."
Smectite,is a,mineral,,"Smectite (montmorillonite) is a layered clay mineral, product of intensive acidic weathering of volcaniclastic material."
montmorillonite,is a,mineral,,"Smectite (montmorillonite) is a layered clay mineral, product of intensive acidic weathering of volcaniclastic material."
Input caves,are,,canyons|shafts,"Input caves are either shafts developed along faults and prominent fractures (Živovska Propast, Dragoželska Propast) or vadose canyons leading to epiphreatic tube passages (Aramiska Peštera, Garnikovska Propast, Mala Peštera and Pešti Cave)."
juvenile pattern,is a,pattern,,The juvenile pattern is a time-controlled pattern that prevails where soluble rocks are exposed by uplift and by removal of any impermeable cover.
Smaller scale forms in caves,are,features,,"Smaller scale forms in caves (microforms) are features much smaller than the passage diameter (Lauritzen & Lundberg, 2000). passage"
microforms,are,features,,"Smaller scale forms in caves (microforms) are features much smaller than the passage diameter (Lauritzen & Lundberg, 2000). passage"
hydrological cycle,,,,"As a consequence, the hydrological cycle provides the primary source of energy for karst formation because water is the solvent that dissolves carbonate rocks and then carries the ions away in solution (Williams P.W., 2004)."
soft data,are defined as|are defined as,"long-term , measured time series|information on individual processes",,"Hard data are defined as long-term, measured time series, typically at a point within a watershed, while soft data are defined as information on individual processes within a budget that may not be directly measured within the study area, generally from literature information."
Hard data,are defined as|are defined as,"long-term , measured time series|information on individual processes",,"Hard data are defined as long-term, measured time series, typically at a point within a watershed, while soft data are defined as information on individual processes within a budget that may not be directly measured within the study area, generally from literature information."
step-wise calibration,is a,procedure,,The step-wise calibration is a procedure that allowed calibrating the different components of the streamflow according to different hydrologic processes underpinning Pagliero et al.
Karst,is a,space medium,concentration of suspended particles|chemical composition of water|water levels|water discharge|velocity|microorganisms|temperature,"Karst is a very heterogeneous space medium which can be explained only be applying a great number of measurement points and by monitoring and measuring various phenomena: the water levels, water discharge and velocity, chemical composition of water, its temperature, concentration of suspended particles and the microorganisms in water."
secondary porosity,is used for|The term,spaces,,The term secondary porosity is used for the spaces created in carbonate rocks in the post-petrification period. in the post-petrification period
Gravitational water,is,water,,"Gravitational water is the water, which due to gravity, penetrates and flows into the underground system."
Storage coefficient,is the,volume of water,,"Storage coefficient, S, is the volume of water released from the prism of a unit cross-sectional area whose height is the total thickness of the aquifer due to change in the piezometric level for 1 m."
Specific yield,is defined as,change in the water quantity,,Specific yield is defined as the change in the water quantity in the storage per unit of area of the free surface of the aquifer.
Permeability,is the,property of rocks,,"Permeability, K, is the property of rocks forming an underground reservoir, to allow water to flow with an appreciable velocity due to the existence of the pressure gradient."
Surface karst forms,are,,dry valleys|poljes|dolines|sinkholes|karren,"Surface karst forms are: karren, sinkholes (dolines), dry valleys and poljes (Vlahovic 1983)."
