DEFINIENDUM,CATEGORY,CATEGORY_TEXT,SENTENCE,*,AFFECTS,COMPOSITION_MEDIUM,CONTAINS,DEFINED_AS,DEFINITOR,GENUS,HAS_ATTRIBUTE,HAS_CAUSE,HAS_FORM,HAS_FUNCTION,HAS_LOCATION,HAS_POSITION,HAS_RESULT,HAS_SIZE,MEASURES,OCCURS_IN_TIME,SPECIES,STUDIES,frame_ATTRIBUTE,frame_CAUSE,frame_COMPOSITION,frame_CONTAINS,frame_DEFINED_AS,frame_FORM,frame_FUNCTION,frame_LOCATION,frame_MEASURES,frame_MEDIUM,frame_POSITION,frame_RESULT,frame_SIZE,frame_STUDIES,frame_TIME
haloklinala,D.1 Abiotic|D.1 Abiotic|D.1 Abiotic|A.2 Underground landform|D.3 Property|D.3 Property|D.1 Abiotic|D.1 Abiotic|D.3 Property|D.1 Abiotic,slano podtalnico|sladkovodno lečo|morskih grebenih|kraških votlin|haloklinala|Meja|atolih|voda|agresivnost|vode,"haloklinala - Meja med slano podtalnico in sladkovodno lečo na morskih grebenih in atolih. Zaradi stika obeh voda se poveča agresivnost vode, ki oblikuje posebne tipe kraških votlin.",,,,,,,Meja,,,,,med slano podtalnico in sladkovodno lečo na morskih grebenih in atolih,,Zaradi stika obeh voda se poveča agresivnost vode|oblikuje posebne tipe kraških votlin,,,,,,,,,,,,,med|na,,,,se poveča,,,
hidrografske cone,C. Geome|C. Geome|D.1 Abiotic|C. Geome,Območja speleogentskega prostora|hidrografske cone|podzemske vode|speleogentskega prostora,"hidrografske cone (v krasu) - Območja speleogentskega prostora, kjer vladajo značilni režimi obnašanja podzemske vode. speleogentskega prostora",,,,,,,Območja speleogentskega prostora,kjer vladajo značilni režimi obnašanja podzemske vode,,,,,,,,,,,,kjer vladajo,,,,,,,,,,,,,,
neprežeta cona,C. Geome|C. Geome|D.1 Abiotic|D.1 Abiotic,neprežeta cona|speleogenetskega prostora|gladino podtalnice|podtalnice,neprežeta cona - Zakraseli del speleogenetskega prostora nad gladino podtalnice. podtalnice,,,,,,,del speleogenetskega prostora,,,Zakraseli,,nad gladino podtalnice,,,,,,,,,,,,,,,nad,,,,,,,
prežeta cona,A.3 Hydrological form|C. Geome,prežeta cona|speleogenetskega prostora,prežeta cona - obsega zakraseli del speleogenetskega prostora pod njo.,,,,obsega zakraseli del speleogenetskega prostora,,,speleogenetskega prostora,,,,,pod njo,,,,,,,,,,,obsega,,,,pod,,,,,,,
hidrotermalni kras,C. Geome|D.1 Abiotic|C. Geome,hidrotermalni kras|hidrotermalnih voda|prežete cone,hidrotermalni kras - nastal zaradi delovanja hidrotermalnih voda. Pojavljajo se samo nekatere oblike prežete cone.,,,,,,,,,nastal zaradi delovanja hidrotermalnih voda,,,,,,,,,,,,nastal zaradi,,,,,,,,,,,,,
škavnica,A.1 Surface landform|A.1 Surface landform|D.1 Abiotic|A.1 Surface landform,škalba :|škavnica|vdolbina|škavna,"škavnica, škalba: Skalna vdolbina, globoka in široka več centimetrov ali decimetrov, izjemoma nekaj metrov. Običajno ravnega dna in strmih, celo previsnih sten. Na krasu lj. škavna za večje škavnice.",,,,,,,Skalna vdolbina,,,"ravnega dna in strmih , celo previsnih sten",,,,,"globoka in široka več centimetrov ali decimetrov , izjemoma nekaj metrov",,,,,,,,,,,,,,,,,globoka in široka,,
škalba,A.1 Surface landform|A.1 Surface landform|D.1 Abiotic|A.1 Surface landform,škalba :|škavnica|vdolbina|škavna,"škavnica, škalba: Skalna vdolbina, globoka in široka več centimetrov ali decimetrov, izjemoma nekaj metrov. Običajno ravnega dna in strmih, celo previsnih sten. Na krasu lj. škavna za večje škavnice.",,,,,,,Skalna vdolbina,,,"ravnega dna in strmih , celo previsnih sten",,,,,"globoka in široka več centimetrov ali decimetrov , izjemoma nekaj metrov",,,,,,,,,,,,,,,,,globoka in široka,,
škavna,A.1 Surface landform|A.1 Surface landform|D.1 Abiotic|A.1 Surface landform,škalba :|škavnica|vdolbina|škavna,"škavnica, škalba: Skalna vdolbina, globoka in široka več centimetrov ali decimetrov, izjemoma nekaj metrov. Običajno ravnega dna in strmih, celo previsnih sten. Na krasu lj. škavna za večje škavnice.",,,,,,,Skalna vdolbina,,,"ravnega dna in strmih , celo previsnih sten",,,,,"globoka in široka več centimetrov ali decimetrov , izjemoma nekaj metrov",,,,,,,,,,,,,,,,,globoka in široka,,
obalna škavnica,A.1 Surface landform|D.1 Abiotic|D.1 Abiotic|B.1 Movement|B.1 Movement,obalna škavnica|morska voda|jamica|plimovanja|valovanja,"obalna škavnica: Skalna jamica v območju plimovanja a1i valovanja, ki jo obdobno zapolnjuje morska voda.",,,,jo obdobno zapolnjuje morska voda,,,Skalna jamica,,,,,v območju plimovanja a1i valovanja,,,,,,,,,,,ki jo|zapolnjuje,,,,v območju,,,,,,,
podtalna škavnica,A.1 Surface landform|D.1 Abiotic|D.1 Abiotic,podtalna škavnica|zemlja|prst,"podtalna škavnica: Škavnici podobna skalna kotlica, ki jo prekriva zemlja (prst).",,,,ki jo prekriva zemlja ( prst,,,skalna kotlica,,,Škavnici podobna,,,,,,,,,,,,,ki jo prekriva,,podobna,,,,,,,,,
odprta škavnica,A.1 Surface landform|D.1 Abiotic,odprta škavnica|žleb,"odprta škavnica: Škavnica, ki ji je obod prerezal odvodni žleb.",,,,,,,Škavnica,,ki ji je obod prerezal odvodni žleb,,,,,,,,,,,,,,,,,,,,,,,,,
predrta škavnica,A.1 Surface landform|A.1 Surface landform|D.1 Abiotic,predrta škavnica|Škavnica|vode,"predrta škavnica: Škavnica brez stoječe vode, s predrtim dnom.",,,,brez stoječe vode,,,Škavnica,,,s predrtim dnom,,,,,,,,,,,,,brez,,,,,,,,,,,
škraplja,A.1 Surface landform|A.1 Surface landform|D.1 Abiotic|B.1 Movement|A.1 Surface landform|A.1 Surface landform|A.1 Surface landform|A.1 Surface landform,škraplja|škrapa|izjedenina|pretakanja|noži|grebeni|hrbti|poličke,"škraplja, škrapa: Nekaj centimetrov do vec decimetrov in metrov razsežna izjedenina v skalnem površju, brez vzdolžnega pretakanja, ki ji smer določuje biološka linija najmanjšega odpora. V rabi tudi škraplje za skalni kompleks s škrapljami. Škraplje ločijo vmesni noži, grebeni, hrbti, poličke (z ravnim vrhom).",,,,"ločijo vmesni noži , grebeni , hrbti , poličke",,,izjedenina,,izjedenina,smer določuje biološka linija najmanjšega odpora,brez vzdolžnega pretakanja,v skalnem površju,,,Nekaj centimetrov do vec decimetrov in metrov razsežna,,,,,,,,,,,,,,,,,razsežna,,
škrapa,A.1 Surface landform|A.1 Surface landform|D.1 Abiotic|B.1 Movement|A.1 Surface landform|A.1 Surface landform|A.1 Surface landform|A.1 Surface landform,škraplja|škrapa|izjedenina|pretakanja|noži|grebeni|hrbti|poličke,"škraplja, škrapa: Nekaj centimetrov do vec decimetrov in metrov razsežna izjedenina v skalnem površju, brez vzdolžnega pretakanja, ki ji smer določuje biološka linija najmanjšega odpora. V rabi tudi škraplje za skalni kompleks s škrapljami. Škraplje ločijo vmesni noži, grebeni, hrbti, poličke (z ravnim vrhom).",,,,"ločijo vmesni noži , grebeni , hrbti , poličke",,,izjedenina,,izjedenina,smer določuje biološka linija najmanjšega odpora,brez vzdolžnega pretakanja,v skalnem površju,,,Nekaj centimetrov do vec decimetrov in metrov razsežna,,,,,,,,,,,,,,,,,razsežna,,
jamska škraplja,A.2 Underground landform|D.1 Abiotic|A.2 Underground landform,jamska škraplja|prenikajočo vodo|jami,"jamska škraplja: Škraplja v jami, ki nastane z agresivno prenikajočo vodo.",,,,,,,Škraplja,,ki nastane z agresivno prenikajočo vodo,,,v jami,,,,,,,,,ki nastane z,,,,,,v,,,,,,,
obalna škraplja,A.1 Surface landform|B.2 Loss|B.2 Loss,obalna škraplja|pršavice|abrazije,"obalna škraplja: Škraplja na morski ali jezerski obali, ki nastaja na golih skalnih tleh zaradi pršavice (abrazije valov).",,,ki nastaja na golih skalnih tleh,,,,Škraplja,,zaradi pršavice ( abrazije valov,,,na morski ali jezerski obali,,,,,,,,,zaradi,,,,,,na,,ki nastaja na,,,,,
kavernozna škraplja,A.1 Surface landform|A.1 Surface landform,kavernozna škraplja|škraplja,kavernozna škraplja: V raznih smereh zluknjana in izjedena izpostavljena škraplja.,,,,,,,škraplja,,,V raznih smereh zluknjana in izjedena,,izpostavljena,,,,,,,,,,,,,,,,,,,,,,
lezična škraplja,A.1 Surface landform|A.1 Surface landform,lezična škraplja|leziki,lezična škraplja: Nastala ob leziki.,,,,,,,,,Nastala ob leziki,,,,,,,,,,,,Nastala ob,,,,,,,,,,,,,
luknjasta škraplja,A.1 Surface landform|D.1 Abiotic|D.1 Abiotic|D.1 Abiotic,luknjasta škraplja|Izjedenina|lukenj|raz,luknjasta škraplja: Izjedenina v obliki navpicnih lukenj in raz.,,,,,,,Izjedenina,,,v obliki navpicnih lukenj in raz,,,,,,,,,,,,,,,v obliki,,,,,,,,,
škrapljasti vodnjak,A.3 Hydrological form|D.1 Abiotic,škrapljasti vodnjak|luknja,"škrapljasti vodnjak: Nekaj decimetrov, do nekaj metrov globoka skalna luknja z vidnim dnom.",,,skalna,,,,,,,z vidnim dnom,,,,,"Nekaj decimetrov , do nekaj metrov globoka",,,,,,,,,,,,,,,,,globoka,,
nožasta škraplja,A.1 Surface landform|A.1 Surface landform|D.1 Abiotic,nožasta škraplja|Škraplje|grebenček,"nožasta škraplja: Škraplje, ki jih razdvaja priostren vmesni skalni grebenček.",,,,,,,Škraplje,,,ki jih razdvaja priostren vmesni skalni grebenček,,,,,,,,,,,,,,,ki jih razdvaja,,,,,,,,,
poklinasta škraplja,A.1 Surface landform|A.1 Surface landform|D.1 Abiotic,poklinasta škraplja|strukturna škraplja|poklino,"poklinasta škraplja, strukturna škraplja: Škraplja, ki kaže v obliki še tesno navezanost na poklino, ob kateri se je razvila. na poklino",,,,,,,Škraplja,,,ki kaže v obliki še tesno navezanost na poklino,,", ob kateri se je razvila na poklino",,,,,,,,,,,,,ki kaže v obliki,,,,,,,,,
strukturna škraplja,A.1 Surface landform|A.1 Surface landform|D.1 Abiotic,poklinasta škraplja|strukturna škraplja|poklino,"poklinasta škraplja, strukturna škraplja: Škraplja, ki kaže v obliki še tesno navezanost na poklino, ob kateri se je razvila. na poklino",,,,,,,Škraplja,,,ki kaže v obliki še tesno navezanost na poklino,,", ob kateri se je razvila na poklino",,,,,,,,,,,,,ki kaže v obliki,,,,,,,,,
porušena škraplja,A.1 Surface landform|B.4 Transformation|A.1 Surface landform|A.1 Surface landform,porušena škraplja|porušitvijo|škrapljami|griža,porušena škraplja: Nastane s porušitvijo hrbtov med škrapljami. Podobno griža.,,,,,,,,,Nastane s porušitvijo hrbtov med škrapljami,,,,,,,,,,,,Nastane s,,,,,,,,,,,,,
prikriti kras,C. Geome|D.1 Abiotic|C. Geome|C. Geome|D.1 Abiotic|C. Geome,prikriti kras|sedimentnim pokrovom|recentni kras|Kras|površju|fosilni,"prikriti kras: Kras pod tankim, neprepustnim sedimentnim pokrovom, katerega oblike se le delno odražajo na površju. Je lahko fosilni ali recentni kras ali oboje hkrati.",,,,,,,Kras,Je lahko fosilni ali recentni kras ali oboje hkrati,,katerega oblike se le delno odražajo na površju,,"pod tankim , neprepustnim sedimentnim pokrovom",,,,,,,,,,,,,,,pod|na,,,,,,,
prekriti kras,C. Geome|C. Geome|D.1 Abiotic|D.1 Abiotic|C. Geome|C. Geome|D.1 Abiotic,prekriti kras|skriti kras4|kraških pojavov|naplavinami|kras|Kras|sedimenti,"prekriti kras: Pod vodoprepustnimi (kvartarnimi) naplavinami razviti kras, ki se odraža tudi v površinskih oblikah. skriti kras4. Kras, ki je prekrit z neprepustnimi sedimenti do tolike mere, da je brez površinskih kraških pojavov.",,,ki je prekrit z neprepustnimi sedimenti do tolike mere,da je brez površinskih kraških pojavov,,,skriti kras4|kras|Kras,,,se odraža tudi v površinskih oblikah,,Pod vodoprepustnimi ( kvartarnimi ) naplavinami,,,,,,,,,,je prekrit,je brez,,,,Pod,,,,,,,
obrežni kras,C. Geome|D.1 Abiotic|C. Geome|D.1 Abiotic,obrežni kras|jezerski obali|Kras|obali,obrežni kras: Kras ob morski ali jezerski obali. obali,,,,,,,Kras,,,,,ob morski ali jezerski obali,,,,,,,,,,,,,,,ob,,,,,,,
linearni kras,C. Geome|D.1 Abiotic|C. Geome|D.1 Abiotic|D.1 Abiotic,linearni kras|depresijskih oblik|Kras|reber|vzpetinic,"linearni kras: Kras, v katerem je opazna linearna razvrstitev depresijskih oblik, reber ali večjih vzpetinic.",,,,"opazna linearna razvrstitev depresijskih oblik , reber ali večjih vzpetinic",,,Kras,,,,,,,,,,,,,,,,,,,,,,,,,,,
osameli kras,C. Geome|C. Geome|C. Geome|C. Geome,osameli kras|osamljeni kras|oazni kras|kras,"osameli kras, osamljeni kras: oazni kras sredi nekraške okolice. kras",,,,,,,kras,,,,,sredi nekraške okolice,,,,,,,,,,,,,,,sredi,,,,,,,
osamljeni kras,C. Geome|C. Geome|C. Geome|C. Geome,osameli kras|osamljeni kras|oazni kras|kras,"osameli kras, osamljeni kras: oazni kras sredi nekraške okolice. kras",,,,,,,kras,,,,,sredi nekraške okolice,,,,,,,,,,,,,,,sredi,,,,,,,
zajezeni kras,C. Geome|D.1 Abiotic|D.1 Abiotic|D.1 Abiotic|D.1 Abiotic|E. Instrument or method,zajezeni kras|erozijska baza|freatično cono|masiv|kamnine|Vorfluter,"zajezeni kras: Izolirani ali vsaj od treh strani obdani in zajezeni kraški masiv, v katerem vzdržujejo sosednje neprepustne kamnine ali lokalna erozijska baza (Vorfluter) globoko freatično cono.",,,,,,,kraški masiv,,,Izolirani ali vsaj od treh strani obdani in zajezeni,v katerem vzdržujejo sosednje neprepustne kamnine ali lokalna erozijska baza ( Vorfluter ) globoko freatično cono,,,,,,,,,,,,,,,v katerem vzdržujejo,,,,,,,,
krasoslovje,E. Instrument or method|D. Entity/Element/Property|D. Entity/Element/Property|C. Geome|D. Entity/Element/Property|D. Entity/Element/Property|E. Instrument or method,Znanstvena panoga|fizično speleologijo|krasoslovje|kras|veda|biospeleologijo|krasoslovjem,"krasoslovje: Znanstvena panoga, ki preučuje kras. Je kompleksna veda, ki združuje fizično speleologijo, biospeleologijo, geografijo krasa itd. Znanstvenik, ki se bavi s krasoslovjem, je krasoslovec.",,,,,,,Znanstvena panoga|veda,,,,,,,,,,,,"združuje fizično speleologijo , biospeleologijo , geografijo krasa|ki preučuje kras",,,,,,,,,,,,,,preučuje,
kraška bifurkacija,B.1 Movement|B.1 Movement|D.3.1 Geolocation|B.1 Movement|D.3.1 Geolocation|B.1 Movement|C. Geome|D.1 Abiotic|A.3 Hydrological form|D.3.1 Geolocation|D.3.1 Geolocation|D.1 Abiotic|D.3.1 Geolocation|D.3.1 Geolocation|A.3 Hydrological form|D.3.1 Geolocation,kraška bifurkacija|podzemeljski bifurkaciji|Loški potok|vertikalni bifurkaciji|Cerkniško jezero|bifurkacija|krasu|voda|izvirih|Rinži|Rakitnici|kotanje|Raku|Uncu|požiralnike|Bistri,"kraška bifurkacija, bifurkacija: Na krasu se pri podzemeljski bifurkaciji voda istega toka javlja v dveh kraških izvirih (primer:. Loški potok, ki izvira v Rinži in Rakitnici). Pri vertikalni bifurkaciji se višje vode iz iste kotanje izlivajo v drugo smer kot nižje (na primer Cerkniško jezero, katerega vode odtekajo v višji legi proti Raku in Uncu, istočasno pa se skozi aluvialne požiralnike odtekajo proti Bistri).",,,,,,,,,,,,Na krasu,,se višje vode iz iste kotanje izlivajo v drugo smer kot nižje|voda istega toka javlja v dveh kraških izvirih,,,,podzemeljski bifurkaciji|vertikalni bifurkaciji,,,,,,,,,Na,,,,javlja v|izlivajo v,,,
bifurkacija,B.1 Movement|B.1 Movement|D.3.1 Geolocation|B.1 Movement|D.3.1 Geolocation|B.1 Movement|C. Geome|D.1 Abiotic|A.3 Hydrological form|D.3.1 Geolocation|D.3.1 Geolocation|D.1 Abiotic|D.3.1 Geolocation|D.3.1 Geolocation|A.3 Hydrological form|D.3.1 Geolocation,kraška bifurkacija|podzemeljski bifurkaciji|Loški potok|vertikalni bifurkaciji|Cerkniško jezero|bifurkacija|krasu|voda|izvirih|Rinži|Rakitnici|kotanje|Raku|Uncu|požiralnike|Bistri,"kraška bifurkacija, bifurkacija: Na krasu se pri podzemeljski bifurkaciji voda istega toka javlja v dveh kraških izvirih (primer:. Loški potok, ki izvira v Rinži in Rakitnici). Pri vertikalni bifurkaciji se višje vode iz iste kotanje izlivajo v drugo smer kot nižje (na primer Cerkniško jezero, katerega vode odtekajo v višji legi proti Raku in Uncu, istočasno pa se skozi aluvialne požiralnike odtekajo proti Bistri).",,,,,,,,,,,,Na krasu,,se višje vode iz iste kotanje izlivajo v drugo smer kot nižje|voda istega toka javlja v dveh kraških izvirih,,,,podzemeljski bifurkaciji|vertikalni bifurkaciji,,,,,,,,,Na,,,,javlja v|izlivajo v,,,
kraška dolina,A.1 Surface landform|D.3.1 Geolocation|D.1 Abiotic|A.3 Hydrological form|A.3 Hydrological form,kraška dolina|Rakov Škocjan|dolina|izviri|ponori,kraška dolina: Z vseh strani zaprta rečna dolina z izviri na eni in ponori na drugi strani. Prim. Rakov Škocjan.,,,,z izviri na eni in ponori na drugi strani,,,rečna dolina,,,Z vseh strani zaprta,,,,,,,,Rakov Škocjan,,,,,z,,,,,,,,,,,
