REL_LABEL,REL_TOK,REL_FRAME
COMPOSITION_MEDIUM,skalna,
HAS_FORM,ki jih razdvaja priostren vmesni skalni grebenček,ki jih razdvaja
HAS_LOCATION,", ob kateri se je razvila na poklino",|
HAS_FORM,ki kaže v obliki še tesno navezanost na poklino,ki kaže v obliki
HAS_CAUSE,Nastane s porušitvijo hrbtov med škrapljami,Nastane s
HAS_LOCATION,"pod tankim , neprepustnim sedimentnim pokrovom",pod
HAS_FORM,katerega oblike se le delno odražajo na površju,na
HAS_ATTRIBUTE,Je lahko fosilni ali recentni kras ali oboje hkrati,
HAS_LOCATION,Pod vodoprepustnimi ( kvartarnimi ) naplavinami,Pod
CONTAINS,da je brez površinskih kraških pojavov,je brez
COMPOSITION_MEDIUM,ki je prekrit z neprepustnimi sedimenti do tolike mere,je prekrit
HAS_FORM,se odraža tudi v površinskih oblikah,
HAS_LOCATION,ob morski ali jezerski obali,ob
CONTAINS,"opazna linearna razvrstitev depresijskih oblik , reber ali večjih vzpetinic",
HAS_LOCATION,sredi nekraške okolice,sredi
HAS_FORM,Izolirani ali vsaj od treh strani obdani in zajezeni,
HAS_FUNCTION,v katerem vzdržujejo sosednje neprepustne kamnine ali lokalna erozijska baza ( Vorfluter ) globoko freatično cono,v katerem vzdržujejo
STUDIES,"združuje fizično speleologijo , biospeleologijo , geografijo krasa",
STUDIES,ki preučuje kras,preučuje
HAS_RESULT,voda istega toka javlja v dveh kraških izvirih,javlja v
HAS_RESULT,se višje vode iz iste kotanje izlivajo v drugo smer kot nižje,izlivajo v
HAS_LOCATION,Na krasu,Na
HAS_FORM,Z vseh strani zaprta,
CONTAINS,z izviri na eni in ponori na drugi strani,z
HAS_LOCATION,na krasu,na
HAS_LOCATION,na krasu,na
HAS_RESULT,"Zunanji znak intenzivne kraške erozije prsti so kamni , ki na obdelovalnih zemljišcih pogledajo na površje",
HAS_CAUSE,pri kateri se zaradi spiranja,zaradi spiranja
HAS_RESULT,zniža raven prsti,zniža raven
HAS_LOCATION,v kraško notranjost,v
HAS_FORM,na podstavku leži,|na
HAS_FUNCTION,ki je zašlitila apneniško podlago pred zniževanjem in zato leži,zašlitila|leži
DEFINED_AS,Opis kraških vodnih razmer,Opis
STUDIES,Veda o kraškem vodovju,Veda o
CONTAINS,v kateri nastopajo kraški pojavi,
HAS_LOCATION,v kraško podzemlje,v
HAS_FUNCTION,ponikne,
HAS_LOCATION,v odprtino,v
COMPOSITION_MEDIUM,večidel prekrito z naplavino,
HAS_FUNCTION,ponikanje vodnega toka,
HAS_LOCATION,kamor se izgublja voda,kamor se izgublja
HAS_FUNCTION,v kateri ponika voda,v kateri ponika
HAS_SIZE,večja,
HAS_FORM,vodoravna,
HAS_FUNCTION,v katero teče potok ali reka,v
HAS_SIZE,Večja,
HAS_FUNCTION,v katerega teče voda iz jezera,
HAS_LOCATION,na obali ali jezerski kotanji,na
HAS_LOCATION,v skalnem koritu,v
HAS_LOCATION,Mesto izgubljanja vode v kraško podzemlje,Mesto
HAS_FUNCTION,ki požira vodo,ki požira
HAS_FORM,"Po podobnosti z geometrijskimi liki ločimo okroglasti , sodasti , pravokotniški , kvadratasti , trapezasti , kupolasti ( svodasti ) , lečasti , špranjasti ( itd . ) prečni profil",Po podobnosti z geometrijskimi liki ločimo
HAS_FORM,Oblika jamskega rova v prečnem preseku,v prečnem preseku
HAS_FORM,"Zanj so značilne stene , ravno dno in svodast strop",
CONTAINS,". stene , ravno dno in svodast strop",||||||
HAS_FUNCTION,oblikuje gravitacijski prečni profil,oblikuje
HAS_FORM,značilne okroglaste oblike,značilne okroglaste oblike
HAS_CAUSE,nastali s pretokom vode pod tlakom,
HAS_FUNCTION,oblikuje eforacijski prečni profil,oblikuje
OCCURS_IN_TIME,"Doba v razvoju površja pred začetkom zakrasevanja , ko je vladal na površju rečni ( normalni ) relief",pred začetkom
STUDIES,Določujejo jo z izgubljanjem vode v določenem časovnem razmaku in pod določenim pritiskom na meter dolžine vrtine v kraški kamnini,Določujejo jo z
DEFINED_AS,Stopnja prepustnosti kraške kamnine,
HAS_FUNCTION,ki se občasno presuši,
HAS_FORM,Vrtačasta,
COMPOSITION_MEDIUM,v nekarbonatni kamnini,v
COMPOSITION_MEDIUM,"v nekarbonatnih kamninah ( lavi , soli )",v
COMPOSITION_MEDIUM,v nekarbonatni kamnini,v
HAS_LOCATION,Del jame ali brezna,Del
HAS_FORM,cevast,
HAS_FORM,neglede na dimenzije in oblike,
HAS_SIZE,enakomerno širok,
STUDIES,ki prikazuje kompleksno podobo reliefa nekega območja,ki prikazuje
HAS_ATTRIBUTE,kopučaste teksture,
HAS_CAUSE,biogena,
OCCURS_IN_TIME,miocenska ( badenijska ),
HAS_CAUSE,nastala z biokemičnimi procesi,nastala z
OCCURS_IN_TIME,iz badenijskega obdobja srednjega miocena,iz|obdobja
HAS_CAUSE,suspendira iz poplavnih vod,suspendira iz
HAS_CAUSE,korozijski ostanek sredi korozijske uravnave,
HAS_FUNCTION,"v poletnem času , ko turloughi presahnejo so pomembni za pašo drobnice",
HAS_FUNCTION,pomemben habitat za floro in favno,pomemben|za
HAS_FORM,podolgovat zaobljen grič,
COMPOSITION_MEDIUM,iz drobirja talne morene,iz
HAS_FORM,razpotegnjen v smeri premikanja nekdanjega ledenika,
HAS_LOCATION,v reki,
DEFINED_AS,Raztekanje voda z istega območja v različna porečja in povodja,
HAS_LOCATION,ob izstopu iz ozkih gorskih grap v široko glavno ravnino,
HAS_FORM,stožčasto,
HAS_FORM,s precejšnjim strmcem in prečnim profilom v obliki črke V,
HAS_LOCATION,na pobočju,na
HAS_FUNCTION,"Voda po njej teče le v majhnih količinah in le občasno , ob nalivih lahko v njih nastanejo siloviti hudourniki",
HAS_CAUSE,"nastanek povezujemo s točkastim vertikalnim odnašanjem kamnine v podzemlje , bodisi z nenadnimi udori nad jamskimi prostori , bodisi s postopnim odnašanjem kamnine nad aktivnimi jamskimi rovi",
HAS_FORM,različnih oblik,
HAS_SIZE,različnih,
HAS_SIZE,velikosti,
HAS_ATTRIBUTE,kraška hidrologija,
HAS_SIZE,najmanj pol kilometra široka uravnava z višjim obodom,široka
HAS_SIZE,obsežnim,
HAS_FORM,sklenjen obod nad razmeroma uravnanim obsežnim dnom,
HAS_LOCATION,podzemeljsko,
HAS_FUNCTION,prehodno,
HAS_FORM,ki je lahko vodoravna ali navpična,
HAS_FORM,"nasprotno od brezna , ki je navpično",
HAS_FORM,pretežno horizontalna,
HAS_LOCATION,podzemna,
HAS_FUNCTION,prehodna,
HAS_CAUSE,kemično denudacijo karbonatne podlage na območjih vršajev,
HAS_LOCATION,kontaktnega krasa,
HAS_CAUSE,nastanejo s postopno denudacijo flišne naplavine,
HAS_LOCATION,na območjih vršajev,||
COMPOSITION_MEDIUM,"na apnencih , na dolomitih jih navadno ni , razvijejo se tudi na pleistocenskih in oligocenskih konglomeratih",
HAS_LOCATION,manj pogosto pojavljajo na strmih pobočjih,
HAS_LOCATION,se pogosto nahajajo na karbonatih in evaporitih,
HAS_FORM,"deli na skledaste , lijakaste , kotlaste in vodnjakaste",
HAS_CAUSE,"jih ločimo na korozijske , udorne , sufozijske in posedne",
HAS_RESULT,"do te mere , da se razvijejo   kraški vodonosniki   oziroma jame",
HAS_FUNCTION,površinsko tekoča voda izginja v podzemlje,
HAS_FORM,lijakasta,
HAS_LOCATION,v tleh zakraselega območja,
CONTAINS,"se na njem ne pojavljajo največje kraške oblike , kot so kraška polja , uvale in daljši jamski sistemi",
CONTAINS,"Tu najdemo manjše kraške pojave , vrtače , kotliče , manjše ponikalnice in manjše jame",
CONTAINS,"površinske oblike   slepe doline in ponorni zatrepi ( Mihevc , 1991 ) , suhe doline , skupine udornic v kraškem zaledju večjih ponorov ( Stepišnik , 2010 ) in reliktni vršaji",
HAS_ATTRIBUTE,poseben tip   oblikovanosti in delovanja površja,
HAS_LOCATION,"na območjih , kjer vode pritekajo iz fluvialnega geomorfnega sistema v kraškega ali obratno",
COMPOSITION_MEDIUM,kontaktnega krasa,
HAS_CAUSE,"ki jo oblikujejo fluvialni procesi ,",
HAS_LOCATION,"kjer reka , ki je dolino izdolbla , ponika v jamski sistem",
HAS_CAUSE,"ki nastane na območju izvirov , kjer vode pritekajo iz kraške kamnine",
HAS_CAUSE,akumulacijo,
HAS_CAUSE,postopnega preoblikovanja te oblike z denudacijo alohtonih nanosov v obliko na karbonatni podlagi,
HAS_CAUSE,prekinitve fluvialne akumulacije alohtonega materiala,
HAS_FUNCTION,poteka v vodonosniku tudi napajanje z vodo in njeno odtekanje,
HAS_FUNCTION,"masa apnenca , ki zadržuje vodo , ki se steka s kraškega površja v podzemlje",
COMPOSITION_MEDIUM,na karbonatnih kamninah,na
HAS_ATTRIBUTE,prevladuje površinski odtok vode,prevladuje
HAS_ATTRIBUTE,"temperatura zraka z višino narašča , namesto da bi padala",
HAS_SIZE,se dvigujejo od nekaj 10 do 200 m nad okoliško površje,m nad okoliško površje|se dvigujejo
HAS_FORM,so v tlorisu okroglaste oblike,so v tlorisu
HAS_FORM,Kopaste,
HAS_FORM,kjer se osamljeno dvigajo več deset ali sto metrov visoke vzpetine,kjer se osamljeno dvigajo
CONTAINS,vrtače,
HAS_POSITION,na Dinarskem krasu,na
HAS_LOCATION,je prevladujoč tip kraškega površja v zmernotoplem pasu,je prevladujoč tip
HAS_FORM,združuje kraške oblike in hidrologijo s podedovanimi ledeniškimi oblikami,združuje
HAS_CAUSE,je rezultat delovanja poledenitve na kraški geomorfni sistem,je rezultat
HAS_ATTRIBUTE,dobra ohranjenost ledeniških geomorfoloških oblik,
HAS_CAUSE,kemična denudacija površja in vertikalni odtok padavinske vode v podzemlje,
CONTAINS,ledeniških geomorfoloških oblik,||
HAS_CAUSE,je kraško površje lokalno preoblikovano zaradi delovanja površinsko tekočih vod,zaradi
COMPOSITION_MEDIUM,na dolomitu,
HAS_CAUSE,vezane tudi na močno zakrasevanje apnencev v podlagi,vezane tudi na
DEFINED_AS,Meja med nezasičenim in zasičenim območjem,
OCCURS_IN_TIME,ko vzdolž celotnega segmenta od ponorov do izvirov laminarni tok preide v turbulentnega,ko
HAS_CAUSE,litoloških značilnosti kamnine,
HAS_CAUSE,posledica tektonskega razvoja kamninskega masiva,posledica
HAS_FORM,Sistem freatičnih rovov in skokov,
COMPOSITION_MEDIUM,ga tvorijo vzporedno tekoče plasti vode,ga tvorijo
HAS_LOCATION,v inicialnih kanalih,v
HAS_LOCATION,Zgornji del te cone predstavlja,Zgornji del
COMPOSITION_MEDIUM,tanka prst,
HAS_CAUSE,je rezultat razmerja med dinamiko premeščanja mase v dno in iz dna,je rezultat
HAS_RESULT,s katerim nastajajo manjše udornice,
HAS_LOCATION,na kraškem površju,na
CONTAINS,"stena , melišče , pobočje z blagimi pobočnimi procesi , ki jih v nadaljevanju imenujem aktivna pobočja , ter uravnoteženo pobočje",
HAS_LOCATION,vzporedno s pobočjem navzdol,|||
HAS_FUNCTION,kjer so aktivni pobočni procesi polzenja tal oziroma prepereline vzporedno s pobočjem navzdol,kjer so aktivni
HAS_SIZE,Večje,
HAS_FORM,ki naj bi bile v tlorisu bolj nepravilnih oblik,v tlorisu
HAS_CAUSE,je najstarejša razlaga nastanka,
HAS_SIZE,Večje globeli od uval,od|Večje
HAS_CAUSE,pri katerem se z enim udorom oblikuje celotna oblika,
HAS_FORM,ki jih prekrivajo ledeniki,
COMPOSITION_MEDIUM,Sigova tvorba,
CONTAINS,majhni stalaktiti,
HAS_FORM,v obliki diska ali palete,v obliki
HAS_LOCATION,pritrjena na jamsko steno ali na strop,pritrjena na
COMPOSITION_MEDIUM,sigova tvorba,
HAS_FORM,Vodnemu slapu podobna,podobna
HAS_SIZE,večje širine,
HAS_LOCATION,na strmi ali navpični steni,na
HAS_LOCATION,na rahlo položnih ali strmih pobočjih,
HAS_SIZE,Do nekaj centimetrov široka,široka
HAS_FORM,stopnička,
COMPOSITION_MEDIUM,"iz kalcita , huntita ali magnezija",iz
HAS_FORM,"Mokro je pastozno , suho pa krhko",
CONTAINS,zapolnjena s stoječo vodo,zapolnjena s
COMPOSITION_MEDIUM,iz sige,iz
HAS_FORM,navpično do gladine vode segajočo steno na odtočni strani,
OCCURS_IN_TIME,stalno ali obdobno,
HAS_FORM,tanka,
HAS_FORM,zvijugana sigova skorja,
HAS_LOCATION,na previsu,na
HAS_FORM,Podolgovata,
COMPOSITION_MEDIUM,Sigove tvorbe,
HAS_LOCATION,zrasle na jamski steni ali jamskem stropu,zrasle na
HAS_FORM,"okroglaste , čebuli podobne oblike",oblike
HAS_FORM,Stoječa ali viseča,
HAS_CAUSE,nastala z izločanjem sige iz kapljajoče vode,nastala z
HAS_FORM,oblike cevčiče oziroma slame,oblike
HAS_FORM,Stoječi,
HAS_FORM,"po obliki lahko stožcast , valjast , kijast",po obliki
HAS_FORM,"Po obliki cevast , korenast , kijast , svedrast",Po obliki
HAS_FORM,Viseči,
HAS_CAUSE,do dna zrasli stalaktit,
HAS_CAUSE,do stropa zrasli stalagmit,
HAS_CAUSE,Zraščena stalagmit in stalaktit,
HAS_SIZE,Drobna,
HAS_CAUSE,zaradi kapilarne vode,zaradi
HAS_FORM,zraste v raznih smereh,zraste v
HAS_LOCATION,visi cez podlago,visi cez
COMPOSITION_MEDIUM,Sigova tvorba,
HAS_FORM,"jo navadno sestavlja niz stalaktitov , zraslih deloma v sigov klobuk",
HAS_CAUSE,"katerega oblika ni pogojena z gravitacijo , temveč z drugimi ( kristalnimi itd . ) silami",pogojena z
HAS_FORM,Nenavadno zavit,
DEFINED_AS,deformacija razpoklinskega prevodnika,
HAS_RESULT,tako da inicialne strukture preraščajo v kanale,preraščajo v
DEFINED_AS,Delež praznega prostora v določeni prostomini kamnine,v
HAS_LOCATION,v določeni prostomini kamnine,|||
COMPOSITION_MEDIUM,"ki ga prispevajo razpoke , Jezike in kraške votline",ki ga prispevajo
OCCURS_IN_TIME,traja laminarni tok od začetja do preboja,traja
HAS_CAUSE,"nastane , kadar je Reynoldsovo število < 2000",nastane
HAS_LOCATION,V jamskih kanalih,V
HAS_SIZE,"možno samo pri majhnih hitrostih , do 10 · 3 mis",
HAS_FUNCTION,pri katerem so tokovnice ves čas vzporedne,
DEFINED_AS,"je kombinacija štirih parametrov ( premera kanala , gostote , hitrost in viskoznosti tekoči ­ ne",je kombinacija
HAS_LOCATION,kije nastal vzdolž lezike in ji popolnoma sledi,vzdolž
CONTAINS,Vključuje epi - in endokraške pojave,Vključuje
HAS_CAUSE,nastal zaradi delovanja padavinskih voda na kraške kamni ne,nastal zaradi
HAS_LOCATION,nad gladino podtalnice,nad
HAS_FUNCTION,Prevaja preniklo padavinsko vodo in jo oddaja prežeti coni,Prevaja
HAS_FUNCTION,Prevaja tudi vode invazijskih jam,Prevaja
HAS_RESULT,vzdolž katere je nastal pomemben del svežnja,vzdolž katere
HAS_LOCATION,v kamnini,|
HAS_SIZE,a se ne razteza na večje razdalje,razteza
HAS_FUNCTION,Speleogenetsko pomembna nezveznost v kamnini,v
HAS_LOCATION,ki je v okviru natančnosti opazovanj vzporedna pravim lezikam,vzporedna
HAS_RESULT,bistveno zavre nadaljnje korozijsko večanje,zavre
HAS_RESULT,"Dimenzija kanala , pri kateri netopno plavje prekrije stene",
HAS_LOCATION,"v smeri , kjer stene oz . dno niso prevlečene s plavjem",v smeri
HAS_RESULT,"Razdalja , do katere zaradi reakcije s prikamnino prenikujoči vodi agresivnost upade na 10% začetne vrednosti",do katere zaradi
HAS_RESULT,ki lahko ob primernih pogojih prerastejo v kraške votline,prerastejo v
HAS_CAUSE,nastale kot posledica medplastovnih zdrsov,nastale kot posledica
CONTAINS,kamor visoko nad gladino podtalnice vteka že oblikovan vodotok,vteka
HAS_LOCATION,neprežete cone,
HAS_FORM,Značilen je profil ključavnice,Značilen je
HAS_SIZE,naj bi bila vsaj 10 m dolga ali globoka,dolga|globoka
HAS_SIZE,prehodna človeku,
HAS_LOCATION,v krasu,v
HAS_CAUSE,naravna,
HAS_LOCATION,ki jih najdemo v kraških votlinah,v
HAS_CAUSE,"avtohtone , ki nastajajo iz komponent poljubnega izvora v specifično jamskih razmerah",ki nastajajo iz
HAS_CAUSE,"alohtone , ki so zunanjega izvora in lahko s krasom sploh nimajo zveze",izvora|ki so
HAS_CAUSE,paravtohtone ki so presedimentirani iz matične kamnine,
HAS_FORM,kot zapletenejšo jamo,
HAS_FUNCTION,"kot skupnost vseh nezveznosti v kamnini , ki "" obratujejo "" kraško",
HAS_LOCATION,pri opisovanju podzemskega krasa,
STUDIES,kot sistem v smislu teorije sistemov,
DEFINED_AS,kot skupnost več jam skupnega nastanka,
HAS_FORM,Kristali ditrigonalno skalenoedrično,
HAS_CAUSE,kristali neposredno iz vode,neposredno iz
HAS_FORM,Najbolj običajna kristalna oblika je romboeder,oblika
HAS_CAUSE,nastane tudi s kalcitizacijo aragonitnih ogrodij nekaterih organizmov,nastane tudi s
COMPOSITION_MEDIUM,"Kalcit je osnovna sestavina običajne sige , med kamninami apnenca , delno marmorja in karbonatitov",osnovna sestavina
CONTAINS,mineral z največ znanimi kristalnimi ploskvami,z največ znanimi
HAS_FORM,Navpična,
HAS_FORM,Vodoravni preseki manjših kaminov se ravnajo pretežno po inicialnih strukturah,
HAS_LOCATION,značilna za neprežeto cono,značilna za
HAS_FORM,Prostorski potek kamina se ravna po navpičnici,
HAS_RESULT,"Ko denudacija kamin odpre s površja , mu pravimo brezno",
HAS_CAUSE,Delo prosto padajoče prenikle vode,Delo
HAS_FORM,za večje je značilen elipsast presek,
DEFINED_AS,"Niz strukturnih segmentov , ki ( je ) prevaja isti tok",ki ( je ) prevaja
HAS_FUNCTION,ki ( je ) prevaja isti tok,||||||
HAS_FUNCTION,Osnovni gradnik svežnja,
HAS_SIZE,"vendar slednji predvideva antropogeno najmanjšo dimenzijo , medtem ko pri kanalu te omejitve ni",
DEFINED_AS,Hipotetični blok kraške kamnine,
STUDIES,ki služi pri teoretskih razglabljanjih kot vzorčni izsek celotnega speleogenetskega prostora,ki služi
HAS_CAUSE,vertikalen odtok padavinskih voda s površja,
COMPOSITION_MEDIUM,sorazmerno hitro in enakomerno topna matična kamnina ( kraške kamnine ),
HAS_CAUSE,zanemarljiva akumulacija,
HAS_CAUSE,Značilno je odnašanje snovi v raztopini,Značilno je
HAS_CAUSE,dovolj obilne padavine,
HAS_CAUSE,možnost nastajanja zveznih podzemskih kanalov,
HAS_RESULT,se odraža v oblikovanju zaprtih globeli in kopastih vrhov ter v opazni kanalski poroznosti,
HAS_CAUSE,Ena materializacij eksogenega preoblikovanja kontinentalne zemeljske skorje,
HAS_LOCATION,Eden predelov na Zemlji,na
HAS_SIZE,daljše ali globlje od 10 m,globlje|daljše
HAS_POSITION,na Zemlji,|
CONTAINS,kjer najdemo človeku prehodne votline,kjer najdemo
HAS_RESULT,Posamezni kraški fazi naj bi ustrezal en sveženj,
OCCURS_IN_TIME,zakrasevanja v sorazmerno stabilnih hidrogeoloških razmerah med dvema regionalnima tektonskima dogodkoma,dogodkoma
HAS_ATTRIBUTE,V območju svežnja tedaj vladajo stabilni pogoji,
COMPOSITION_MEDIUM,v določeni prostornini kamnine,v
HAS_LOCATION,"tam , kjer je kamnina močno zakrasela",kjer je
HAS_CAUSE,kadar imajo kanali ( odtod sinonim kanalska poroznost ) bistven vpliv na način in količino pojavljanja vode v kamnini,vpliv
HAS_SIZE,v primerjavi z razpoklinsko poroznostjo majhna,
HAS_SIZE,je pa večja od dimenzije preboja,večja
HAS_CAUSE,"nastala s procesi , ki jih definiramo kot kraške",nastala s
HAS_FORM,Poljubno oblikovana,
OCCURS_IN_TIME,da so regionalno zaznavno topne med dvema regionalnima tektonskima dogodkoma,dogodkoma
HAS_RESULT,na katerih se ob izpolnitvi drugih potrebnih pogojev lahko razvije kras,lahko razvije
HAS_ATTRIBUTE,da ne prihaja do Zogovicevega efekta,
CONTAINS,"so marmorji , pogojno kvarciti",
CONTAINS,"karbonati ( apnenci , dolomiti in njihovi klastiti ) , sulfati , haloidi , v posebnih razmerah kremenovi peščenjaki",
HAS_ATTRIBUTE,so topne brez ostanka,
HAS_FORM,v obliki nosu,v obliki
HAS_LOCATION,Iz skalne stene ali poševnega pobočja moleča izboklina,Iz
HAS_CAUSE,Domnevno ostanki žlebičastih reber,
HAS_FORM,ostra,
HAS_LOCATION,štrli v jamski prostor,štrli v
HAS_CAUSE,ostanek izvotljevanja,ostanek
HAS_FORM,Noževemu rezilu podobna,podobna
COMPOSITION_MEDIUM,na apnencu,
HAS_FORM,se slepo končuje,
CONTAINS,ponori,
DEFINED_AS,Nastanek jame,
STUDIES,ki se bavi s preučevanjem jam,se bavi s
STUDIES,veda o kraškem podzemlju ali krasu,veda o
STUDIES,veda o kraških jamah,veda o
STUDIES,Ugotavlja fizikalne in kemijske zakonitosti v podzemlju,Ugotavlja
HAS_FORM,horizontalna jama s širokim vhodom,
HAS_SIZE,Krajša,
HAS_FUNCTION,zračno slabo komunicira z zunanjim zrakom in so v njej zračne razmere statične,
OCCURS_IN_TIME,pozimi in poleti,
OCCURS_IN_TIME,"komunicira z zunanjim zrakom v eni sezoni , medtem ko je v ostalem letu statična",||||||||||||||
HAS_FUNCTION,"živahno komunicira z zunanjim zrakom v eni sezoni , medtem ko je v ostalem letu statična",
HAS_LOCATION,izpod ruše ali krovnih sedimentov,izpod
HAS_RESULT,Spiranje gmote,
COMPOSITION_MEDIUM,po tekoči vodi,po
HAS_FUNCTION,brez stalnega površinskega vodnega toka,
HAS_FORM,Dolinasta oblika,
HAS_LOCATION,na krasu,na
OCCURS_IN_TIME,trajno in obdobno suhe doline,
HAS_FORM,Dolinasta oblika,
CONTAINS,s površinskim vodnim tokom v delu doline,
CONTAINS,v kateri se občasno pojavlja površinski vodni tok,v kateri
HAS_LOCATION,"ob mejah parcel , ob poteh ali kot škarpa na spodnji strani njiv in vinogradov",
COMPOSITION_MEDIUM,"iz kamnov , ki niso vezani z malto ali s cementom",
HAS_CAUSE,ki so ga sezidali iz otrebljenega kamenja,
OCCURS_IN_TIME,ki ob nizki vodi presiha,
OCCURS_IN_TIME,ki ni nastal v današnjih razmerah,
HAS_CAUSE,"morska voda , ki teče v požiralnik na obali , ponekod namreč žene mlinsko kolo",
HAS_LOCATION,"nahaja se na nadmorski višini , na kateri sta akumulacija in ablacija ledu v ravnovesju",nahaja se na
DEFINED_AS,"navidezna meja na ledeniku , vzdolž katere je masna bilanca enaka nič",
MEASURES,"s katero izračunamo količino akumulacije , ki je potrebna za ohranjanje ledenikov",|||||||||||
MEASURES,"s katero izračunamo količino akumulacije , ki je potrebna za ohranjanje ledenikov , posredno pa izračunamo tudi količino padavin v času poledenitve .",izračunamo|izračunamo
MEASURES,posredno pa izračunamo tudi količino padavin v času poledenitve,||||||||
HAS_FORM,ki imajo v dnu dostop do podzemnih prostorov,ki imajo
HAS_FORM,"ločil od koliševk , ki so brez dostopa do podzemnih prostorov",
HAS_FORM,Topografske razvodnice vrtač imajo poligonalen vzorec,|||||
DEFINED_AS,Topografske razvodnice vrtač imajo poligonalen vzorec in tak kras,
MEASURES,"hidravlični gradient , ki je vektor , katerega dolžina je enaka spremembi hidravličnega potenciala na enoto dolžine in ima smer proti največjemu naraščanju hidravličnega potenciala",
HAS_FORM,z ravnim dnom,z
HAS_LOCATION,v kraškem reliefu,v
HAS_FORM,zaprto,
HAS_SIZE,dolgo,
