TERM,CATEGORY
crystalline,D.1 Abiotic
calcite,D.1 Abiotic
softer porous material,D.1 Abiotic
Tufa,A.1 Surface landform
deposition,B.3 Addition
cave,A.2 Underground landform
evaporation,B.2 Loss
cave pearls,A.2 Underground landform
spheres,D.1 Abiotic
gypsum speleothems,A.2 Underground landform
fine-grained silica,D.1 Abiotic
cristobalite,D.1 Abiotic
Opal,D.1 Abiotic
static cave,A.2 Underground landform
air drainage,B.1 Movement
hole,A.2 Underground landform
air,D.1 Abiotic
deposition of the rock,B.3 Addition
primary porosity,D.3 Property
secondary porosity,D.3 Property
diagenesis,B.4 Transformation
blue holes,A.3 Hydrological form
flooded,B.3 Addition
depressions,D.1 Abiotic
physical downwashing,B.2 Loss
karstified bedrock,A.1 Surface landform
chemical solution,B.2 Loss
evacuated,B.1 Movement
fines,D.1 Abiotic
pipes,D.1 Abiotic
Suffosion,B.2 Loss
calcareous mudstone,D.1 Abiotic
limestone,D.1 Abiotic
dolomite,D.1 Abiotic
calcilutite,D.1 Abiotic
limestone,D.1 Abiotic
calcirudite,D.1 Abiotic
calcium carbonate,D.1 Abiotic
CaCOs,D.1 Abiotic
calcite,D.1 Abiotic
limestone,D.1 Abiotic
aragonite,D.1 Abiotic
mineral,D.1 Abiotic
gas bubble,D.1 Abiotic
calcite bubble,A.2 Underground landform
sphere,D.1 Abiotic
crystals,D.1 Abiotic
calcite,D.1 Abiotic
cave formation,A.2 Underground landform
shawls,A.2 Underground landform
canopy,A.2 Underground landform
flowstone,D.1 Abiotic
stalactites,A.2 Underground landform
ravine,D.1 Abiotic
gorge,D.1 Abiotic
water,D.1 Abiotic
chasm,D.1 Abiotic
canyon,A.1 Surface landform
karst valley,A.1 Surface landform
collapse,B.1 Movement
canyon,A.1 Surface landform
cave,A.2 Underground landform
valley,D.1 Abiotic
fluvial deposits,D.1 Abiotic
capillary stalagmite,A.2 Underground landform
karst water,D.1 Abiotic
Cuba,D.3.1 Geolocation
stalagmite,A.2 Underground landform
aragonite,D.1 Abiotic
cave,A.2 Underground landform
carbonate minerals,D.1 Abiotic
limestone,D.1 Abiotic
carbonate,D.1 Abiotic
rock,D.1 Abiotic
dolomite,D.1 Abiotic
limestone,D.1 Abiotic
passages,D.1 Abiotic
solution,B.2 Loss
cave,A.2 Underground landform
room,D.1 Abiotic
cave breakdown,B.1 Movement
rock masses,D.1 Abiotic
cave system,A.2 Underground landform
fall,B.1 Movement
Heaps of rock,D.1 Abiotic
cave breccia,D.1 Abiotic
cave breakdown,D.1 Abiotic
collapsed,B.1 Movement
fragments of rock,D.1 Abiotic
solution breccia,D.1 Abiotic
cave earth,D.1 Abiotic
cave breccia,D.1 Abiotic
cave,A.2 Underground landform
cemented,D.3 Property
dripstone,D.1 Abiotic
growth of calcite,B. Process
coral formation,A.2 Underground landform
cave coral,A.2 Underground landform
calcite,D.1 Abiotic
knobstone,A.2 Underground landform
coral,D.1 Abiotic
cave,A.2 Underground landform
"cave earth ,",D.1 Abiotic
fine sand deposits,D.1 Abiotic
cave passage,A.2 Underground landform
cave fill,D.1 Abiotic
silt,D.1 Abiotic
clay,D.1 Abiotic
filling,B.3 Addition
clay,D.1 Abiotic
gravel,D.1 Abiotic
sand,D.1 Abiotic
silt,D.1 Abiotic
flooring,B. Process
aquifer,C. Geome
rock,D.1 Abiotic
water,D.1 Abiotic
CaCO3,D.1 Abiotic
Aragonite,D.1 Abiotic
diagenesis,B.3 Addition
calcite,D.1 Abiotic
artesian aquifer,C. Geome
aquifer,C. Geome
bedding-plane cave,A.2 Underground landform
passage,A.2 Underground landform
tube,A.2 Underground landform
canyon,A.1 Surface landform
cave,A.2 Underground landform
closed depressions,A.1 Surface landform
Glacial cirques,A.1 Surface landform
cirque-dolines,A.1 Surface landform
solution,B.4 Transformation
confining bed,D.1 Abiotic
aquiclude,C. Geome
aquifer,C. Geome
rock,D.1 Abiotic
aquitard,C. Geome
groundwater,D.1 Abiotic
river flow,B.1 Movement
contact karst,C. Geome
Karst,C. Geome
rock,D.1 Abiotic
limestone,D.1 Abiotic
karstified,B.4 Transformation
Dolomite,D.1 Abiotic
dissolves,B.2 Loss
drawdown,B. Process
Dry valley,A.1 Surface landform
valley,A.1 Surface landform
stream,A.3 Hydrological form
internal ( telluric ) energy,D. Entity/Element/Property
lithostatic pressure,D. Entity/Element/Property
rock mass,D.1 Abiotic
karst,C. Geome
Endokarst,C. Geome
karstosphere,C. Geome
epikarst,C. Geome
rock,D.1 Abiotic
karstification,B.4 Transformation
fissuring,B.4 Transformation
permeability,D.3 Property
subcutaneous zone,C. Geome
epikarst,C. Geome
swallow hole,A.3 Hydrological form
estavelle,A.3 Hydrological form
hole,A.2 Underground landform
Jura,D.3.1 Geolocation
spring,A.3 Hydrological form
Halb-kugel,A.1 Surface landform
limestone,D.1 Abiotic
Cupole,A.1 Surface landform
cupola,A.1 Surface landform
hill,D.1 Abiotic
limestone surfaces,A.1 Surface landform
current marking,A.2 Underground landform
hollows,D.1 Abiotic
waterflow,D.1 Abiotic
scallop,A.2 Underground landform
blanket,A.2 Underground landform
drapery,A.2 Underground landform
cave,A.2 Underground landform
flowstone,D.1 Abiotic
curtain,A.2 Underground landform
resonant,D.3 Property
bacon,A.2 Underground landform
translucent,D.3 Property
sheet,D.1 Abiotic
phosphate deposits,D.1 Abiotic
limestone,D.1 Abiotic
cutter,A.1 Surface landform
crevice,D.1 Abiotic
subsoil Karren,A.1 Surface landform
soil,D.1 Abiotic
Karren,A.1 Surface landform
cutter,A.1 Surface landform
groove,D.1 Abiotic
dead cave,A.2 Underground landform
precipitation,D.3 Property
cave,A.2 Underground landform
solution,B.1 Movement
solution dolines,A.1 Surface landform
collapse dolines,A.1 Surface landform
basins,D.1 Abiotic
collapse,B.1 Movement
limestone,D.1 Abiotic
hollow,D.1 Abiotic
doline,A.1 Surface landform
karst lake,A.3 Hydrological form
doline lake,A.3 Hydrological form
doline,A.1 Surface landform
calcium magnesium carbonate,D.1 Abiotic
dolomite,D.1 Abiotic
mineral,D.1 Abiotic
dolomite,D.1 Abiotic
dolostone,D.1 Abiotic
Rock,D.1 Abiotic
dolomite,D.1 Abiotic
magnesium carbonate,D.1 Abiotic
calcium carbonate,D.1 Abiotic
limestone,D.1 Abiotic
dolomite,D.1 Abiotic
dolomitization,B. Process
drapery,A.2 Underground landform
bacon,A.2 Underground landform
dripstone,D.1 Abiotic
blanket,A.2 Underground landform
sheet,D.1 Abiotic
curtain,A.2 Underground landform
clay,D.1 Abiotic
Hole,D.1 Abiotic
rock,D.1 Abiotic
driphole,A.2 Underground landform
water,D.1 Abiotic
precipitated material,D.1 Abiotic
Hollow space,D.1 Abiotic
driphole,A.2 Underground landform
space,D.1 Abiotic
stalactite,A.2 Underground landform
Calcium carbonate deposited,D.1 Abiotic
rock shelter,A.4 Other
rock shelter,A.1 Surface landform
Calcium carbonate,D.1 Abiotic
aragonite,D.1 Abiotic
flowstone,D.1 Abiotic
gypsum,D.1 Abiotic
stalagmites,A.2 Underground landform
dripstone,D.1 Abiotic
water,D.1 Abiotic
stalactites,A.2 Underground landform
speleothems,A.2 Underground landform
cave,A.2 Underground landform
dry cave,A.2 Underground landform
running stream,D.1 Abiotic
dead cave,A.2 Underground landform
cave,A.2 Underground landform
stream,D.1 Abiotic
outflow cave,A.2 Underground landform
surface,D.1 Abiotic
cave,A.2 Underground landform
stream,D.1 Abiotic
flows,B.1 Movement
lithified cave fills,D.1 Abiotic
fossil ' karst,C. Geome
karst features,D.3 Property
deposits,D.1 Abiotic
karstification,B. Process
cave,D.3 Property
breccias,D.1 Abiotic
palaeokarst,C. Geome
dog-tooth spar,D.1 Abiotic
stalactite,A.2 Underground landform
pendulite,A.2 Underground landform
drumstick,D.1 Abiotic
percolation water,D.1 Abiotic
vadose zone,C. Geome
cracks,D.1 Abiotic
fissures,D.1 Abiotic
water,D.1 Abiotic
pores,D.1 Abiotic
moving,B.1 Movement
permeability,D.3 Property
rock,D.1 Abiotic
soil,D.1 Abiotic
water,D.1 Abiotic
phreatic water,D.1 Abiotic
water,D.1 Abiotic
level,D.3 Property
rock,D.1 Abiotic
voids,D.1 Abiotic
phreatic zone,C. Geome
water,D.1 Abiotic
zone,D.1 Abiotic
rock,D.1 Abiotic
voids,D.1 Abiotic
bedrock column,D.1 Abiotic
rock,D.1 Abiotic
pillar,A.2 Underground landform
karst rocks,D.1 Abiotic
gravel,D.1 Abiotic
pipe,A.1 Surface landform
breccia,D.1 Abiotic
earth,D.1 Abiotic
sand,D.1 Abiotic
cavity,D.1 Abiotic
plunge pool,D.1 Abiotic
waterfall,D.1 Abiotic
swirlhole,D.1 Abiotic
rapid,D.1 Abiotic
closed depression,D.1 Abiotic
flat floor,D.1 Abiotic
perennial stream,D.1 Abiotic
intermittent,A.3 Hydrological form
floor,D.1 Abiotic
draining,D.3 Property
lake,D.1 Abiotic
slopes,D.1 Abiotic
depression,D.1 Abiotic
stream,D.1 Abiotic
polje,A.1 Surface landform
flood,B.3 Addition
polygonal karst,C. Geome
pitted by,D.3 Property
karst,C. Geome
depressions,D.1 Abiotic
rock,D.1 Abiotic
voids,D.1 Abiotic
particles,D.1 Abiotic
soil,D.1 Abiotic
porosity,D.3 Property
terrain,D.1 Abiotic
landforms,D.1 Abiotic
pseudokarst,C. Geome
karst,C. Geome
deposition of speleothems,B.3 Addition
skeletal deposits,B.3 Addition
cave forms,A.2 Underground landform
relict karst,C. Geome
geomorphic processes,B. Process
sediments,B.3 Addition
karstification,B. Process
swallow holes,A.3 Hydrological form
K,D.3 Property
fractures,D.1 Abiotic
EPIK system,E.2 Method
karst,C. Geome
steep limestone hills,A.1 Surface landform
fengcong karst,C. Geome
fenglin,A. Landform
karst,C. Geome
cave system,C. Geome
paleocave system,C. Geome
karst system,C. Geome
karst-related cavernous porosity,D.3 Property
paleocave hydrocarbon reservoir,C. Geome
cave-collapse-related interclast,D.3 Property
fracture porosity,D.3 Property
reservoir,D.1 Abiotic
stream water,D.1 Abiotic
phreatic zone,C. Geome
hyporheic zone,C. Geome
aquifer,C. Geome
arêtes,A.1 Surface landform
spires,D.1 Abiotic
ridges,D.1 Abiotic
karren,A.1 Surface landform
Microrills,A.1 Surface landform
hollows,A.1 Surface landform
Rainpits,A.1 Surface landform
moss clumps,D.2 Biotic
Decantation runnels,A.1 Surface landform
snow banks,D.1 Abiotic
water,D.1 Abiotic
rainfall,B. Process
overspilling,B. Process
rills,A.1 Surface landform
soil cover,D.1 Abiotic
grike,A.1 Surface landform
grike,A.1 Surface landform
cutters,A.1 Surface landform
solution channel ( secondary ) porosity,D.3 Property
rock solubility,D.3 Property
Karst,C. Geome
terrain,D.1 Abiotic
cave,A.2 Underground landform
mineral,D.1 Abiotic
speleothem,A.2 Underground landform
calcite,D.1 Abiotic
Aragonite,D.1 Abiotic
seeping water speleothems,A.2 Underground landform
dripping water speleothems,A.2 Underground landform
crusts,A.2 Underground landform
Halite,D.1 Abiotic
stalagmites,A.2 Underground landform
cotton,A.2 Underground landform
stalactites,A.2 Underground landform
hair,A.2 Underground landform
flowers,A.2 Underground landform
"Lechuguilla Cave , New Mexico",D.3.1 Geolocation
chandelier ” stalactites,A.2 Underground landform
gypsum,D.1 Abiotic
limestone pavement,D.1 Abiotic
solution pans,A.1 Surface landform
limestone,D.1 Abiotic
blocks,D.1 Abiotic
live cave,A.2 Underground landform
river action,B.4 Transformation
active cave,A.2 Underground landform
deposition,B.3 Addition
Cave,A.2 Underground landform
speleothems,A.2 Underground landform
lost river,A.3 Hydrological form
karst region,C. Geome
stream,D.1 Abiotic
studying ground-water movement,E.2 Method
lycopodium spores,E.1 Instrument
karst areas,C. Geome
lycopodium claratum,D.2 Biotic
Spores,D.2 Biotic
color,D.3 Property
label,E.1 Instrument
cave stream,A.3 Hydrological form
meander niche,A.2 Underground landform
arcuate curve,D.1 Abiotic
lateral shifting,B.1 Movement
meander,A.2 Underground landform
cave,A.2 Underground landform
wall of a cave,A.2 Underground landform
lateral erosion,B.2 Loss
meander niche,A.2 Underground landform
downward,B.2 Loss
opening,D.1 Abiotic
karst topography,C. Geome
dry valleys,D.1 Abiotic
surface drainage,B.1 Movement
limestone,D.1 Abiotic
merokarst,C. Geome
Karst topography,C. Geome
microkarst,C. Geome
partial pressure,D.3 Property
carbon dioxide,D.1 Abiotic
Dissolving,B.2 Loss
Mischungskorrosion,B.4 Transformation
limestone,D.1 Abiotic
mixing,B. Process
water,D.1 Abiotic
Sierra de los Organos,D.3.1 Geolocation
karst inselberg,A.1 Surface landform
alluviated plains,A.1 Surface landform
residual hills,A.1 Surface landform
hill,D.1 Abiotic
limestone,D.1 Abiotic
Tropics,D.3.1 Geolocation
Cuba,D.3.1 Geolocation
mogote,A.1 Surface landform
cave deposit,D.1 Abiotic
moon milk,D.1 Abiotic
huntite,D.1 Abiotic
calcite,D.1 Abiotic
magnesite,D.1 Abiotic
sandy clay,D.1 Abiotic
mud stalagmite,A.2 Underground landform
clay,D.1 Abiotic
Stalagmite,A.2 Underground landform
Karst topography,C. Geome
bare karst,C. Geome
naked karst,C. Geome
bedrock,D.1 Abiotic
natural arch,A.1 Surface landform
rock arch,D.1 Abiotic
tunnel,D.1 Abiotic
rock bridge,D.1 Abiotic
natural bridge,A.1 Surface landform
ravine,D.1 Abiotic
natural tunnel,A. Landform
cave,A.2 Underground landform
rocky surfaces,D.1 Abiotic
illuminated areas,D.1 Abiotic
artificial materials,D.1 Abiotic
Lampenflora,D.2 Biotic
organisms,D.2 Biotic
Trieste Bay,D.3.1 Geolocation
Adriatic Sea,D.3.1 Geolocation
limestone plateau,C. Geome
Kras,D.3.1 Geolocation
epikarst aquifer,C. Geome
infiltrated water,D.1 Abiotic
karst,C. Geome
epikarst,C. Geome
zone,D.1 Abiotic
Dry valleys,A.1 Surface landform
watercourse,D.1 Abiotic
signal processing methods,E.2 Method
Time series analysis,E. Instrument or method
karst systems,C. Geome
hydrological behaviour,D.3 Property
mass-transfer process,B. Process
aggressiveness,D.3 Property
circulation,B.1 Movement
Speleogenesis,B. Process
groundwater,D.1 Abiotic
chemical potential,D.3 Property
rock,D.1 Abiotic
Aggressiveness,B.1 Movement
groundwater,D.1 Abiotic
Tafoni geomorphology,A.1 Surface landform
coastal carbonates,D.1 Abiotic
hollow shape,D.1 Abiotic
erosion,B.2 Loss
littoral caves,A.2 Underground landform
wave action,B.1 Movement
Sea caves,A.2 Underground landform
cave,A.2 Underground landform
spring mounds,D.2 Biotic
biological activity,B. Process
hot beds,D.2 Biotic
desert environments,C. Geome
PCO2,D.1 Abiotic
soils,D.1 Abiotic
syngenesis,B. Process
epigenesis,B. Process
Hypogene karstification,B. Process
karst,C. Geome
valley,D.1 Abiotic
areas,D.1 Abiotic
doline,A.1 Surface landform
crystal growth processes,B. Process
Caves,A.2 Underground landform
phreatic environment,C. Geome
cave passages,A.2 Underground landform
vadose environment,C. Geome
sediment,D.1 Abiotic
pitted plain,A.1 Surface landform
closed depressions,A.1 Surface landform
Plain,D.1 Abiotic
cavity,D.1 Abiotic
cave,A.2 Underground landform
pocket,A.2 Underground landform
closed depression,A.1 Surface landform
interior valley,A.1 Surface landform
karst topography,C. Geome
polje,A.1 Surface landform
limestone,D.1 Abiotic
alluvium,D.1 Abiotic
limestone,D.1 Abiotic
tropical cone-karst terrain,C. Geome
temperate doline-karst terrain,C. Geome
closed depressions,A.1 Surface landform
karst area,C. Geome
polygonal karst,C. Geome
polygonal network,D.1 Abiotic
closed depression,A.1 Surface landform
Hole,D.1 Abiotic
channel,D.1 Abiotic
ponor,A.3 Hydrological form
water,D.1 Abiotic
pool deposit,D.1 Abiotic
Crystalline material,D.1 Abiotic
cave,A.2 Underground landform
Mineral matter,D.1 Abiotic
pore deposit,D.1 Abiotic
cave,A.2 Underground landform
cave,A.2 Underground landform
opening,D.1 Abiotic
cave,A.2 Underground landform
porthole,A.2 Underground landform
sea level,D.1 Abiotic
pothole,D.1 Abiotic
gravel,D.1 Abiotic
sand,D.1 Abiotic
streambed,D.1 Abiotic
waterfall,D.1 Abiotic
hole,D.1 Abiotic
rock,D.1 Abiotic
stones,D.1 Abiotic
limestone,D.1 Abiotic
pothole,D.1 Abiotic
shaft,D.1 Abiotic
lava stalactites,A.2 Underground landform
lava stalagmites,A.2 Underground landform
lava tubes,A.2 Underground landform
lava tunnels,A.2 Underground landform
terrain,D.1 Abiotic
dissolving,B.4 Transformation
pseudokarst,C. Geome
calcium carbonate,D.1 Abiotic
residual clay,D.1 Abiotic
sandy clay,D.1 Abiotic
removal,B.2 Loss
Clay,D.1 Abiotic
solution,B.4 Transformation
underground stream,D.1 Abiotic
surface stream,D.1 Abiotic
resurgence,A.3 Hydrological form
rice paddy,A.3 Hydrological form
pool,D.1 Abiotic
rimstone,A.2 Underground landform
cave,A.2 Underground landform
cave passage,A.2 Underground landform
rift,A.2 Underground landform
faults,D.1 Abiotic
joints,D.1 Abiotic
radon,D.1 Abiotic
atmosphere,D.1 Abiotic
Exhalation,D.3 Property
proportion,D.3 Property
fine grinding,B.4 Transformation
fine-grained filler,D.1 Abiotic
Whiting,D.1 Abiotic
relict sea caves,A.2 Underground landform
present coastlines,D.1 Abiotic
former coastlines,D.1 Abiotic
Littoral caves,A.2 Underground landform
sea caves,A.2 Underground landform
world,D.1 Abiotic
Slabs,A.1 Surface landform
bed,D.1 Abiotic
microbiological reactions,B. Process
precipitate,D.1 Abiotic
Moonmilk,A.2 Underground landform
position of the cave,D.3 Property
high ground,D.1 Abiotic
position,D.3 Property
flank,D.3 Property
island,D.1 Abiotic
margin,D.3 Property
medical treatment,E.2 Method
microclimate,D.1 Abiotic
environments,D.1 Abiotic
Speleotherapy,E.2 Method
autogenic aquifers,C. Geome
karst surface,C. Geome
exsurgences,A.3 Hydrological form
discharge,B.2 Loss
Springs,A.3 Hydrological form
recharge,B.3 Addition
Open anchialine pools,A.3 Hydrological form
cave corridors,A.2 Underground landform
coastal pools,A.1 Surface landform
sea,D.1 Abiotic
organic detritus,D.2 Biotic
extracellular enzymes,D.2 Biotic
caves,A.2 Underground landform
Fungi,D.2 Biotic
calcite flakes,D.1 Abiotic
Glaciokarstic varves,D.1 Abiotic
sediments,D.1 Abiotic
open vertical volcanic conduits,A.2 Underground landform
lava tube caves,A.2 Underground landform
volcanic rocks,D.1 Abiotic
caves,A.2 Underground landform
Vulcanospeleology,E.2 Method
brackish water,D.1 Abiotic
salt,D.1 Abiotic
anchialine,A.3 Hydrological form
pools,D.1 Abiotic
sea,D.1 Abiotic
surface erosion,B.2 Loss
caves,A.2 Underground landform
Entrances,A.1 Surface landform
rocky hills,D.1 Abiotic
limestone,D.1 Abiotic
peaks,D.1 Abiotic
fengcong,A.1 Surface landform
volcanic rocks,D.1 Abiotic
volcanic rocks,D.1 Abiotic
mineral,D.1 Abiotic
Sanidine,D.1 Abiotic
Kožuf,D.3.1 Geolocation
acidic weathering,B.4 Transformation
volcaniclastic material,D.1 Abiotic
clay mineral,D.1 Abiotic
Smectite,D.1 Abiotic
montmorillonite,D.1 Abiotic
epiphreatic tube passages,A.2 Underground landform
Živovska Propast,D.3.1 Geolocation
Pešti Cave,D.3.1 Geolocation
Aramiska Peštera,D.3.1 Geolocation
Input caves,A.2 Underground landform
vadose canyons,A.1 Surface landform
Dragoželska Propast,D.3.1 Geolocation
Garnikovska Propast,D.3.1 Geolocation
Mala Peštera,D.3.1 Geolocation
shafts,A.2 Underground landform
juvenile pattern,D.3 Property
soluble rocks,D.1 Abiotic
impermeable cover,D.1 Abiotic
uplift,B.1 Movement
removal,B.2 Loss
passage diameter,D.3 Property
caves,A.2 Underground landform
microforms,A.2 Underground landform
passage,A.2 Underground landform
karst formation,B. Process
solution,D.1 Abiotic
ions,D.1 Abiotic
step-wise calibration,E.2 Method
hydrologic processes,B. Process
procedure,E.2 Method
streamflow,D.1 Abiotic
chemical composition of water,D.3 Property
concentration of suspended particles,D.3 Property
water discharge,D.3 Property
water levels,D.3 Property
temperature,D.3 Property
velocity,D.3 Property
Karst,C. Geome
microorganisms,D.2 Biotic
secondary porosity,D.3 Property
carbonate rocks,D.1 Abiotic
underground system,C. Geome
flows into,B.1 Movement
Gravitational water,D.1 Abiotic
water,D.1 Abiotic
gravity,D.3 Property
penetrates,B.1 Movement
change in the water quantity,B. Process
Specific yield,D.3 Property
aquifer,D.1 Abiotic
flow,B.1 Movement
water,D.1 Abiotic
reservoir,D.1 Abiotic
Surface karst forms,A.1 Surface landform
dry valleys,A.1 Surface landform
sinkholes,A.1 Surface landform
poljes,A.1 Surface landform
dolines,A.1 Surface landform
karren,A.1 Surface landform
speleothem,A.2 Underground landform
helictite,A.2 Underground landform
axis,D.3 Property
growth,B.3 Addition
scientific study,E.2 Method
hydrology,E.2 Method
water,D.1 Abiotic
ice cave,A.2 Underground landform
ice,D.1 Abiotic
cave,A.2 Underground landform
inflow cave,A.3 Hydrological form
stream,D.1 Abiotic
cave,A.2 Underground landform
surface,D.1 Abiotic
rock,D.1 Abiotic
surface,D.1 Abiotic
solution,B.2 Loss
karst,C. Geome
drainage,D.3 Property
solubility,D.3 Property
karst,C. Geome
landforms,D.1 Abiotic
tereain,D.1 Abiotic
karst window,A.1 Surface landform
polje,A.1 Surface landform
stream,D.1 Abiotic
depression,D.1 Abiotic
keyhole,A.2 Underground landform
opening,D.1 Abiotic
passage,D.1 Abiotic
cave,A.2 Underground landform
flow of liquid lava,D.3 Property
open channel,D.1 Abiotic
lava flow,D.1 Abiotic
lava-cave,A.2 Underground landform
roofing,B. Process
tunnel,D.1 Abiotic
lava,D.1 Abiotic
cave,A.2 Underground landform
tube,D.1 Abiotic
calcium carbonate,D.1 Abiotic
sedimentary rock,D.1 Abiotic
limestone,D.1 Abiotic
live cave,A.2 Underground landform
cave,A.2 Underground landform
stream,D.1 Abiotic
meander niche,A.2 Underground landform
cave,A.2 Underground landform
stream,D.1 Abiotic
calcite,D.1 Abiotic
moonmilk,A.2 Underground landform
hydromagnesite,D.1 Abiotic
hydrocalcite,D.1 Abiotic
huntite,D.1 Abiotic
speleothem,A.2 Underground landform
natural arch,D.1 Abiotic
arch,D.1 Abiotic
rock,D.1 Abiotic
weathering,B.4 Transformation
natural bridge,D.1 Abiotic
valley,D.1 Abiotic
rock,D.1 Abiotic
bridge,D.1 Abiotic
ravine,D.1 Abiotic
Jelar Breccia,D.1 Abiotic
carbonate rock,D.1 Abiotic
dry valleys,A.1 Surface landform
collapsed dolines,A.1 Surface landform
relief features,D.1 Abiotic
uvalas,A.1 Surface landform
dolines,A.1 Surface landform
caves,A.2 Underground landform
soluble rock,D.1 Abiotic
dissolution features,D.1 Abiotic
surfaces rock,D.1 Abiotic
Karren,A.1 Surface landform
corrosion,B.4 Transformation
rillenkarren,A.1 Surface landform
Karst poljes,A.1 Surface landform
depressions,D.1 Abiotic
karst,C. Geome
karst depressions,A.1 Surface landform
Uvalas,A.1 Surface landform
Dinaric karst,D.3.1 Geolocation
depression,D.1 Abiotic
uvala,A.1 Surface landform
cave roof collapse,B.1 Movement
equilibrium,D.3 Property
ceiling,D.1 Abiotic
doline,A.1 Surface landform
walls,D.1 Abiotic
process,B. Process
breaking,B.1 Movement
collapse,B.1 Movement
karst drainage system,C. Geome
Caves,A.2 Underground landform
dissolution of rock,B.2 Loss
process,B. Process
dissolution,B.2 Loss
karst,C. Geome
pinnacle karst,C. Geome
Shilin,C. Geome
limestone,D.1 Abiotic
karst landscape,C. Geome
karst plateau,A.1 Surface landform
limestone columns,D.1 Abiotic
Stone forest,A.1 Surface landform
calcium carbonate deposit,D.1 Abiotic
lake water,D.1 Abiotic
travertine,D.1 Abiotic
spring,D.1 Abiotic
tufa,D.1 Abiotic
river,D.1 Abiotic
cave passage,A.2 Underground landform
tube,A.2 Underground landform
surface,D.1 Abiotic
vesicular calcium carbonate,D.1 Abiotic
lake waters,D.1 Abiotic
spring,D.1 Abiotic
tufa,D.1 Abiotic
river,D.1 Abiotic
twilight zone,A.2 Underground landform
daylight,D.1 Abiotic
cave,A.2 Underground landform
depressions,A.1 Surface landform
uvala,A.1 Surface landform
depression,A.1 Surface landform
vadose zone,C. Geome
descends,B.1 Movement
zone,D.1 Abiotic
rock,D.1 Abiotic
voids,D.1 Abiotic
air,D.1 Abiotic
gravity,D.3 Property
water,D.1 Abiotic
vauclusian spring,A.3 Hydrological form
spring,D.1 Abiotic
pool,D.1 Abiotic
passage,D.1 Abiotic
cave surfaces,D.1 Abiotic
vermiculation,A.2 Underground landform
coatings,D.1 Abiotic
day,D.1 Abiotic
silt,D.1 Abiotic
ground air,D.1 Abiotic
phreatic water,D.1 Abiotic
water table,D.1 Abiotic
the,D.1 Abiotic
water,D.1 Abiotic
voids,D.1 Abiotic
surface,D.1 Abiotic
