DEFINIENDUM,CATEGORY,CATEGORY_TEXT,SENTENCE,*,AFFECTS,COMPOSITION_MEDIUM,CONTAINS,DEFINED_AS,DEFINITOR,GENUS,HAS_ATTRIBUTE,HAS_CAUSE,HAS_FORM,HAS_FUNCTION,HAS_LOCATION,HAS_POSITION,HAS_RESULT,HAS_SIZE,MEASURES,OCCURS_IN_MEDIUM,OCCURS_IN_TIME,SPECIES,STUDIES,frame_ATTRIBUTE,frame_CAUSE,frame_COMPOSITION,frame_CONTAINS,frame_DEFINED_AS,frame_FORM,frame_FUNCTION,frame_LOCATION,frame_MEASURES,frame_MEDIUM,frame_POSITION,frame_RESULT,frame_SIZE,frame_STUDIES,frame_TIME
konta,A.1 Surface landform|B.4 Transformation|A.1 Surface landform|A.1 Surface landform|B.4 Transformation,closed karst depression|Pleistocene glaciation|konta|doline|remodelled,"A konta is a closed karst depression, like a doline, that has been remodelled during Pleistocene glaciation.",,,,,,is a,closed karst depression,,that has been remodelled during Pleistocene glaciation .,"closed karst depression , like a doline",,,,,,,,,,,,has been remodelled,,,,,,,,,,,,,
Limestone,D.1 Abiotic|D.1 Abiotic|D.1 Abiotic|D.1 Abiotic,calcium carbonate ( CaCO3 )|aragonite|Limestone|calcite,"Limestone is composed of calcium carbonate (CaCO3), deposited as the minerals aragonite and calcite.",,,"is composed of calcium carbonate ( CaCO3 ) , deposited as the minerals aragonite and calcite",,,,,,,,,,,,,,,,,,,,is composed of,,,,,,,,,,,,
losing streamflow,A.3 Hydrological form|D.1 Abiotic|D.1 Abiotic|D.1 Abiotic|B.3 Addition,losing streamflow|surface stream|groundwater system|water|contributes,A losing streamflow is a surface stream that contributes water to the karst groundwater system in localized areas.,,,,,,is a,stream,,,,contributes water to the karst groundwater system,in localized areas,,,,,,,,,,,,,,,contributes,in,,,,,,,
losing streamflow,A.3 Hydrological form|D.1 Abiotic|B.2 Loss|D.1 Abiotic|D.1 Abiotic,losing streamflow|open stream|loses water|water|river,A losing streamflow can be defined as an open stream or river that loses water as it flows downstream. water,,,,,open stream or river that loses water as it flows downstream,can be defined as,stream,,,,,,,,,,,,,,,,,,,,,,,,,,,,
master joints,D.1 Abiotic|D.1 Abiotic|D.1 Abiotic,Joints|beds|conduits,"Joints that cross many beds are called master joints; they often extend to a depth of several tens of metres and control the orientation of master conduits (Dreybrodt 1988, Ford & Williams 1989).",,,,,Joints that cross many beds,are called,Joints,,,,control the orientation of master conduits,,,,extend to a depth of several tens of metres,,,,,,,,,,,,control,,,,,,extend to,,
Intrastratal karstification,D.1 Abiotic|B.4 Transformation|D.1 Abiotic|B.2 Loss|D.1 Abiotic|D.1 Abiotic,soluble rocks|Intrastratal karstification|gypsum bed|dissolution|bed|dolomite,"Intrastratal karstification refers to the preferential dissolution of a particular bed or other unit within a sequence of soluble rocks, e.g. a gypsum bed in a dolomite formation.",,,"within a sequence of soluble rocks , e.g . a gypsum bed in a dolomite formation",,preferential dissolution of a particular bed or other unit,refers to the,preferential dissolution,,,,,,,,,,,,,,,,within a sequence of,,,,,,,,,,,,
Exokarst,A. Landform|D.1 Abiotic|C. Geome,karst features|surface|Exokarst,Exokarst refers to the suit of karst features developed at the surface. at the surface,,,,karst features developed at the surface,,refers to,karst,,,,,at the surface,,,,,,,,,,,,,,,,at,,,,,,,
Cryptokarst,D.1 Abiotic|D.1 Abiotic|D.1 Abiotic|D.1 Abiotic|D.1 Abiotic|D.1 Abiotic|C. Geome,residual clays|permeable sediments|periglacial deposits|karst forms|till|soil|Cryptokarst,"Cryptokarst refers to karst forms developed beneath a blanket of permeable sediments such as soil, till, periglacial deposits and residual clays.",,,"developed beneath a blanket of permeable sediments such as soil , till , periglacial deposits and residual clays",,,refers to,karst,,,,,,,,,,,,,,,,developed beneath,,,,,,,,,,,,
pseudokarst,B.1 Movement|C. Geome|B.2 Loss|B.1 Movement,corrosion-induced subsidence|pseudokarst|dissolution|collapse,Karst-like landforms produced by processes other than dissolution or corrosion-induced subsidence and collapse are known as pseudokarst.,,,,,,are known as,Karst-like landforms,,produced by processes other than dissolution or corrosion-induced subsidence and collapse,Karst-like landforms,,,,,,,,,,,,produced by processes,,,,,,,,,,,,,
Thermokarst,B.4 Transformation|D.1 Abiotic|C. Geome|D.1 Abiotic,thawing of ground ice|ground ice|Thermokarst|depressions,Thermokarst is a related term applied to topographic depressions resulting from thawing of ground ice. ground ice,,,,,,is a related term,topographic depressions,,resulting from thawing of ground ice,,,,,,,,,,,,,resulting from,,,,,,,,,,,,,
Holokarst,C. Geome|D.1 Abiotic|C. Geome|D.1 Abiotic,pure karst|rocks|Holokarst|limestones,"Holokarst is pure karst uninfluenced by other rocks, and is developed on thick limestones extending well below baselevel.",,,developed on thick limestones,,,is,karst,uninfluenced by other rocks,,,,extending well below baselevel,,,,,,,,,,,developed on,,,,,extending,,,,,,,
swallow holes,D.1 Abiotic|A.3 Hydrological form|B.4 Transformation|A.3 Hydrological form|A.3 Hydrological form|A.3 Hydrological form,Concentrated inflows of water|swallow holes|sink underground|stream-sinks|ponors|swallets,"Concentrated inflows of water from allogenic sources sink underground at swallow holes (also known as swallets, stream-sinks or ponors).",,,,,,,,,,,Concentrated inflows of water from allogenic sources sink underground,,,,,,,,,,,,,,,,,,,,,,,,
stream-sinks,D.1 Abiotic|A.3 Hydrological form|B.4 Transformation|A.3 Hydrological form|A.3 Hydrological form|A.3 Hydrological form,Concentrated inflows of water|swallow holes|sink underground|stream-sinks|ponors|swallets,"Concentrated inflows of water from allogenic sources sink underground at swallow holes (also known as swallets, stream-sinks or ponors).",,,,,,,,,,,Concentrated inflows of water from allogenic sources sink underground,,,,,,,,,,,,,,,,,,,,,,,,
swallets,D.1 Abiotic|A.3 Hydrological form|B.4 Transformation|A.3 Hydrological form|A.3 Hydrological form|A.3 Hydrological form,Concentrated inflows of water|swallow holes|sink underground|stream-sinks|ponors|swallets,"Concentrated inflows of water from allogenic sources sink underground at swallow holes (also known as swallets, stream-sinks or ponors).",,,,,,,,,,,Concentrated inflows of water from allogenic sources sink underground,,,,,,,,,,,,,,,,,,,,,,,,
ponors,D.1 Abiotic|A.3 Hydrological form|B.4 Transformation|A.3 Hydrological form|A.3 Hydrological form|A.3 Hydrological form,Concentrated inflows of water|swallow holes|sink underground|stream-sinks|ponors|swallets,"Concentrated inflows of water from allogenic sources sink underground at swallow holes (also known as swallets, stream-sinks or ponors).",,,,,,,,,,,Concentrated inflows of water from allogenic sources sink underground,,,,,,,,,,,,,,,,,,,,,,,,
travertine,D.1 Abiotic|D.3 Property|D.3 Property|D.1 Abiotic|D.1 Abiotic,travertine|layered|lustrous|crystalline|calcite,"In contrast, travertine is crystalline, dense calcite that is often well layered, quite lustrous and lacks framing plant content.",,,calcite,,,is,calcite,"crystalline , dense",,"well layered , quite lustrous and lacks framing plant content",,,,,,,,,,,,,,,,is often,,,,,,,,,
Tufa,D.1 Abiotic|A.1 Surface landform|B.3 Addition|A.2 Underground landform|B.2 Loss,softer porous material|Tufa|deposition|cave|evaporation,Tufa refers to softer porous material found near cave entrances where rapid deposition is encouraged by evaporation.,,,softer porous material,,,refers to,material,,where rapid deposition is encouraged by evaporation,,,near cave entrances,,,,,,,,,,where,,,,,,found near,,,,,,,
cave pearls,A.2 Underground landform|D.1 Abiotic,cave pearls|spheres,Ideal cave pearls are spheres that range ~ 0.2 to 10 – 15 mm in diameter.,,,,,,are,spheres,,,spheres,,,,,range ~ 0.2 to 10 – 15 mm in diameter,,,,,,,,,,,,,,,,,,in diameter|range,,
Opal,A.2 Underground landform|D.1 Abiotic|D.1 Abiotic|D.1 Abiotic,gypsum speleothems|fine-grained silica|cristobalite|Opal,Opal (cristobalite) is a very fine-grained silica that occurs as thin interlayers in some calcite and gypsum speleothems.,,,occurs as thin interlayers in some calcite and gypsum speleothems,,,is a,silica,,,fine-grained,,,,,,,,,,,,,occurs as,,,,,,,,,,,,
cristobalite,A.2 Underground landform|D.1 Abiotic|D.1 Abiotic|D.1 Abiotic,gypsum speleothems|fine-grained silica|cristobalite|Opal,Opal (cristobalite) is a very fine-grained silica that occurs as thin interlayers in some calcite and gypsum speleothems.,,,occurs as thin interlayers in some calcite and gypsum speleothems,,,is a,silica,,,fine-grained,,,,,,,,,,,,,occurs as,,,,,,,,,,,,
static cave,A.2 Underground landform|B.1 Movement|A.2 Underground landform|D.1 Abiotic,static cave|air drainage|hole|air,"The static cave is a simple deep hole with no air drainage out of the bottom; thus it traps cold, dense air and excludes warmer air.",,,,,,is a,hole,,,deep hole with no air drainage out of the bottom,"it traps cold , dense air and excludes warmer air",,,,,,,,,,,,,,,,it traps,,,,,,,,
primary porosity,B.3 Addition|D.3 Property|D.3 Property|B.4 Transformation,deposition of the rock|primary porosity|secondary porosity|diagenesis,Sedimentologists define primary porosity as that created during deposition of the rock (i.e. created first) and secondary porosity as that produced during diagenesis.,,,,,,as that|define,,,,,,,,,,,,created during deposition of the rock ( i.e . created first ),,,,,,,,,,,,,,,,,created during
blue holes,A.3 Hydrological form|B.3 Addition|D.1 Abiotic,blue holes|flooded|depressions,Shaft-like depressions deeply flooded by seawater in low-lying coral islands are known as blue holes.,,,,,,are known as,depressions,,,Shaft-like depressions deeply flooded by seawater,,in low-lying coral islands,,,,,,,,,,,,,,,,in,,,,,,,
Suffosion,B.2 Loss|A.1 Surface landform|B.2 Loss|B.1 Movement|D.1 Abiotic|D.1 Abiotic|B.2 Loss,physical downwashing|karstified bedrock|chemical solution|evacuated|fines|pipes|Suffosion,Suffosion is the process whereby fines are evacuated through underlying pipes in the karstified bedrock by a combination of physical downwashing and chemical solution.,,,,,,is the,process,,by a combination of physical downwashing and chemical solution,,,in the karstified bedrock,,whereby fines are evacuated through underlying pipes,,,,,,,,by a,,,,,,in,,,,whereby,,,
calcareous mudstone,D.1 Abiotic|D.1 Abiotic|D.1 Abiotic|D.1 Abiotic,calcareous mudstone|limestone|dolomite|calcilutite,calcilutite: Clastic limestone or dolomite in which the grains have an average diameter of less than 1 / 16 millimeter; calcareous mudstone.,,,,,,,dolomite|limestone,,,,,,,,in which the grains have an average diameter of less than 1 / 16 millimeter,,,,,,,,,,,,,,,,,,an average diameter of,,
calcilutite,D.1 Abiotic|D.1 Abiotic|D.1 Abiotic|D.1 Abiotic,calcareous mudstone|limestone|dolomite|calcilutite,calcilutite: Clastic limestone or dolomite in which the grains have an average diameter of less than 1 / 16 millimeter; calcareous mudstone.,,,,,,,dolomite|limestone,,,,,,,,in which the grains have an average diameter of less than 1 / 16 millimeter,,,,,,,,,,,,,,,,,,an average diameter of,,
calcirudite,D.1 Abiotic|D.1 Abiotic,limestone|calcirudite,calcirudite: A fragmental limestone in which the particles are generally larger than 2 millimeters.,,,,,,,limestone,,,fragmental,,,,,in which the particles are generally larger than 2 millimeters,,,,,,,,,,,,,,,,,,larger than,,
calcite,D.1 Abiotic|D.1 Abiotic|D.1 Abiotic|D.1 Abiotic|D.1 Abiotic|D.1 Abiotic,calcium carbonate|CaCOs|calcite|limestone|aragonite|mineral,"calcite: A mineral composed of calcium carbonate, CaCOs, like aragonite but differing in crystal form; the principal constituent of limestone.",,,"composed of calcium carbonate , CaCOs",,,,mineral,,,like aragonite but differing in crystal form,,,,the principal constituent of limestone,,,,,,,,,composed of,,,in crystal form,,,,,,constituent of,,,
calcite bubble,D.1 Abiotic|A.2 Underground landform|D.1 Abiotic|D.1 Abiotic|D.1 Abiotic,gas bubble|calcite bubble|sphere|crystals|calcite,"calcite bubble: A hollow sphere formed by the deposition of calcite around a gas bubble; the interior is smooth, and the exterior consists of small jagged crystals.",,,,,,,sphere,,formed by the deposition of calcite around a gas bubble,"the interior is smooth , and the exterior consists of small jagged crystals|hollow",,,,,,,,,,,,,,,,the interior is|formed by,,,,,,,,,
canopy,A.2 Underground landform|A.2 Underground landform|A.2 Underground landform|D.1 Abiotic|A.2 Underground landform,cave formation|shawls|canopy|flowstone|stalactites,canopy: A compound cave formation consisting of flowstone hanging from a sloping wall projection and forming a fringe of shawls or stalactites on the outer edge.,,,consisting of flowstone,,,,cave formation,,,forming a fringe of shawls or stalactites on the outer edge,,hanging from a sloping wall projection,,,,,,,,,,,consisting of,,,forming a,,hanging from a,,,,,,,
canyon,D.1 Abiotic|D.1 Abiotic|D.1 Abiotic|D.1 Abiotic|A.1 Surface landform,ravine|gorge|water|chasm|canyon,"canyon: A steep-walled chasm, gorge, or ravine cut by running water.",,,,,,,chasm|ravine|gorge,,cut by running water,steep-walled,,,,,,,,,,,,cut by,,,,,,,,,,,,,
canyon,A.1 Surface landform|B.1 Movement|A.1 Surface landform|A.2 Underground landform|D.1 Abiotic,karst valley|collapse|canyon|cave|valley,canyon: A valley formed by collapse of the roof of a long fairly straight cave; a karst valley.,,,,,,,valley,,formed by collapse of the roof of a long fairly straight cave,,,,,,,,,,,,,formed by,,,,,,,,,,,,,
capillary stalagmite,D.1 Abiotic|A.2 Underground landform|D.1 Abiotic|D.3.1 Geolocation|A.2 Underground landform|D.1 Abiotic|A.2 Underground landform,fluvial deposits|capillary stalagmite|karst water|Cuba|stalagmite|aragonite|cave,"capillary stalagmite: Hollow stalagmite formed by saturated karst water pushed up through capillaries and small cracks in a sinter crust; covering permeable fluvial deposits on the floor of a cave; first reported from Cuba, where such stalagmites are composed of aragonite.",,,,,,,stalagmite,,formed by saturated karst water pushed up through capillaries and small cracks,covering permeable fluvial deposits|Hollow,,on the floor of a cave|in a sinter crust,first reported from Cuba,,,,,,,,,formed by,,,,,,in a|on the,,,,,,,
carbonate,D.1 Abiotic|D.1 Abiotic|D.1 Abiotic|D.1 Abiotic|D.1 Abiotic,carbonate minerals|limestone|carbonate|rock|dolomite,"carbonate: A rock consisting mainly of carbonate minerals, such as limestone or dolomite.",,,"consisting mainly of carbonate minerals , such as limestone or dolomite",,,,rock,,,,,,,,,,,,,,,,consisting mainly of,,,,,,,,,,,,
cave,D.1 Abiotic|D.1 Abiotic|B.2 Loss|A.2 Underground landform|D.1 Abiotic,limestone|passages|solution|cave|room,cave: A natural underground room or series of rooms and passages large enough to be entered by a man; generally formed by solution of limestone.,,,,,,,room,,generally formed by solution of limestone|natural,room or series of rooms and passages,,underground,,,large enough to be entered by a man,,,,,,,formed by,,,,,,,,,,,large enough,,
cave breakdown,B.1 Movement|D.1 Abiotic|A.2 Underground landform|B.1 Movement,cave breakdown|rock masses|cave system|fall,cave breakdown: Enlargement of parts of a cave system by fall of rock masses from walls and ceiling.,,,,,Enlargement of parts of a cave system,,Enlargement,,by fall of rock masses from walls and ceiling,,,,,,,,,,,,,,,,,,,,,,,,,,
cave breakdown,D.1 Abiotic|D.1 Abiotic|D.1 Abiotic|B.1 Movement,Heaps of rock|cave breccia|cave breakdown|collapsed,"cave breakdown: Heaps of rock that have collapsed from the walls and ceiling of a cave, generally called cave breccia.",,,,,,,Heaps of rock,,have collapsed from the walls and ceiling of a cave,,,,,,,,,,,,,collapsed from,,,,,,,,,,,,,
cave breccia,D.1 Abiotic|D.1 Abiotic|D.1 Abiotic|D.1 Abiotic|A.2 Underground landform|D.3 Property|D.1 Abiotic,fragments of rock|solution breccia|cave earth|cave breccia|cave|cemented|dripstone,"cave breccia: Angular fragments of rock forming a fill in a cave, either cemented together by dripstone or in a matrix of cave earth. See also solution breccia. in a cave",,,,,,,fragments of rock,,either cemented together by dripstone or in a matrix of cave earth,Angular,forming a fill in a cave,in a cave,,,,,,,,,,cemented together by,,,,,forming a,in a,,,,,,,
cave coral,B. Process|A.2 Underground landform|A.2 Underground landform|D.1 Abiotic|A.2 Underground landform|D.1 Abiotic|A.2 Underground landform,growth of calcite|coral formation|cave coral|calcite|knobstone|coral|cave,"cave coral: A rough, knobby growth of calcite resembling coral in shape, generally small; found on floor, walls, or ceiling of a cave. Synonym, coral formation. See also knobstone. calcite",,,of calcite,,,,,,,resembling coral in shape|rough|knobby,,"found on floor , walls , or ceiling of a cave",,,generally small,,,,,,,,of,,,in shape,,found on,,,,,,,
coral formation,B. Process|A.2 Underground landform|A.2 Underground landform|D.1 Abiotic|A.2 Underground landform|D.1 Abiotic|A.2 Underground landform,growth of calcite|coral formation|cave coral|calcite|knobstone|coral|cave,"cave coral: A rough, knobby growth of calcite resembling coral in shape, generally small; found on floor, walls, or ceiling of a cave. Synonym, coral formation. See also knobstone. calcite",,,of calcite,,,,,,,resembling coral in shape|rough|knobby,,"found on floor , walls , or ceiling of a cave",,,generally small,,,,,,,,of,,,in shape,,found on,,,,,,,
cave earth,D.1 Abiotic|D.1 Abiotic|A.2 Underground landform|D.1 Abiotic|D.1 Abiotic|D.1 Abiotic|B.3 Addition|D.1 Abiotic|D.1 Abiotic|D.1 Abiotic|D.1 Abiotic|B. Process,"cave earth ,|fine sand deposits|cave passage|cave fill|silt|clay|filling|clay|gravel|sand|silt|flooring","cave earth, cave fill: Insoluble deposits of clay, silt, sand, or gravel flooring or filling a cave passage. In a more restricted sense, cave earth includes only the finer fractions: clay, silt, and fine sand deposits.",,,"In a more restricted sense , cave earth includes only the finer fractions : clay , silt , and fine sand deposits|deposits of clay , silt , sand , or gravel",,,,deposits,Insoluble,,,flooring or filling a cave passage,,,,,,,,,,,,,,,,flooring|filling,,,,,,,,
cave fill,D.1 Abiotic|D.1 Abiotic|A.2 Underground landform|D.1 Abiotic|D.1 Abiotic|D.1 Abiotic|B.3 Addition|D.1 Abiotic|D.1 Abiotic|D.1 Abiotic|D.1 Abiotic|B. Process,"cave earth ,|fine sand deposits|cave passage|cave fill|silt|clay|filling|clay|gravel|sand|silt|flooring","cave earth, cave fill: Insoluble deposits of clay, silt, sand, or gravel flooring or filling a cave passage. In a more restricted sense, cave earth includes only the finer fractions: clay, silt, and fine sand deposits.",,,"In a more restricted sense , cave earth includes only the finer fractions : clay , silt , and fine sand deposits|deposits of clay , silt , sand , or gravel",,,,deposits,Insoluble,,,flooring or filling a cave passage,,,,,,,,,,,,,,,,flooring|filling,,,,,,,,
aquifer,C. Geome|D.1 Abiotic|D.1 Abiotic,aquifer|rock|water,"An aquifer is a body of rock that can store and transmit significant quantities of water (Gunn, 2004).",,,,,,is a,body of rock,,,,can store and transmit significant quantities of water,,,,,,,,,,,,,,,,can,,,,,,,,
Aragonite,D.1 Abiotic|D.1 Abiotic|B.3 Addition|D.1 Abiotic,CaCO3|Aragonite|diagenesis|calcite,"Aragonite is a metastable modification of CaCO3, which sometimes forms in seawater and transforms into calcite during diagenesis.",,,,,,is a,modification of CaCO3,,,,,,,transforms into calcite during diagenesis,,,forms in seawater,,,,,,,,,,,,,forms in,,transforms into,,,
artesian aquifer,C. Geome|C. Geome,artesian aquifer|aquifer,"When an aquifer is bounded on top and bottom by confining beds, it is called an artesian aquifer.",,,,,,is called,aquifer,,,bounded on top and bottom by confining beds,,,,,,,,,,,,,,,,bounded|by,,,,,,,,,
bedding-plane cave,A.2 Underground landform|A.2 Underground landform|A.2 Underground landform|A.1 Surface landform,bedding-plane cave|passage|tube|canyon,"The term bedding-plane cave is strictly applied to a passage that has not enlarged by growth into a major tube or canyon, but has remained almost entirely on the bedding plane.",,,,,,is strictly applied to a,passage,,,not enlarged by growth into a major tube or canyon,,has remained almost entirely on the bedding plane,,,,,,,,,,,,,,enlarged by growth into a,,almost entirely on the,,,,,,,
A cave,A.2 Underground landform,cave,"A cave is an airfilled underground void, large enough to be examined in some way by man.",,,,,,is an,underground void,,,,,,,,large enough to be examined in some way by man,,,,,,,,,,,,,,,,,,large enough,,
cirque-dolines,A.1 Surface landform|A.1 Surface landform|A.1 Surface landform|B.4 Transformation,closed depressions|Glacial cirques|cirque-dolines|solution,"Glacial cirques have been transformed by solution into closed depressions, and are called cirque-dolines.",,,,,,are called,Glacial cirques,,have been transformed by solution into closed depressions,,,,,,,,,,,,,transformed by,,,,,,,,,,,,,
confining bed,D.1 Abiotic|C. Geome|C. Geome|D.1 Abiotic|C. Geome|D.1 Abiotic,confining bed|aquiclude|aquifer|rock|aquitard|groundwater,Less permeable rock below an aquifer that keeps groundwater from draining away is called a confining bed (also known as aquitard or aquiclude).,,,,,,is called a|also known as,Less permeable rock below an aquifer,,,,keeps groundwater from draining away,,,,,,,,,,,,,,,,that keeps,,,,,,,,
aquiclude,D.1 Abiotic|C. Geome|C. Geome|D.1 Abiotic|C. Geome|D.1 Abiotic,confining bed|aquiclude|aquifer|rock|aquitard|groundwater,Less permeable rock below an aquifer that keeps groundwater from draining away is called a confining bed (also known as aquitard or aquiclude).,,,,,,is called a|also known as,Less permeable rock below an aquifer,,,,keeps groundwater from draining away,,,,,,,,,,,,,,,,that keeps,,,,,,,,
aquitard,D.1 Abiotic|C. Geome|C. Geome|D.1 Abiotic|C. Geome|D.1 Abiotic,confining bed|aquiclude|aquifer|rock|aquitard|groundwater,Less permeable rock below an aquifer that keeps groundwater from draining away is called a confining bed (also known as aquitard or aquiclude).,,,,,,is called a|also known as,Less permeable rock below an aquifer,,,,keeps groundwater from draining away,,,,,,,,,,,,,,,,that keeps,,,,,,,,
contact karst,B.1 Movement|C. Geome|C. Geome,river flow|contact karst|Karst,Karst formed by the influence surface river flow could be designated by the term of contact karst.,,,,,,could be designated by the term,Karst,,formed by the influence surface river flow,,,,,,,,,,,,,formed by,,,,,,,,,,,,,
Dolomite,D.1 Abiotic|D.1 Abiotic|B.4 Transformation|D.1 Abiotic|B.2 Loss,rock|limestone|karstified|Dolomite|dissolves,Dolomite is a type of rock that dissolves and is karstified similarly as limestone.,,,,,,is a type of,rock,that dissolves and is karstified similarly as limestone,,,,,,,,,,,,,,,,,,,,,,,,,,,
drawdown,B. Process,drawdown,The vertical change in the level of the potentiometric surface at the well is called the drawdown.,,,,,vertical change in the level of the potentiometric surface at the well,is called the,vertical change in the level of the potentiometric surface,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dry valley,A.1 Surface landform|A.1 Surface landform|A.3 Hydrological form,Dry valley|valley|stream,"Dry valley is a valley that generally lacks a stream, although one may occasionally form during peak rainfall events.",,,,lacks a stream,,is a,valley,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Endokarst,D. Entity/Element/Property|D. Entity/Element/Property|D.1 Abiotic|C. Geome|C. Geome|C. Geome,internal ( telluric ) energy|lithostatic pressure|rock mass|karst|Endokarst|karstosphere,"Endokarst is defined as karst developing in the lower part of the karstosphere, where the internal (telluric) energy is dominant and the rock mass is under lithostatic pressure which exceeds its tensile strength.",,,,,,is defined as,karst,,where the internal ( telluric ) energy is dominant and the rock mass is under lithostatic pressure which exceeds its tensile strength,,,in the lower part of the karstosphere,,,,,,,,,,where,,,,,,in the lower part of,,,,,,,
epikarst,C. Geome|D.1 Abiotic|B.4 Transformation|B.4 Transformation|D.3 Property,epikarst|rock|karstification|fissuring|permeability,"The epikarst is defined as the uppermost zone of exposed karst rock, in which permeability due to fissuring and karstification is higher and more uniformly distributed than in the rock mass below.",,,,,,is defined as,zone of exposed karst rock,permeability due to fissuring and karstification is higher and more uniformly distributed than in the rock mass below,,,,uppermost zone of exposed karst rock,,,,,,,,,,,,,,,,uppermost zone of,,,,,,,
subcutaneous zone,C. Geome|C. Geome,subcutaneous zone|epikarst,The highly corroded zone near the surface is termed the epikarst or subcutaneous zone.,,,,,,is termed,highly corroded zone,,,highly corroded,,near the surface,,,,,,,,,,,,,,,,near the,,,,,,,
