REL_LABEL,REL_TOK,REL_FRAME
HAS_CAUSE,Ker pretok in transportna moč vode nista popolnoma enakomerna,
HAS_RESULT,Dejansko to pomeni vdor tluvialnih razmer v kraško podzemlje,Dejansko to pomeni
HAS_CAUSE,"ko voda prenaša prod , ki nastaja v samem kraškem podzemlju",
HAS_POSITION,v Planinski jami,
HAS_RESULT,torej nastanejo tunelski rovi,torej nastanejo
HAS_RESULT,niže ležeči kanali niso vedno zasuti,
HAS_LOCATION,ki se skozi neprežeto cono spušča malone navpično proti prežeti coni,ki se skozi
HAS_FUNCTION,zapolni kanale,zapolni
HAS_ATTRIBUTE,lahko tudi prosto pada,
HAS_ATTRIBUTE,ne le da ima prosto gladino,ima
HAS_LOCATION,med slano podtalnico in sladkovodno lečo na morskih grebenih in atolih,med|na
HAS_RESULT,oblikuje posebne tipe kraških votlin,
HAS_RESULT,Zaradi stika obeh voda se poveča agresivnost vode,se poveča
HAS_ATTRIBUTE,kjer vladajo značilni režimi obnašanja podzemske vode,kjer vladajo
HAS_FORM,Zakraseli,
HAS_LOCATION,nad gladino podtalnice,nad
CONTAINS,obsega zakraseli del speleogenetskega prostora,obsega
HAS_LOCATION,pod njo,pod
HAS_CAUSE,nastal zaradi delovanja hidrotermalnih voda,nastal zaradi
HAS_FORM,Navpični sloj,
HAS_FUNCTION,"v katerem z uvajanjem posebne gmote zapolnijo votline v kraškem podzemlju in ga napravijo neprepustnega , da preprečuje vodni odtok iz vodnega bazena .",
HAS_CAUSE,zaradi jamskih podorov in drugih oblik rušenja skalovja,zaradi
HAS_FUNCTION,prehodna,
HAS_FORM,pretežno horizontalna podzemeljska votlina,
HAS_FORM,vodoravna ali navpična,
CONTAINS,jo v velji meri zapolnjuje stojela voda,
HAS_FUNCTION,ki ima stalni ali obdobni vodni tok,
HAS_FUNCTION,"brez stalnega ali obdobnega vodnega toka , ne glede na prenikajočo vodo",
HAS_FUNCTION,iz katere teče potok ali reka,
HAS_POSITION,Modra špilja na Biševu,
HAS_LOCATION,Leži na obali v nivoju morske gladine,Leži na
HAS_CAUSE,nastala na obali zaradi abrazije,nastala|zaradi
CONTAINS,tako da jo delno ali v celoti zaliva morska voda,
HAS_POSITION,Grotta azzurra pri Capriju,
HAS_LOCATION,Cesto se odpira pod strmim pobočjem,
OCCURS_IN_TIME,se dolgo v poletje zadržuje v jamo zapadli sneg,
CONTAINS,sneg,
HAS_FORM,Navadno je žepaste oblike tipa hladnice,oblike
CONTAINS,njej se velji del leta ali trajno zadržujejo ledene gmote,zadržujejo
HAS_FORM,žepaste oblike,
HAS_FORM,z vhodom iznad glavne votline,
HAS_CAUSE,Zato lahko priteka pozimi vanjo hladnejši zunanji zrak,Zato
CONTAINS,kjer se javljajo na oko vidni kristali kot pomembna sigova tvorba,
CONTAINS,za katero so kapniki značilen množični pojav,
CONTAINS,"tvorbami ( kapniki , ježki ipd . ) iz aragonita",
HAS_CAUSE,nastala pretežno z mehaničnim delovanjem tekoče vode ( erozijo ),nastala pretežno z
HAS_CAUSE,Nastala pretežno s korozijskim procesom,Nastala pretežno s
HAS_FUNCTION,kjer ne delujejo niti evakuacijski niti akumulacijski procesi,
CONTAINS,z redkimi drugimi kraškimi pojavi na površju,z
CONTAINS,s suhimi dolinami,s
HAS_LOCATION,na planotastem nizkem reliefu,na
HAS_CAUSE,ki nastaja v pogojih sredozemske klime,ki nastaja v
HAS_POSITION,v Sredozemlju in v njegovem obodu,v|v
HAS_LOCATION,pod nivalnim krasom,pod
HAS_LOCATION,v višinskem ali subarktičnem pasu,
OCCURS_IN_TIME,skopni le čez poletje,
HAS_CAUSE,kjer je v glacialnih dobah nastal nivalni kras,kjer je
HAS_CAUSE,sneg kot očitni morfogenetski dejavnik,morfogenetski dejavnik
HAS_CAUSE,nastal v subpolarni ( subarktični ) klimi,nastal v
CONTAINS,"Značilne zanj so strme vzpetine ( stogi , stolpi )",Značilne
HAS_CAUSE,nastal v trajno ali sezonsko vlažni tropski klimi,nastal v
DEFINED_AS,ozemlje brez zelenja ali kamnito ozemlje brez zelenja,
COMPOSITION_MEDIUM,katerega površje je po veliki večini kamnito,
COMPOSITION_MEDIUM,katerega površje po veliki večini pokriva zemlja oz . preperelina,pokriva
CONTAINS,se prepletajo gole in pokrite kraške površine,
DEFINED_AS,Prehodna oblika med golim in pokritim krasom,
CONTAINS,kjer so lašti ( gl . lašt ) značilne površinske oblike,značilne|so
HAS_FORM,"kjer molijo na površje čokati kamni , visoki do enega metra in več",kjer molijo na površje
HAS_ATTRIBUTE,"da spominja na kožo človeka , ki je prebolel koze",
CONTAINS,s tako gostimi vrtačami,
HAS_FORM,"kjer so kraške kotanje , nastale z zraščanjem vrtač , iz zraka vidne kot poligonalna mreža",
HAS_CAUSE,Pogojen je s “ parketnim ” razporedom tektonskih prepok,Pogojen je
HAS_LOCATION,Pogost v tropskem krasu,v
CONTAINS,kras kraških polj in podolijl,
CONTAINS,kjer so kraška polja in povezane suhe doline - podolja - poglavitne kraške značilnosti površja,
HAS_CAUSE,"katerega površje je izoblikoval fluvialni proces ( erozija , denudacija )",je izoblikoval
COMPOSITION_MEDIUM,cela odpornejših skladov,
HAS_FORM,kjer molijo na površje podolgovati kamni rebraste oblike do enega metra in več,molijo na površje
CONTAINS,"z značilnimi , do 100 in več metrov visokimi vzpetinami , podobnimi stolpom oziroma vitkim piramidam",z značilnimi
HAS_CAUSE,nastal pretežno s korozijskimi procesi,nastal
HAS_SIZE,premerom nekaj metrov,premerom
HAS_LOCATION,visokogorski kras,
COMPOSITION_MEDIUM,Skalnata,
HAS_FORM,"okroglaste , podolgovate ali oglate oblike",
CONTAINS,"s strmimi stenami in snegom , ki se zadržuje v dnu večino leta",s
HAS_ATTRIBUTE,s posredovanjem avstrijske strokovne literature je postala v obliki karst mednarodni termin,
HAS_FUNCTION,"kjer vlada zaradi razpoklinske prepustnosti kamnine podzemeljsko ( kraško ) pretakanje vode , učinkovito kemično raztapljanje kamnin",
HAS_POSITION,za regijo Kras med Tržaškim zalivom in Vipavsko dolino,
CONTAINS,kjer so lahko razvite tudi značilne površinske in podzemeljske oblike,so lahko razvite
HAS_ATTRIBUTE,Beseda je predindoevropskega izvora ( carra = kamen ) in je bila do srede 19 . stol . samo pokrajinsko ime,
HAS_ATTRIBUTE,prešlo v krasoslovno terminologijo kot geomorfološki termin,
HAS_POSITION,"med Tržaškim zalivom in Vipavsko dolino v regiji , ki jo imenujemo Kras",
HAS_POSITION,"med Trstom , Kvarnerskim zalivom in Postojno",med
CONTAINS,ozemlje z izrazitimi kraškimi pojavi,ozemlje z
HAS_ATTRIBUTE,kraške značilnosti so bile prvič strokovno opisane .,
COMPOSITION_MEDIUM,v apnencu,v
COMPOSITION_MEDIUM,v dolomitu,v
COMPOSITION_MEDIUM,v klasticnih kamninah,v
COMPOSITION_MEDIUM,v kamnini kredi,v
COMPOSITION_MEDIUM,v puhlici,v
COMPOSITION_MEDIUM,v soli,v
COMPOSITION_MEDIUM,v sadri,v
HAS_CAUSE,ki je nastal ob delovanju kraških in glacialnih procesov,je nastal
HAS_CAUSE,Nastal je v aridni ( sušni ) klimi,Nastal je
HAS_CAUSE,Nastal v nivalni ( snežni ) klimi ob vidnem učinkovanju snežnice,Nastal
HAS_LOCATION,V Jugoslaviji danes omejen na visokogorski kras,omejen na
CONTAINS,v kateri so najdeni sledovi zadrževanja predzgodovinskega človeka,v kateri so
HAS_FUNCTION,ki je izkoriščal jame kot pribežališce ali bivališce,je izkoriščal
HAS_CAUSE,obrača in brusi nanj kapljajoča voda in ( ali ) debeli s koncentričnimi skorjami sige,
HAS_FORM,obrušen kamen,
HAS_SIZE,Droben,
HAS_LOCATION,v mirujoči vodi,
HAS_FORM,delček sige,
MEASURES,dokumentacija o raziskanih jamah,
HAS_CAUSE,izdelan na osnovi meritev,na osnovi
MEASURES,Načrt ali profil jame,
HAS_LOCATION,v jamski steni ali stropu,v
HAS_FUNCTION,ki na koncu jame onemogoča prehod,onemogoča
HAS_RESULT,s katerim se jamski prostor odpre na površje,
HAS_FORM,ki je mnogo bolj razvita veni smeri,
HAS_LOCATION,v jami,v
HAS_CAUSE,avtohtonega ali alohtonega porekla,porekla
HAS_FORM,Razvejan in povezan splet jamskih prostorov,
HAS_SIZE,večjih dimenzij,
HAS_FUNCTION,skozi katero seva nebo,
HAS_LOCATION,v jamskem stropu,v
HAS_LOCATION,Značilna za submediteranski in mediteranski kras,
HAS_FORM,Rdečkasta,
HAS_CAUSE,v glavnem netopni ostanek karbonatov,ostanek
CONTAINS,z vodo napolnjena,napolnjena
HAS_ATTRIBUTE,z nepropustnim dnom,
HAS_SIZE,Večja,
HAS_FORM,vrtača,
OCCURS_IN_TIME,navadno trajno ali vsaj večji del leta,
HAS_FORM,ki kristalizira heksagonalno,
HAS_FUNCTION,osnovno gradivo apnenca,
STUDIES,ki prikazuje kompleksno podobo reliefa nekega območja,ki prikazuje
HAS_ATTRIBUTE,kopučaste teksture,
HAS_CAUSE,biogena,
HAS_CAUSE,nastala z biokemičnimi procesi,nastala z
OCCURS_IN_TIME,miocenska ( badenijska ),
OCCURS_IN_TIME,iz badenijskega obdobja srednjega miocena,obdobja|iz
HAS_CAUSE,suspendira iz poplavnih vod,suspendira iz
HAS_CAUSE,korozijski ostanek sredi korozijske uravnave,
HAS_FUNCTION,pomemben habitat za floro in favno,pomemben|za
HAS_FUNCTION,"v poletnem času , ko turloughi presahnejo so pomembni za pašo drobnice",
HAS_FORM,razpotegnjen v smeri premikanja nekdanjega ledenika,
COMPOSITION_MEDIUM,iz drobirja talne morene,iz
HAS_FORM,podolgovat zaobljen grič,
HAS_LOCATION,v reki,
DEFINED_AS,Raztekanje voda z istega območja v različna porečja in povodja,
HAS_LOCATION,ob izstopu iz ozkih gorskih grap v široko glavno ravnino,
HAS_FORM,stožčasto,
HAS_LOCATION,na pobočju,na
HAS_FUNCTION,"Voda po njej teče le v majhnih količinah in le občasno , ob nalivih lahko v njih nastanejo siloviti hudourniki",
HAS_FORM,s precejšnjim strmcem in prečnim profilom v obliki črke V,
HAS_FORM,dolu podobna,podobna
HAS_FORM,podolgovata,
CONTAINS,Sestavljajo jo zraščene razsežne vrtače,Sestavljajo jo
HAS_LOCATION,Na krasu,Na
HAS_FORM,ki se kot odsekana končuje na pobočju,
HAS_FUNCTION,iz katere stalno ali obdobno piha,iz katere
DEFINED_AS,"Nivo površinske kraške vode , ki ga določuje morska ali jezerska gladina v zaledju",
HAS_LOCATION,v kraškem podzemlju,v
DEFINED_AS,"Delež , ki odpade na votline",
HAS_FORM,podzemeljski prostor,
HAS_SIZE,Večji,
HAS_FORM,in je bolj široka kot globoka,
HAS_SIZE,navadno globoka več metrov,globoka
HAS_FORM,V prečnem profilu je podobna skledi .,je podobna
HAS_FORM,Je brez ravnega dna,brez
HAS_FORM,pobočja pa se navzgor odpirajo,
HAS_FORM,Ima strme stene,Ima
HAS_FORM,in ravnejše dno,
HAS_SIZE,Globoka,
HAS_FORM,s strmimi stenami,s
HAS_CAUSE,nastala v naplavinah,nastala v
COMPOSITION_MEDIUM,katere dno in pobočje je skalnato,
DEFINED_AS,"kateri se odražajo klimatske oz . mikroklimatske lastnosti kraških kotanj ( npr . klima kraških polj ) , kraških tal ( posebnosti v geotermični stopnji ) in jam ( jamska klima )",
STUDIES,se ukvarja s površinskimi kraškimi oblikami,se ukvarja
STUDIES,o površinskih in podzemeljskih oblikah krasa,
HAS_RESULT,omogoča razvoj krasa,
HAS_CAUSE,zaradi vodne prepustnosti,zaradi
COMPOSITION_MEDIUM,kraške kamnine,
HAS_FORM,kanjonske oblike,oblike
HAS_SIZE,večja,
HAS_FORM,kot bivši rečni kanjon,
HAS_SIZE,Dolga,
COMPOSITION_MEDIUM,dolastih vrtač,
HAS_LOCATION,skozi kraško podzemlje,skozi
HAS_CAUSE,s pretočitvijo sosednjega površinskega vodnega toka,s pretočitvijo
HAS_LOCATION,kraškega podzemlja,
HAS_CAUSE,ki se je nabrala s kraškega ozemlja,se je nabrala
HAS_FUNCTION,ki se pretaka iznad nivoja kraških izvirov,se pretaka
HAS_LOCATION,kraškega ozemlja,
HAS_LOCATION,v kanalih v coni kolebanja gladine kraške vode,v
HAS_FORM,naravni,
HAS_LOCATION,na površju,na
OCCURS_IN_TIME,Občasni,
HAS_FUNCTION,ki ob visoki vodi bruha vecje količine vode,bruha
HAS_FUNCTION,ki v določenem časovnem razmaku narašča in upada ter Iahko obdobno tudi presiha,
HAS_LOCATION,pod morsko gladino ali gladino plime,pod
COMPOSITION_MEDIUM,sladke ali brakične vode,
HAS_LOCATION,"na stiku vodno prepustnih kamnin , ki so navadno v krovnini , in neprepustnih kamnin",na stiku
HAS_LOCATION,v jami,v
HAS_SIZE,Večji,
HAS_LOCATION,iz brezna,iz
HAS_LOCATION,v vznožju stene,v
HAS_ATTRIBUTE,Močan,
HAS_FUNCTION,v katerem voda ob visoki vodi vre,
HAS_ATTRIBUTE,Močan,
HAS_LOCATION,med skalovjem na nagnjenem površju,med
HAS_ATTRIBUTE,katerega vode pritekajo na dan razpršeno,
HAS_FORM,Skupinski,
HAS_FORM,"ravnega dna in strmih , celo previsnih sten",
HAS_SIZE,"globoka in široka več centimetrov ali decimetrov , izjemoma nekaj metrov",globoka in široka
HAS_LOCATION,v območju plimovanja a1i valovanja,v območju
CONTAINS,jo obdobno zapolnjuje morska voda,jo|zapolnjuje
HAS_FORM,Škavnici podobna,podobna
CONTAINS,ki jo prekriva zemlja ( prst,ki jo prekriva
HAS_CAUSE,ki ji je obod prerezal odvodni žleb,
CONTAINS,brez stoječe vode,brez
HAS_FORM,s predrtim dnom,
HAS_SIZE,Nekaj centimetrov do vec decimetrov in metrov razsežna,razsežna
HAS_FUNCTION,brez vzdolžnega pretakanja,
HAS_FORM,smer določuje biološka linija najmanjšega odpora,
HAS_CAUSE,izjedenina,
CONTAINS,"ločijo vmesni noži , grebeni , hrbti , poličke",
HAS_LOCATION,v skalnem površju,
HAS_CAUSE,ki nastane z agresivno prenikajočo vodo,ki nastane z
HAS_LOCATION,v jami,v
HAS_LOCATION,na morski ali jezerski obali,na
HAS_CAUSE,zaradi pršavice ( abrazije valov,zaradi
COMPOSITION_MEDIUM,ki nastaja na golih skalnih tleh,ki nastaja na
HAS_LOCATION,izpostavljena,
HAS_FORM,V raznih smereh zluknjana in izjedena,
HAS_CAUSE,Nastala ob leziki,Nastala ob
HAS_FORM,v obliki navpicnih lukenj in raz,v obliki
HAS_FORM,z vidnim dnom,
HAS_SIZE,"Nekaj decimetrov , do nekaj metrov globoka",globoka
COMPOSITION_MEDIUM,skalna,
HAS_FORM,ki jih razdvaja priostren vmesni skalni grebenček,ki jih razdvaja
HAS_LOCATION,", ob kateri se je razvila na poklino",
HAS_FORM,ki kaže v obliki še tesno navezanost na poklino,ki kaže v obliki
HAS_CAUSE,Nastane s porušitvijo hrbtov med škrapljami,Nastane s
HAS_CAUSE,"erozija ( pomembna tam , kjer rastje ne varuje podlage )",
HAS_CAUSE,akumulacija ( gradivo se odlaga na stiku pobočja in dna dolca ter v dnu dolca ),
HAS_CAUSE,podzemsko spiranje prepereline in drobirja ( lahko pomembno prispevajo k denudaciji ),
HAS_CAUSE,"preperevanje ( prvotni geomorfni proces , ki lahko preoblikuje površje brez stalnih površinskih vodnih tokov )",
HAS_CAUSE,polzenje,
HAS_CAUSE,denudacija ( ki lahko preko trenja med preperelino in podlago pomaga oblikovati začetno obliko dolca,
HAS_FORM,je bolj plitva kot je dolga,
HAS_FORM,brez površinskega vodnega pretakanja,brez
HAS_FORM,plitva dolinasta,
HAS_FORM,višji deli kraškega reliefa,
HAS_ATTRIBUTE,najpogostejši tip kraške vzpetine,
CONTAINS,dolinami,
HAS_FORM,"je v veliki meri razrezano z dolinami , večina katerih ima svoje začetne dele na krasu",
HAS_LOCATION,na pobočju,
HAS_ATTRIBUTE,brez površinskega vodnega pretakanja,brez
HAS_FORM,plitva dolinasta reliefna oblika,oblika
HAS_LOCATION,se pojavljajo med različnimi depresijskimi oblikami,se pojavljajo med
HAS_LOCATION,večina njihovih začetnih delov pa je na krasu,
HAS_FORM,ki je razrezano z rečnimi dolinami,
COMPOSITION_MEDIUM,na stiku kraških in nekraških kamnin,na stiku
HAS_ATTRIBUTE,kjer se prepletata fluvialni in kraški geomorfni sistem,se prepletata
CONTAINS,se prepletata fluvialni in kraški geomorfni sistem,
HAS_LOCATION,ki nastane na območju izvirov,nastane na območju
COMPOSITION_MEDIUM,kontaktnega krasa,
HAS_CAUSE,kjer vode pritekajo iz kraške kamnine,
HAS_LOCATION,površinska oblika,
HAS_LOCATION,končni del zatrepne doline,
COMPOSITION_MEDIUM,stik med kraškimi in nekraškimi kamninami,stik med
HAS_CAUSE,jo izoblikujejo ponikalnice v krasu,jo izoblikujejo
HAS_FORM,vidnih le malo kraških potez,vidnih
CONTAINS,predvsem kraški ponor in dobro prevodni kanali,
COMPOSITION_MEDIUM,so se razvile na rečnih naplavinah,so se razvile na
HAS_CAUSE,ki nastane z neposrednim delovanjem tekoče vode,nastane
HAS_CAUSE,naravni,
HAS_CAUSE,posledica delovanja kondenzne vode na kamnino,posledica
HAS_FUNCTION,"ki zadržuje vodo , ki se steka s kraškega površja v podzemlje",zadržuje
CONTAINS,"so žlebovi in žlebiči , kotlice in vdolbinice , štrline in odlomi ter odkruški",
DEFINED_AS,"suh , hladen , padajoč in sunkovit SV veter",
HAS_SIZE,okoli 500 km2 velika,velika
HAS_POSITION,v jugozahodni Sloveniji,v
COMPOSITION_MEDIUM,apneniška,
HAS_FUNCTION,ki omogoča kemično raztapljanje karbonatov,omogoča
HAS_FORM,z ravnim dnom,z
HAS_SIZE,velike od nekaj cm2 do nekaj m2,velike
HAS_CAUSE,korozijske,
HAS_CAUSE,ki nastajajo s korozijo vode,nastajajo
HAS_CAUSE,korozijske,
HAS_LOCATION,bodisi na površju ali subkutano,
HAS_CAUSE,nastanejo pa ob manjših nezveznostih v kamnini,nastanejo pa ob
HAS_SIZE,Manjše,
HAS_FORM,"Manjše , poklinaste",
HAS_SIZE,lahko globlje od 50 cm in dolge nekaj metrov,lahko globlje
HAS_FORM,polkrožne,
HAS_CAUSE,ki nastanejo po strmcu kamninskega bloka navzdol,nastanejo
HAS_CAUSE,"Pojavi se šele tedaj , ko so kanali dovolj veliki , da jih plavje ob upadu hitrosti vode ne zadela",ko so kanali dovolj veliki
HAS_CAUSE,"Erozija s pomočjo plavja , predvsem peska in proda",s pomočjo
HAS_CAUSE,"V profilu "" ključavnice "" je zgornji , okrogli do elipsasti del izdolbla čista voda , spodnji , debrski paje abrazijski",izdolbla
HAS_LOCATION,"v krasu , ki tja priteče z nekrasa",z|v
HAS_LOCATION,z nekraškega obrobja,z
HAS_CAUSE,Zato nastajajo najopaznejše kraške oblike,nastajajo
HAS_ATTRIBUTE,korozijsko sposobnost,
HAS_RESULT,dolbejo invazijske jame,
HAS_LOCATION,na vtokih alogene vode,na
HAS_LOCATION,s talečega se ledenika,s
HAS_SIZE,zbrane v sorazmerno večje tokove,
HAS_FORM,trodimenzionalni,
HAS_LOCATION,V območju anastomoze,V
HAS_LOCATION,v prežeti coni,v
HAS_FUNCTION,cepijo in spajajo,
HAS_FORM,kot planarni sklopi votlin,
HAS_SIZE,prostornina nenačete kamnine manjša od prostornine votlin,
HAS_LOCATION,vzdolž lezik,vzdolž
HAS_RESULT,znane pa so tudi popolnoma anastomotske jame z večjimi prostori,
OCCURS_IN_TIME,V času snovanja,
HAS_FORM,Preplet drobnih kanalov,
COMPOSITION_MEDIUM,v kamninah z veliko medzemsko poroznostjo,v
HAS_CAUSE,Nastane ob laminarnem toku,Nastane ob
HAS_RESULT,V fazi rasti se običajno izoblikuje manjše število kanalov,
HAS_LOCATION,v krasu,v
HAS_CAUSE,ki se napaja izključno s preniklih krajevnih padavin,ki se napaja izključno s
HAS_CAUSE,Agresivna voda ogladi previsne površine in vreže žlebove v izbočene,
HAS_CAUSE,"Sigotvorna voda , obratno , ogladi izbočene površine in oblikuje rebra na previsnih",
HAS_FORM,previsnih oz . izbočenih površin,
HAS_CAUSE,"glede na to , ali je voda , ki jih obliva , agresivna , ali sigotvorna",
COMPOSITION_MEDIUM,če bi bila vsa kontinentalna zemeljska skorja izključno iz kraških kamnin,iz
HAS_LOCATION,ki stoji pravokotno na tokovnice,ki stoji pravokotno na
HAS_FORM,Obroč faznih meja,
COMPOSITION_MEDIUM,Kalcijevomagnezijev,
HAS_FORM,"Kristali ditrigonalno skalenoedrično , najbolj razširjena oblika je romboeder",oblika
HAS_FUNCTION,"deluje dolomit v gotovih razmerah kot kraška , v drugih pa kot nekraška kamnina",kot|deluje
HAS_CAUSE,nastane neposredno s sedimentacij o v posebnih razmerah,nastane
COMPOSITION_MEDIUM,ki jo sestavljata minerala dolomit ( > 90 % ) in kalcit,ki jo sestavljata
HAS_CAUSE,Nastanejo z dolomitizacijo v času zgodnje ali pome diageneze,Nastanejo z
CONTAINS,Skupnost vseh kraških oblik,Skupnost
HAS_LOCATION,ki nastanejo na stiku med kraško kamnin o in ozračjem,na
HAS_LOCATION,ki nastanejo v neprežeti in prežeti coni,v
CONTAINS,Skupnost vseh kraških oblik,Skupnost
CONTAINS,Skupnost vseh kraških oblik,Skupnost
HAS_LOCATION,ki nastanejo na stiku med kraško kamnino in tajno odejo,na
HAS_POSITION,V Sloveniji,
OCCURS_IN_TIME,ki naj bi po večjih padavinah nastalo,po
HAS_LOCATION,v tleh tik nad zakraselo kamnino,nad|v
HAS_RESULT,Zato naj bi bile vse jame neprežete cone do neke mere invazijske,
HAS_CAUSE,Padavinska voda naj bi se zbrala že v tem območju in v neprežeto cono vtekala v obliki posameznih curkov,
DEFINED_AS,Zamenjava primarnih trdnih snovi v živalskih ali rastlinskih ostankih s kalcijevim karbonatom,
DEFINED_AS,prepojitev snovi s kalcijevim karbonatom,
COMPOSITION_MEDIUM,rekristaliziranega apnenca,
HAS_SIZE,"Tanka , nekaj milimetrov ali cm debela",milimetrov
HAS_LOCATION,"ki navadno moli iz jamske stene ali stropa za nekaj milimetrov , pa tudi centimetrov",moli iz
HAS_ATTRIBUTE,svetle barve,
HAS_LOCATION,v jamskem stropu,v
HAS_SIZE,ji običajno ne vidimo konca,
HAS_ATTRIBUTE,Nedostopen,
HAS_LOCATION,v freatični coni,
HAS_SIZE,Večja,
HAS_FORM,bogato zakapana votlinica,
HAS_FORM,zaokrožena,
COMPOSITION_MEDIUM,ki jo v glavnem sestavljajo soli ogljikove kisline,ki jo v glavnem sestavljajo
HAS_FUNCTION,napravljena cesto v vojne namene,
HAS_FORM,ki jo sestavlja ena sama manjša votlina,ki jo sestavlja
HAS_SIZE,manjšo,
COMPOSITION_MEDIUM,v klastičnih kamninah,v
HAS_FORM,"običajno s skalnim , prepadnim pobočjem , z vidnim dnom",
HAS_SIZE,Več deset metrov globoka in široka,metrov
HAS_CAUSE,je udornega postanka,
HAS_FORM,Kopasta holmasta,
HAS_LOCATION,Oblika fosilnega krasa,
OCCURS_IN_TIME,nastala v osnovi domnevno v terciarni dobi,nastala v
HAS_LOCATION,"na jamskih stenah ali stropu , navadno na mestu mešanja toplejšega in hladnejšega zraka",na mestu
HAS_CAUSE,ki se zaradi kondenzacije nabira v kapljicah,
HAS_FORM,običajno skledaste oblike,oblike
HAS_FORM,Mnogokrat širša kot globlja,
HAS_LOCATION,Glaciokraška,
HAS_SIZE,več deset ali sto metrov dolga in široka,metrov
HAS_CAUSE,Širjenje votline ( rova ) zaradi izpraznjenja jamskih sedimentov,
HAS_RESULT,konvakuacijska votlina,
DEFINED_AS,kemično ali v manjši meri fizikalno raztapljanje kraške kamnine,
